Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Abstract Concepts,anger,B1,most frequent,strong;sudden;deep;great;real;hot;quick;silent;open;wild,strong;sudden;deep;great;real;silent;open;quick;wild;hot,deep;great;hot;open;quick;real;silent;strong;sudden;wild,,,0.0,0.0
AR # Arabic,BN # Bengali,Abstract Concepts,courage,B1,most frequent,great;real;true;strong;big;quiet;silent;open;new;brave,great;real;true;strong;quiet;big;much;little;new;brave,big;brave;great;new;quiet;real;strong;true,open;silent,little;much,0.04162900149822235,0.33333333333333337
AR # Arabic,BN # Bengali,Abstract Concepts,fear,B1,most frequent,great;deep;real;sudden;big;strong;silent;open;quick;cold,great;deep;real;sudden;big;strong;silent;open;quick;cold,big;cold;deep;great;open;quick;real;silent;strong;sudden,,,9.999999974752427e-07,0.0
AR # Arabic,BN # Bengali,Abstract Concepts,freedom,B1,most frequent,real;true;full;great;new;open;big;complete;personal;political,full;real;true;great;new;complete;personal;political;total;much,complete;full;great;new;personal;political;real;true,big;open,much;total,0.022477999329566956,0.33333333333333337
AR # Arabic,BN # Bengali,Abstract Concepts,happiness,B1,most frequent,great;real;true;full;deep;big;simple;open;quiet;new,great;real;true;full;much;deep;simple;new;big;quiet,big;deep;full;great;new;quiet;real;simple;true,open,much,0.016225000843405724,0.18181818181818177
AR # Arabic,BN # Bengali,Abstract Concepts,hate,B1,most frequent,deep;great;real;strong;open;big;cold;sudden;silent;true,deep;great;real;strong;open;sudden;cold;big;silent;true,big;cold;deep;great;open;real;silent;strong;sudden;true,,,0.0,0.0
AR # Arabic,BN # Bengali,Abstract Concepts,honesty,B1,most frequent,real;true;great;full;open;simple;complete;big;quiet;deep,true;real;great;full;simple;open;much;complete;quiet;big,big;complete;full;great;open;quiet;real;simple;true,deep,much,0.014329999685287476,0.18181818181818177
AR # Arabic,BN # Bengali,Abstract Concepts,justice,B1,most frequent,real;true;great;full;open;big;complete;social;fair;equal,true;real;great;social;full;simple;open;much;complete;fair,complete;fair;full;great;open;real;social;true,big;equal,much;simple,0.02276100032031536,0.33333333333333337
AR # Arabic,BN # Bengali,Abstract Concepts,knowledge,B1,most frequent,great;deep;real;true;full;big;new;open;simple;complete,great;real;true;much;deep;new;full;simple;open;big,big;deep;full;great;new;open;real;simple;true,complete,much,0.013116000220179558,0.18181818181818177
AR # Arabic,BN # Bengali,Abstract Concepts,love,B1,most frequent,true;real;great;deep;big;strong;open;new;full;simple,true;real;great;deep;much;new;big;open;simple;strong,big;deep;great;new;open;real;simple;strong;true,full,much,0.011056000366806984,0.18181818181818177
AR # Arabic,BN # Bengali,Abstract Concepts,peace,B1,most frequent,real;true;great;full;deep;quiet;open;new;big;complete,real;true;great;full;much;new;deep;quiet;simple;complete,complete;deep;full;great;new;quiet;real;true,big;open,much;simple,0.025628000497817993,0.33333333333333337
