Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Neutral Animals,cat,B1,most frequent,small;big;young;old;black;white;gray;cute;soft;quick,small;big;black;white;young;old;cute;soft;quick;quiet,big;black;cute;old;quick;small;soft;white;young,gray,quiet,0.019867999479174614,0.18181818181818177
AR # Arabic,BN # Bengali,Neutral Animals,dog,B1,most frequent,big;small;young;old;black;white;brown;friendly;strong;quick,big;small;black;white;young;old;friendly;strong;quick;cute,big;black;friendly;old;quick;small;strong;white;young,brown,cute,0.021000999957323074,0.18181818181818177
AR # Arabic,BN # Bengali,Neutral Animals,dolphin,B1,most frequent,big;small;young;old;smart;friendly;quick;gray;blue;cute,big;small;smart;friendly;quick;young;old;gray;blue;cute,big;blue;cute;friendly;gray;old;quick;small;smart;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Neutral Animals,elephant,B1,most frequent,big;small;young;old;gray;strong;friendly;smart;wild;heavy,big;small;young;old;gray;strong;friendly;smart;wild;heavy,big;friendly;gray;heavy;old;small;smart;strong;wild;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Neutral Animals,hamster,B1,most frequent,small;big;young;old;cute;soft;quick;brown;white;friendly,small;big;cute;young;old;soft;quick;friendly;brown;white,big;brown;cute;friendly;old;quick;small;soft;white;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Neutral Animals,monkey,B1,most frequent,small;big;young;old;quick;smart;funny;brown;friendly;wild,small;big;young;old;quick;smart;funny;wild;brown;friendly,big;brown;friendly;funny;old;quick;small;smart;wild;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Neutral Animals,mouse,B1,most frequent,small;big;young;old;gray;quick;cute;white;brown;quiet,small;big;gray;white;quick;quiet;young;old;cute;soft,big;cute;gray;old;quick;quiet;small;white;young,brown,soft,0.01770400069653988,0.18181818181818177
AR # Arabic,BN # Bengali,Neutral Animals,peacock,B1,most frequent,big;small;young;old;colorful;beautiful;blue;green;bright;proud,big;small;beautiful;colorful;blue;green;young;old;bright;proud,beautiful;big;blue;bright;colorful;green;old;proud;small;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Neutral Animals,rabbit,B1,most frequent,small;big;young;old;white;gray;quick;cute;soft;friendly,small;big;white;gray;cute;quick;soft;young;old;quiet,big;cute;gray;old;quick;small;soft;white;young,friendly,quiet,0.021007999777793884,0.18181818181818177
AR # Arabic,BN # Bengali,Neutral Animals,shark,B1,most frequent,big;small;young;old;strong;quick;gray;white;wild;dangerous,big;small;strong;quick;gray;white;wild;young;old;dangerous,big;dangerous;gray;old;quick;small;strong;white;wild;young,,,0.0,0.0
