Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Time Concepts,century,B1,most frequent,new;old;long;short;big;small;real;true;great;modern,new;old;long;short;big;small;real;true;great;past,big;great;long;new;old;real;short;small;true,modern,past,0.01164500042796135,0.18181818181818177
AR # Arabic,BN # Bengali,Time Concepts,day,B1,most frequent,new;old;long;short;big;small;good;bad;real;busy,new;old;long;short;big;small;good;bad;bright;clear,bad;big;good;long;new;old;short;small,busy;real,bright;clear,0.03958199918270111,0.33333333333333337
AR # Arabic,BN # Bengali,Time Concepts,evening,B1,most frequent,long;short;quiet;new;old;good;bad;real;dark;busy,quiet;long;short;new;old;dark;cool;warm;soft;clear,dark;long;new;old;quiet;short,bad;busy;good;real,clear;cool;soft;warm,0.08750099688768387,0.5714285714285714
AR # Arabic,BN # Bengali,Time Concepts,hour,B1,most frequent,long;short;new;old;big;small;real;true;busy;quiet,long;short;new;old;big;small;real;true;quiet;busy,big;busy;long;new;old;quiet;real;short;small;true,,,0.0,0.0
AR # Arabic,BN # Bengali,Time Concepts,minute,B1,most frequent,long;short;new;old;big;small;real;true;quick;quiet,long;short;new;old;big;small;real;true;quick;quiet,big;long;new;old;quick;quiet;real;short;small;true,,,0.0,0.0
AR # Arabic,BN # Bengali,Time Concepts,month,B1,most frequent,new;old;long;short;big;small;real;true;busy;quiet,new;old;long;short;big;small;real;true;busy;quiet,big;busy;long;new;old;quiet;real;short;small;true,,,0.0,0.0
AR # Arabic,BN # Bengali,Time Concepts,morning,B1,most frequent,new;old;long;short;good;bad;quiet;real;early;busy,new;old;early;late;quiet;long;short;bright;cool;clear,early;long;new;old;quiet;short,bad;busy;good;real,bright;clear;cool;late,0.07294800132513046,0.5714285714285714
AR # Arabic,BN # Bengali,Time Concepts,night,B1,most frequent,long;short;dark;quiet;new;old;good;bad;real;late,dark;long;short;quiet;new;old;cool;cold;clear;late,dark;late;long;new;old;quiet;short,bad;good;real,clear;cold;cool,0.068401999771595,0.46153846153846156
AR # Arabic,BN # Bengali,Time Concepts,season,B1,most frequent,new;old;long;short;big;small;real;true;warm;cold,new;old;long;short;big;small;real;true;warm;cold,big;cold;long;new;old;real;short;small;true;warm,,,0.0,0.0
AR # Arabic,BN # Bengali,Time Concepts,second,B1,most frequent,long;short;new;old;big;small;real;true;quick;quiet,long;short;new;old;big;small;real;true;quick;quiet,big;long;new;old;quick;quiet;real;short;small;true,,,0.0,0.0
AR # Arabic,BN # Bengali,Time Concepts,week,B1,most frequent,new;old;long;short;big;small;real;true;busy;quiet,new;old;long;short;big;small;real;true;busy;quiet,big;busy;long;new;old;quiet;real;short;small;true,,,0.0,0.0
AR # Arabic,BN # Bengali,Time Concepts,year,B1,most frequent,new;old;long;short;big;small;real;true;busy;quiet,new;old;long;short;big;small;real;true;past;busy,big;busy;long;new;old;real;short;small;true,quiet,past,0.018563000485301018,0.18181818181818177
