Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Environmental Phenomena,cloud,B2,most frequent,white;dark;big;small;gray;heavy;light;high;low;thick,white;dark;big;small;gray;black;light;heavy;high;low,big;dark;gray;heavy;high;light;low;small;white,thick,black,0.017186999320983887,0.18181818181818177
AR # Arabic,BN # Bengali,Environmental Phenomena,earthquake,B2,most frequent,big;small;strong;weak;sudden;real;great;natural;deadly;recent,big;small;strong;weak;sudden;great;real;recent;terrible;natural,big;great;natural;real;recent;small;strong;sudden;weak,deadly,terrible,0.010910999961197376,0.18181818181818177
AR # Arabic,BN # Bengali,Environmental Phenomena,fog,B2,most frequent,thick;heavy;light;white;gray;cold;morning;early;low;wet,thick;thin;white;heavy;light;cold;morning;evening;gray;low,cold;gray;heavy;light;low;morning;thick;white,early;wet,evening;thin,0.030900999903678894,0.33333333333333337
AR # Arabic,BN # Bengali,Environmental Phenomena,lightning,B2,most frequent,bright;strong;sudden;quick;white;loud;big;real;wild;natural,bright;strong;sudden;quick;white;blue;loud;wild;real;natural,bright;loud;natural;quick;real;strong;sudden;white;wild,big,blue,0.02037299983203411,0.18181818181818177
AR # Arabic,BN # Bengali,Environmental Phenomena,rain,B2,most frequent,heavy;light;strong;cold;warm;soft;hard;sudden;real;morning,heavy;light;strong;soft;cold;warm;sudden;hard;gentle;much,cold;hard;heavy;light;soft;strong;sudden;warm,morning;real,gentle;much,0.032124001532793045,0.33333333333333337
AR # Arabic,BN # Bengali,Environmental Phenomena,rainbow,B2,most frequent,bright;beautiful;colorful;big;small;real;full;clear;perfect;rare,beautiful;bright;big;small;colorful;clear;new;rare;full;perfect,beautiful;big;bright;clear;colorful;full;perfect;rare;small,real,new,0.01848199963569641,0.18181818181818177
AR # Arabic,BN # Bengali,Environmental Phenomena,snow,B2,most frequent,white;heavy;light;cold;soft;deep;fresh;new;thick;clean,white;soft;cold;heavy;light;deep;fresh;new;thick;clean,clean;cold;deep;fresh;heavy;light;new;soft;thick;white,,,0.0,0.0
AR # Arabic,BN # Bengali,Environmental Phenomena,storm,B2,most frequent,big;strong;heavy;sudden;real;wild;cold;great;hard;loud,big;small;strong;weak;sudden;great;real;wild;terrible;natural,big;great;real;strong;sudden;wild,cold;hard;heavy;loud,natural;small;terrible;weak,0.08102700114250183,0.5714285714285714
AR # Arabic,BN # Bengali,Environmental Phenomena,thunder,B2,most frequent,loud;strong;big;sudden;real;wild;heavy;hard;deep;long,loud;strong;sudden;big;real;wild;deep;heavy;natural;great,big;deep;heavy;loud;real;strong;sudden;wild,hard;long,great;natural,0.036913998425006866,0.33333333333333337
AR # Arabic,BN # Bengali,Environmental Phenomena,tide,B2,most frequent,high;low;strong;big;small;real;sudden;daily;natural;fast,high;low;strong;weak;big;small;fast;slow;daily;natural,big;daily;fast;high;low;natural;small;strong,real;sudden,slow;weak,0.039473000913858414,0.33333333333333337
AR # Arabic,BN # Bengali,Environmental Phenomena,volcano,B2,most frequent,big;small;old;new;active;dead;strong;real;dangerous;natural,active;dead;big;small;old;new;strong;dangerous;natural;famous,active;big;dangerous;dead;natural;new;old;small;strong,real,famous,0.018264999613165855,0.18181818181818177
AR # Arabic,BN # Bengali,Environmental Phenomena,wind,B2,most frequent,strong;light;cold;warm;soft;hard;sudden;real;wild;fresh,strong;weak;cold;warm;soft;hard;fast;slow;light;sudden,cold;hard;light;soft;strong;sudden;warm,fresh;real;wild,fast;slow;weak,0.0704760029911995,0.46153846153846156
AR # Arabic,DE # German,Environmental Phenomena,cloud,B2,most frequent,white;dark;big;small;gray;heavy;light;high;low;thick,white;big;small;dark;light;gray;heavy;high;low;soft,big;dark;gray;heavy;high;light;low;small;white,thick,soft,0.012374999932944775,0.18181818181818177
AR # Arabic,DE # German,Environmental Phenomena,earthquake,B2,most frequent,big;small;strong;weak;sudden;real;great;natural;deadly;recent,big;small;strong;weak;sudden;real;great;deep;quick;natural,big;great;natural;real;small;strong;sudden;weak,deadly;recent,deep;quick,0.032554998993873596,0.33333333333333337
AR # Arabic,DE # German,Environmental Phenomena,fog,B2,most frequent,thick;heavy;light;white;gray;cold;morning;early;low;wet,thick;thin;white;gray;heavy;light;cold;morning;low;soft,cold;gray;heavy;light;low;morning;thick;white,early;wet,soft;thin,0.0390780009329319,0.33333333333333337
AR # Arabic,DE # German,Environmental Phenomena,lightning,B2,most frequent,bright;strong;sudden;quick;white;loud;big;real;wild;natural,bright;quick;strong;sudden;white;big;loud;real;natural;wild,big;bright;loud;natural;quick;real;strong;sudden;white;wild,,,0.0,0.0
AR # Arabic,DE # German,Environmental Phenomena,rain,B2,most frequent,heavy;light;strong;cold;warm;soft;hard;sudden;real;morning,heavy;light;cold;warm;strong;soft;big;small;sudden;real,cold;heavy;light;real;soft;strong;sudden;warm,hard;morning,big;small,0.035234998911619186,0.33333333333333337
AR # Arabic,DE # German,Environmental Phenomena,rainbow,B2,most frequent,bright;beautiful;colorful;big;small;real;full;clear;perfect;rare,beautiful;big;small;bright;colorful;real;new;rare;high;long,beautiful;big;bright;colorful;rare;real;small,clear;full;perfect,high;long;new,0.06249300017952919,0.46153846153846156
AR # Arabic,DE # German,Environmental Phenomena,snow,B2,most frequent,white;heavy;light;cold;soft;deep;fresh;new;thick;clean,white;cold;soft;heavy;light;deep;fresh;new;clean;thick,clean;cold;deep;fresh;heavy;light;new;soft;thick;white,,,0.0,0.0
AR # Arabic,DE # German,Environmental Phenomena,storm,B2,most frequent,big;strong;heavy;sudden;real;wild;cold;great;hard;loud,big;small;strong;weak;sudden;real;heavy;wild;cold;quick,big;cold;heavy;real;strong;sudden;wild,great;hard;loud,quick;small;weak,0.06283999979496002,0.46153846153846156
AR # Arabic,DE # German,Environmental Phenomena,thunder,B2,most frequent,loud;strong;big;sudden;real;wild;heavy;hard;deep;long,loud;strong;big;sudden;real;heavy;quick;deep;wild;natural,big;deep;heavy;loud;real;strong;sudden;wild,hard;long,natural;quick,0.030925000086426735,0.33333333333333337
AR # Arabic,DE # German,Environmental Phenomena,tide,B2,most frequent,high;low;strong;big;small;real;sudden;daily;natural;fast,high;low;strong;weak;big;small;real;sudden;quick;natural,big;high;low;natural;real;small;strong;sudden,daily;fast,quick;weak,0.025483999401330948,0.33333333333333337
AR # Arabic,DE # German,Environmental Phenomena,volcano,B2,most frequent,big;small;old;new;active;dead;strong;real;dangerous;natural,big;small;old;new;active;quiet;strong;high;real;natural,active;big;natural;new;old;real;small;strong,dangerous;dead,high;quiet,0.03896600008010864,0.33333333333333337
AR # Arabic,DE # German,Environmental Phenomena,wind,B2,most frequent,strong;light;cold;warm;soft;hard;sudden;real;wild;fresh,strong;weak;cold;warm;big;small;soft;quick;sudden;real,cold;real;soft;strong;sudden;warm,fresh;hard;light;wild,big;quick;small;weak,0.0733800008893013,0.5714285714285714
AR # Arabic,ES # Spanish,Environmental Phenomena,cloud,B2,most frequent,white;dark;big;small;gray;heavy;light;high;low;thick,white;big;small;dark;gray;light;high;low;soft;thick,big;dark;gray;high;light;low;small;thick;white,heavy,soft,0.012884000316262245,0.18181818181818177
AR # Arabic,ES # Spanish,Environmental Phenomena,earthquake,B2,most frequent,big;small;strong;weak;sudden;real;great;natural;deadly;recent,big;small;strong;weak;sudden;real;great;quick;natural;dangerous,big;great;natural;real;small;strong;sudden;weak,deadly;recent,dangerous;quick,0.01691100001335144,0.33333333333333337
AR # Arabic,ES # Spanish,Environmental Phenomena,fog,B2,most frequent,thick;heavy;light;white;gray;cold;morning;early;low;wet,thick;light;white;gray;heavy;cold;morning;low;soft;wet,cold;gray;heavy;light;low;morning;thick;wet;white,early,soft,0.01877100020647049,0.18181818181818177
AR # Arabic,ES # Spanish,Environmental Phenomena,lightning,B2,most frequent,bright;strong;sudden;quick;white;loud;big;real;wild;natural,bright;quick;strong;sudden;white;big;loud;real;natural;dangerous,big;bright;loud;natural;quick;real;strong;sudden;white,wild,dangerous,0.015666000545024872,0.18181818181818177
AR # Arabic,ES # Spanish,Environmental Phenomena,rain,B2,most frequent,heavy;light;strong;cold;warm;soft;hard;sudden;real;morning,heavy;light;strong;cold;warm;soft;hard;sudden;real;constant,cold;hard;heavy;light;real;soft;strong;sudden;warm,morning,constant,0.017052000388503075,0.18181818181818177
AR # Arabic,ES # Spanish,Environmental Phenomena,rainbow,B2,most frequent,bright;beautiful;colorful;big;small;real;full;clear;perfect;rare,beautiful;big;small;bright;colorful;real;clear;full;high;rare,beautiful;big;bright;clear;colorful;full;rare;real;small,perfect,high,0.01715400069952011,0.18181818181818177
AR # Arabic,ES # Spanish,Environmental Phenomena,snow,B2,most frequent,white;heavy;light;cold;soft;deep;fresh;new;thick;clean,white;soft;cold;heavy;light;deep;fresh;clean;new;thick,clean;cold;deep;fresh;heavy;light;new;soft;thick;white,,,0.0,0.0
AR # Arabic,ES # Spanish,Environmental Phenomena,storm,B2,most frequent,big;strong;heavy;sudden;real;wild;cold;great;hard;loud,big;strong;heavy;sudden;real;great;cold;loud;quick;dangerous,big;cold;great;heavy;loud;real;strong;sudden,hard;wild,dangerous;quick,0.02591099962592125,0.33333333333333337
AR # Arabic,ES # Spanish,Environmental Phenomena,thunder,B2,most frequent,loud;strong;big;sudden;real;wild;heavy;hard;deep;long,loud;strong;big;sudden;real;heavy;quick;deep;long;natural,big;deep;heavy;long;loud;real;strong;sudden,hard;wild,natural;quick,0.023019999265670776,0.33333333333333337
AR # Arabic,ES # Spanish,Environmental Phenomena,tide,B2,most frequent,high;low;strong;big;small;real;sudden;daily;natural;fast,high;low;strong;big;small;real;quick;sudden;natural;daily,big;daily;high;low;natural;real;small;strong;sudden,fast,quick,0.003109999932348728,0.18181818181818177
AR # Arabic,ES # Spanish,Environmental Phenomena,volcano,B2,most frequent,big;small;old;new;active;dead;strong;real;dangerous;natural,big;small;old;new;active;dead;high;dangerous;real;natural,active;big;dangerous;dead;natural;new;old;real;small,strong,high,0.013257999904453754,0.18181818181818177
AR # Arabic,ES # Spanish,Environmental Phenomena,wind,B2,most frequent,strong;light;cold;warm;soft;hard;sudden;real;wild;fresh,strong;light;cold;warm;big;small;quick;sudden;real;natural,cold;light;real;strong;sudden;warm,fresh;hard;soft;wild,big;natural;quick;small,0.0539340004324913,0.5714285714285714
AR # Arabic,FA # Persian,Environmental Phenomena,cloud,B2,most frequent,white;dark;big;small;gray;heavy;light;high;low;thick,white;dark;big;small;black;gray;heavy;light;high;low,big;dark;gray;heavy;high;light;low;small;white,thick,black,0.01718599908053875,0.18181818181818177
AR # Arabic,FA # Persian,Environmental Phenomena,earthquake,B2,most frequent,big;small;strong;weak;sudden;real;great;natural;deadly;recent,big;small;strong;weak;sudden;real;great;terrible;natural;recent,big;great;natural;real;recent;small;strong;sudden;weak,deadly,terrible,0.010910999961197376,0.18181818181818177
AR # Arabic,FA # Persian,Environmental Phenomena,fog,B2,most frequent,thick;heavy;light;white;gray;cold;morning;early;low;wet,thick;heavy;light;white;gray;cold;morning;early;low;dense,cold;early;gray;heavy;light;low;morning;thick;white,wet,dense,0.014844000339508057,0.18181818181818177
AR # Arabic,FA # Persian,Environmental Phenomena,lightning,B2,most frequent,bright;strong;sudden;quick;white;loud;big;real;wild;natural,bright;strong;sudden;quick;white;loud;big;fast;real;wild,big;bright;loud;quick;real;strong;sudden;white;wild,natural,fast,0.01573999971151352,0.18181818181818177
AR # Arabic,FA # Persian,Environmental Phenomena,rain,B2,most frequent,heavy;light;strong;cold;warm;soft;hard;sudden;real;morning,heavy;light;strong;cold;warm;hard;soft;sudden;real;much,cold;hard;heavy;light;real;soft;strong;sudden;warm,morning,much,0.016106000170111656,0.18181818181818177
AR # Arabic,FA # Persian,Environmental Phenomena,rainbow,B2,most frequent,bright;beautiful;colorful;big;small;real;full;clear;perfect;rare,beautiful;big;small;bright;colorful;real;full;clear;high;rare,beautiful;big;bright;clear;colorful;full;rare;real;small,perfect,high,0.01715400069952011,0.18181818181818177
