Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Human Roles,artist,B2,most frequent,famous;young;old;new;great;good;modern;creative;talented;local,famous;young;old;new;great;good;talented;creative;modern;local,creative;famous;good;great;local;modern;new;old;talented;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,athlete,B2,most frequent,strong;young;old;new;great;good;fast;famous;local;talented,strong;young;old;new;great;good;fast;famous;talented;local,famous;fast;good;great;local;new;old;strong;talented;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,chef,B2,most frequent,good;great;famous;young;old;new;local;talented;creative;skilled,good;great;famous;young;old;new;talented;local;creative;skilled,creative;famous;good;great;local;new;old;skilled;talented;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,doctor,B2,most frequent,good;great;young;old;new;local;famous;skilled;kind;helpful,good;great;young;old;new;famous;local;skilled;kind;helpful,famous;good;great;helpful;kind;local;new;old;skilled;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,engineer,B2,most frequent,good;great;young;old;new;local;skilled;talented;famous;smart,good;great;young;old;new;skilled;talented;local;famous;smart,famous;good;great;local;new;old;skilled;smart;talented;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,farmer,B2,most frequent,good;old;young;new;local;hard-working;poor;rich;simple;great,good;old;young;new;local;hard-working;poor;rich;simple;great,good;great;hard-working;local;new;old;poor;rich;simple;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,lawyer,B2,most frequent,good;great;young;old;new;local;famous;skilled;smart;rich,good;great;young;old;new;famous;local;smart;skilled;honest,famous;good;great;local;new;old;skilled;smart;young,rich,honest,0.016759000718593597,0.18181818181818177
AR # Arabic,BN # Bengali,Human Roles,musician,B2,most frequent,good;great;young;old;new;famous;local;talented;creative;modern,good;great;young;old;new;famous;talented;local;creative;skilled,creative;famous;good;great;local;new;old;talented;young,modern,skilled,0.01078999973833561,0.18181818181818177
AR # Arabic,BN # Bengali,Human Roles,scientist,B2,most frequent,good;great;young;old;new;famous;local;smart;talented;modern,great;good;young;old;new;famous;smart;local;talented;skilled,famous;good;great;local;new;old;smart;talented;young,modern,skilled,0.010777999646961689,0.18181818181818177
AR # Arabic,BN # Bengali,Human Roles,soldier,B2,most frequent,brave;strong;young;old;new;good;great;local;famous;loyal,brave;strong;young;old;new;good;great;local;famous;loyal,brave;famous;good;great;local;loyal;new;old;strong;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,teacher,B2,most frequent,good;great;young;old;new;local;kind;helpful;smart;famous,good;great;young;old;new;local;famous;kind;smart;helpful,famous;good;great;helpful;kind;local;new;old;smart;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,writer,B2,most frequent,good;great;young;old;new;famous;local;creative;talented;modern,good;great;young;old;new;famous;local;talented;creative;skilled,creative;famous;good;great;local;new;old;talented;young,modern,skilled,0.01078999973833561,0.18181818181818177
AR # Arabic,DE # German,Human Roles,artist,B2,most frequent,famous;young;old;new;great;good;modern;creative;talented;local,famous;young;old;new;good;great;modern;creative;talented;real,creative;famous;good;great;modern;new;old;talented;young,local,real,0.014639000408351421,0.18181818181818177
AR # Arabic,DE # German,Human Roles,athlete,B2,most frequent,strong;young;old;new;great;good;fast;famous;local;talented,strong;young;old;good;great;fast;famous;new;big;small,famous;fast;good;great;new;old;strong;young,local;talented,big;small,0.03679399937391281,0.33333333333333337
