Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Inanimate Objects,book,B2,most frequent,old;new;big;small;good;great;famous;interesting;simple;long,old;new;big;small;good;great;famous;simple;long;short,big;famous;good;great;long;new;old;simple;small,interesting,short,0.016313999891281128,0.18181818181818177
AR # Arabic,BN # Bengali,Inanimate Objects,bridge,B2,most frequent,big;small;old;new;long;short;strong;high;low;famous,big;small;old;new;long;short;strong;weak;famous;high,big;famous;high;long;new;old;short;small;strong,low,weak,0.012033999897539616,0.18181818181818177
AR # Arabic,BN # Bengali,Inanimate Objects,drums,B2,most frequent,big;small;old;new;loud;soft;fast;slow;heavy;light,big;small;old;new;loud;soft;round;simple;wooden;famous,big;loud;new;old;small;soft,fast;heavy;light;slow,famous;round;simple;wooden,0.0837860032916069,0.5714285714285714
AR # Arabic,BN # Bengali,Inanimate Objects,earth,B2,most frequent,big;round;old;new;green;blue;rich;dry;wet;beautiful,big;round;old;new;green;blue;beautiful;rich;dry;wet,beautiful;big;blue;dry;green;new;old;rich;round;wet,,,0.0,0.0
AR # Arabic,BN # Bengali,Inanimate Objects,flute,B2,most frequent,small;big;old;new;silver;golden;soft;loud;long;short,old;new;wooden;silver;small;big;simple;long;short;beautiful,big;long;new;old;short;silver;small,golden;loud;soft,beautiful;simple;wooden,0.05456100031733513,0.46153846153846156
AR # Arabic,BN # Bengali,Inanimate Objects,key,B2,most frequent,small;big;old;new;silver;golden;important;lost;simple;metal,small;big;old;new;golden;silver;simple;round;important;metal,big;golden;important;metal;new;old;silver;simple;small,lost,round,0.02039399929344654,0.18181818181818177
AR # Arabic,BN # Bengali,Inanimate Objects,knife,B2,most frequent,sharp;big;small;old;new;silver;golden;long;short;clean,sharp;blunt;big;small;old;new;long;short;silver;simple,big;long;new;old;sharp;short;silver;small,clean;golden,blunt;simple,0.027703000232577324,0.33333333333333337
AR # Arabic,BN # Bengali,Inanimate Objects,lock,B2,most frequent,small;big;old;new;strong;weak;simple;broken;metal;heavy,old;new;big;small;strong;weak;simple;golden;silver;metal,big;metal;new;old;simple;small;strong;weak,broken;heavy,golden;silver,0.04270299896597862,0.33333333333333337
AR # Arabic,BN # Bengali,Inanimate Objects,moon,B2,most frequent,full;new;big;small;round;white;bright;clear;beautiful;high,full;new;big;small;bright;white;round;beautiful;clear;high,beautiful;big;bright;clear;full;high;new;round;small;white,,,0.0,0.0
AR # Arabic,BN # Bengali,Inanimate Objects,pen,B2,most frequent,blue;black;red;small;big;old;new;simple;long;short,blue;black;red;new;old;small;big;simple;long;short,big;black;blue;long;new;old;red;short;simple;small,,,0.0,0.0
AR # Arabic,BN # Bengali,Inanimate Objects,sun,B2,most frequent,hot;bright;big;round;yellow;red;high;strong;warm;clear,bright;hot;big;round;yellow;strong;high;warm;clear;new,big;bright;clear;high;hot;round;strong;warm;yellow,red,new,0.0185100007802248,0.18181818181818177
AR # Arabic,BN # Bengali,Inanimate Objects,sword,B2,most frequent,sharp;big;small;old;new;silver;golden;long;short;heavy,sharp;long;short;old;new;big;small;silver;golden;strong,big;golden;long;new;old;sharp;short;silver;small,heavy,strong,0.012515000067651272,0.18181818181818177
AR # Arabic,DE # German,Inanimate Objects,book,B2,most frequent,old;new;big;small;good;great;famous;interesting;simple;long,old;new;big;small;good;great;famous;simple;long;short,big;famous;good;great;long;new;old;simple;small,interesting,short,0.016313999891281128,0.18181818181818177
AR # Arabic,DE # German,Inanimate Objects,bridge,B2,most frequent,big;small;old;new;long;short;strong;high;low;famous,big;small;old;new;long;short;strong;high;low;wide,big;high;long;low;new;old;short;small;strong,famous,wide,0.015830999240279198,0.18181818181818177
AR # Arabic,DE # German,Inanimate Objects,drums,B2,most frequent,big;small;old;new;loud;soft;fast;slow;heavy;light,big;small;loud;old;new;round;strong;soft;simple;famous,big;loud;new;old;small;soft,fast;heavy;light;slow,famous;round;simple;strong,0.0704910010099411,0.5714285714285714
AR # Arabic,DE # German,Inanimate Objects,earth,B2,most frequent,big;round;old;new;green;blue;rich;dry;wet;beautiful,big;small;round;old;new;green;blue;real;beautiful;rich,beautiful;big;blue;green;new;old;rich;round,dry;wet,real;small,0.05264599993824959,0.33333333333333337
AR # Arabic,DE # German,Inanimate Objects,flute,B2,most frequent,small;big;old;new;silver;golden;soft;loud;long;short,small;long;short;old;new;silver;wooden;simple;soft;beautiful,long;new;old;short;silver;small;soft,big;golden;loud,beautiful;simple;wooden,0.06469500064849854,0.46153846153846156
AR # Arabic,DE # German,Inanimate Objects,key,B2,most frequent,small;big;old;new;silver;golden;important;lost;simple;metal,small;big;old;new;silver;golden;simple;real;important;lost,big;golden;important;lost;new;old;silver;simple;small,metal,real,0.02340799942612648,0.18181818181818177
AR # Arabic,DE # German,Inanimate Objects,knife,B2,most frequent,sharp;big;small;old;new;silver;golden;long;short;clean,sharp;big;small;old;new;long;short;silver;clean;simple,big;clean;long;new;old;sharp;short;silver;small,golden,simple,0.020047999918460846,0.18181818181818177
AR # Arabic,DE # German,Inanimate Objects,lock,B2,most frequent,small;big;old;new;strong;weak;simple;broken;metal;heavy,old;new;big;small;strong;simple;silver;golden;real;broken,big;broken;new;old;simple;small;strong,heavy;metal;weak,golden;real;silver,0.059053998440504074,0.46153846153846156
AR # Arabic,DE # German,Inanimate Objects,moon,B2,most frequent,full;new;big;small;round;white;bright;clear;beautiful;high,full;new;big;small;white;round;bright;high;beautiful;real,beautiful;big;bright;full;high;new;round;small;white,clear,real,0.01858700066804886,0.18181818181818177
AR # Arabic,DE # German,Inanimate Objects,pen,B2,most frequent,blue;black;red;small;big;old;new;simple;long;short,blue;black;red;small;big;old;new;simple;long;short,big;black;blue;long;new;old;red;short;simple;small,,,0.0,0.0
AR # Arabic,DE # German,Inanimate Objects,sun,B2,most frequent,hot;bright;big;round;yellow;red;high;strong;warm;clear,bright;hot;big;small;yellow;round;high;new;real;strong,big;bright;high;hot;round;strong;yellow,clear;red;warm,new;real;small,0.06253200024366379,0.46153846153846156
AR # Arabic,DE # German,Inanimate Objects,sword,B2,most frequent,sharp;big;small;old;new;silver;golden;long;short;heavy,sharp;big;small;old;new;long;short;silver;golden;strong,big;golden;long;new;old;sharp;short;silver;small,heavy,strong,0.012516000308096409,0.18181818181818177
AR # Arabic,ES # Spanish,Inanimate Objects,book,B2,most frequent,old;new;big;small;good;great;famous;interesting;simple;long,old;new;big;small;good;great;famous;simple;long;short,big;famous;good;great;long;new;old;simple;small,interesting,short,0.016313999891281128,0.18181818181818177
AR # Arabic,ES # Spanish,Inanimate Objects,bridge,B2,most frequent,big;small;old;new;long;short;strong;high;low;famous,big;small;old;new;long;short;strong;high;low;famous,big;famous;high;long;low;new;old;short;small;strong,,,0.0,0.0
AR # Arabic,ES # Spanish,Inanimate Objects,drums,B2,most frequent,big;small;old;new;loud;soft;fast;slow;heavy;light,big;small;old;new;loud;soft;round;simple;heavy;famous,big;heavy;loud;new;old;small;soft,fast;light;slow,famous;round;simple,0.0552389994263649,0.46153846153846156
