Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Plants,cactus,B2,most frequent,green;big;small;old;new;tall;short;wild;dry;sharp,green;big;small;tall;short;old;new;wild;dry;sharp,big;dry;green;new;old;sharp;short;small;tall;wild,,,0.0,0.0
AR # Arabic,BN # Bengali,Plants,eggplant,B2,most frequent,purple;big;small;fresh;old;new;soft;hard;long;round,purple;big;small;fresh;new;old;round;long;soft;ripe,big;fresh;long;new;old;purple;round;small;soft,hard,ripe,0.012796999886631966,0.18181818181818177
AR # Arabic,BN # Bengali,Plants,flower,B2,most frequent,beautiful;small;big;red;white;yellow;fresh;wild;simple;colorful,beautiful;small;big;red;white;yellow;fresh;new;old;colorful,beautiful;big;colorful;fresh;red;small;white;yellow,simple;wild,new;old,0.04276999831199646,0.33333333333333337
AR # Arabic,BN # Bengali,Plants,grass,B2,most frequent,green;long;short;soft;thick;wild;fresh;dry;new;old,green;long;short;fresh;new;old;soft;thick;thin;wild,fresh;green;long;new;old;short;soft;thick;wild,dry,thin,0.012141999788582325,0.18181818181818177
AR # Arabic,BN # Bengali,Plants,lettuce,B2,most frequent,green;fresh;big;small;soft;hard;new;old;round;healthy,green;fresh;new;old;big;small;soft;crisp;round;clean,big;fresh;green;new;old;round;small;soft,hard;healthy,clean;crisp,0.028436999768018723,0.33333333333333337
AR # Arabic,BN # Bengali,Plants,mushroom,B2,most frequent,small;big;white;brown;fresh;wild;soft;hard;new;old,small;big;white;brown;fresh;new;old;wild;soft;round,big;brown;fresh;new;old;small;soft;white;wild,hard,round,0.01823600009083748,0.18181818181818177
AR # Arabic,BN # Bengali,Plants,onion,B2,most frequent,big;small;white;red;fresh;old;new;round;strong;sweet,big;small;white;red;fresh;new;old;round;strong;sweet,big;fresh;new;old;red;round;small;strong;sweet;white,,,0.0,0.0
AR # Arabic,BN # Bengali,Plants,pepper,B2,most frequent,red;green;yellow;big;small;hot;sweet;fresh;new;old,red;green;yellow;hot;sweet;big;small;fresh;new;old,big;fresh;green;hot;new;old;red;small;sweet;yellow,,,0.0,0.0
AR # Arabic,BN # Bengali,Plants,potato,B2,most frequent,big;small;white;brown;fresh;old;new;round;soft;hard,big;small;white;brown;fresh;new;old;round;soft;hard,big;brown;fresh;hard;new;old;round;small;soft;white,,,0.0,0.0
AR # Arabic,BN # Bengali,Plants,rose,B2,most frequent,red;white;yellow;pink;beautiful;fresh;wild;small;big;new,red;white;pink;yellow;beautiful;fresh;new;old;big;small,beautiful;big;fresh;new;pink;red;small;white;yellow,wild,old,0.021700000390410423,0.18181818181818177
