Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Human Roles,artist,C1,most frequent,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;talented;modern;creative;new;local;popular,creative;famous;great;local;modern;new;old;popular;talented;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,athlete,C1,most frequent,strong;young;old;great;famous;fast;talented;new;local;professional,strong;young;great;famous;fast;talented;professional;new;old;skilled,famous;fast;great;new;old;professional;strong;talented;young,local,skilled,0.015007000416517258,0.18181818181818177
AR # Arabic,BN # Bengali,Human Roles,chef,C1,most frequent,great;famous;young;old;talented;new;local;creative;professional;skilled,great;famous;young;old;talented;new;skilled;creative;local;professional,creative;famous;great;local;new;old;professional;skilled;talented;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,doctor,C1,most frequent,good;great;young;old;famous;local;new;skilled;professional;kind,good;young;old;great;famous;local;new;skilled;kind;professional,famous;good;great;kind;local;new;old;professional;skilled;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,engineer,C1,most frequent,good;great;young;old;skilled;new;local;professional;talented;famous,good;young;old;great;skilled;talented;new;professional;local;famous,famous;good;great;local;new;old;professional;skilled;talented;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,farmer,C1,most frequent,local;old;young;good;great;small;big;hard-working;poor;rich,local;old;young;good;small;big;hard-working;poor;rich;skilled,big;good;hard-working;local;old;poor;rich;small;young,great,skilled,0.011501000262796879,0.18181818181818177
AR # Arabic,BN # Bengali,Human Roles,lawyer,C1,most frequent,good;great;young;old;famous;local;new;skilled;professional;smart,good;young;old;great;famous;local;new;skilled;professional;smart,famous;good;great;local;new;old;professional;skilled;smart;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,musician,C1,most frequent,famous;young;old;great;talented;new;local;creative;popular;professional,famous;young;old;great;talented;new;local;skilled;creative;popular,creative;famous;great;local;new;old;popular;talented;young,professional,skilled,0.008264999836683273,0.18181818181818177
AR # Arabic,BN # Bengali,Human Roles,scientist,C1,most frequent,great;famous;young;old;new;local;smart;talented;creative;professional,great;famous;young;old;talented;new;local;smart;skilled;creative,creative;famous;great;local;new;old;smart;talented;young,professional,skilled,0.008144999854266644,0.18181818181818177
AR # Arabic,BN # Bengali,Human Roles,soldier,C1,most frequent,brave;young;old;strong;good;great;new;local;professional;loyal,brave;young;old;strong;great;good;famous;new;skilled;loyal,brave;good;great;loyal;new;old;strong;young,local;professional,famous;skilled,0.02536199986934662,0.33333333333333337
AR # Arabic,BN # Bengali,Human Roles,teacher,C1,most frequent,good;great;young;old;new;local;kind;smart;professional;patient,good;young;old;great;famous;local;new;kind;skilled;smart,good;great;kind;local;new;old;smart;young,patient;professional,famous;skilled,0.030616000294685364,0.33333333333333337
AR # Arabic,BN # Bengali,Human Roles,writer,C1,most frequent,famous;young;old;great;new;local;creative;talented;popular;professional,famous;young;old;great;talented;new;local;creative;popular;skilled,creative;famous;great;local;new;old;popular;talented;young,professional,skilled,0.008264999836683273,0.18181818181818177
AR # Arabic,DE # German,Human Roles,artist,C1,most frequent,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;creative;talented;new;local;popular,creative;famous;great;local;modern;new;old;popular;talented;young,,,0.0,0.0
AR # Arabic,DE # German,Human Roles,athlete,C1,most frequent,strong;young;old;great;famous;fast;talented;new;local;professional,young;strong;great;famous;fast;old;new;talented;professional;top,famous;fast;great;new;old;professional;strong;talented;young,local,top,0.016109000891447067,0.18181818181818177
AR # Arabic,DE # German,Human Roles,chef,C1,most frequent,great;famous;young;old;talented;new;local;creative;professional;skilled,great;famous;young;old;new;talented;professional;creative;top;local,creative;famous;great;local;new;old;professional;talented;young,skilled,top,0.011719999834895134,0.18181818181818177
AR # Arabic,DE # German,Human Roles,doctor,C1,most frequent,good;great;young;old;famous;local;new;skilled;professional;kind,good;young;old;great;famous;new;local;professional;kind;helpful,famous;good;great;kind;local;new;old;professional;young,skilled,helpful,0.01090299990028143,0.18181818181818177
