Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Social Relationships,ally,C1,most frequent,strong;good;true;loyal;old;new;close;important;trusted;powerful,strong;good;loyal;true;close;old;new;trusted;important;helpful,close;good;important;loyal;new;old;strong;true;trusted,powerful,helpful,0.012330000288784504,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,brother,C1,most frequent,big;small;young;old;good;true;close;strong;kind;loving,big;small;young;old;good;close;real;true;loving;strong,big;close;good;loving;old;small;strong;true;young,kind,real,0.013546999543905258,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,enemy,C1,most frequent,strong;old;new;true;powerful;dangerous;close;open;real;bitter,strong;old;new;real;true;big;small;dangerous;powerful;great,dangerous;new;old;powerful;real;strong;true,bitter;close;open,big;great;small,0.060972001403570175,0.46153846153846156
AR # Arabic,BN # Bengali,Social Relationships,father,C1,most frequent,good;great;old;young;strong;kind;loving;true;real;wise,good;old;young;loving;strong;real;true;kind;caring;wise,good;kind;loving;old;real;strong;true;wise;young,great,caring,0.01445200014859438,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,follower,C1,most frequent,loyal;true;good;strong;close;new;old;important;faithful;quiet,loyal;true;good;strong;close;old;new;faithful;important;trusted,close;faithful;good;important;loyal;new;old;strong;true,quiet,trusted,0.01450899988412857,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,friend,C1,most frequent,good;true;close;old;new;best;loyal;kind;real;dear,good;close;best;old;new;true;real;loyal;dear;trusted,best;close;dear;good;loyal;new;old;real;true,kind,trusted,0.01003200002014637,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,leader,C1,most frequent,strong;good;great;true;new;old;important;powerful;wise;famous,strong;good;great;true;real;old;new;important;wise;famous,famous;good;great;important;new;old;strong;true;wise,powerful,real,0.014936000108718872,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,mother,C1,most frequent,good;great;old;young;kind;loving;true;real;strong;wise,good;loving;kind;caring;strong;old;young;real;true;wise,good;kind;loving;old;real;strong;true;wise;young,great,caring,0.01445200014859438,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,partner,C1,most frequent,good;true;close;strong;new;old;important;loyal;real;trusted,good;close;true;real;strong;old;new;important;loyal;trusted,close;good;important;loyal;new;old;real;strong;true;trusted,,,0.0,0.0
AR # Arabic,BN # Bengali,Social Relationships,rival,C1,most frequent,strong;old;new;true;close;powerful;real;open;bitter;main,strong;old;new;real;true;big;small;powerful;great;main,main;new;old;powerful;real;strong;true,bitter;close;open,big;great;small,0.06404999643564224,0.46153846153846156
AR # Arabic,BN # Bengali,Social Relationships,sister,C1,most frequent,big;small;young;old;good;true;close;kind;loving;dear,big;small;young;old;good;close;real;true;loving;kind,big;close;good;kind;loving;old;small;true;young,dear,real,0.01489999983459711,0.18181818181818177
