Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Time Concepts,century,C1,most frequent,last;new;old;next;past;great;long;short;important;modern,new;old;last;next;past;present;great;long;short;modern,great;last;long;modern;new;next;old;past;short,important,present,0.011200999841094017,0.18181818181818177
AR # Arabic,BN # Bengali,Time Concepts,day,C1,most frequent,new;old;long;short;good;bad;hot;cold;busy;quiet,new;old;long;short;good;bad;sunny;rainy;busy;quiet,bad;busy;good;long;new;old;quiet;short,cold;hot,rainy;sunny,0.039535000920295715,0.33333333333333337
AR # Arabic,BN # Bengali,Time Concepts,evening,C1,most frequent,quiet;long;short;good;bad;warm;cold;dark;late;early,quiet;long;short;cool;warm;dark;late;early;peaceful;beautiful,dark;early;late;long;quiet;short;warm,bad;cold;good,beautiful;cool;peaceful,0.06099800020456314,0.46153846153846156
AR # Arabic,BN # Bengali,Time Concepts,hour,C1,most frequent,long;short;last;next;early;late;busy;quiet;good;bad,long;short;late;early;busy;quiet;last;next;new;old,busy;early;last;late;long;next;quiet;short,bad;good,new;old,0.034400999546051025,0.33333333333333337
AR # Arabic,BN # Bengali,Time Concepts,minute,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,long;short;last;next;new;old;quiet;busy;early;late,busy;early;last;late;long;next;quiet;short,bad;good,new;old,0.034400999546051025,0.33333333333333337
AR # Arabic,BN # Bengali,Time Concepts,month,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,new;old;last;next;long;short;busy;quiet;cold;warm,busy;last;long;new;next;old;quiet;short,bad;good,cold;warm,0.05353600159287453,0.33333333333333337
AR # Arabic,BN # Bengali,Time Concepts,morning,C1,most frequent,early;late;quiet;good;bad;long;short;cold;warm;new,early;quiet;new;old;long;short;cold;warm;busy;fresh,cold;early;long;new;quiet;short;warm,bad;good;late,busy;fresh;old,0.05286199972033501,0.46153846153846156
AR # Arabic,BN # Bengali,Time Concepts,night,C1,most frequent,long;short;quiet;dark;cold;warm;good;bad;late;early,dark;long;short;quiet;cold;warm;late;early;new;old,cold;dark;early;late;long;quiet;short;warm,bad;good,new;old,0.037362001836299896,0.33333333333333337
AR # Arabic,BN # Bengali,Time Concepts,season,C1,most frequent,new;old;long;short;hot;cold;dry;wet;busy;quiet,new;old;long;short;cold;warm;dry;wet;busy;quiet,busy;cold;dry;long;new;old;quiet;short;wet,hot,warm,0.007278000004589558,0.18181818181818177
AR # Arabic,BN # Bengali,Time Concepts,second,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,long;short;last;next;new;old;quick;fast;early;late,early;last;late;long;next;short,bad;busy;good;quiet,fast;new;old;quick,0.07018200308084488,0.5714285714285714
AR # Arabic,BN # Bengali,Time Concepts,week,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,new;old;last;next;long;short;busy;quiet;good;bad,bad;busy;good;last;long;new;next;old;quiet;short,,,0.0,0.0
AR # Arabic,BN # Bengali,Time Concepts,year,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,new;old;last;next;long;short;good;bad;busy;quiet,bad;busy;good;last;long;new;next;old;quiet;short,,,0.0,0.0
AR # Arabic,DE # German,Time Concepts,century,C1,most frequent,last;new;old;next;past;great;long;short;important;modern,new;old;last;next;past;great;long;short;modern;important,great;important;last;long;modern;new;next;old;past;short,,,0.0,0.0
AR # Arabic,DE # German,Time Concepts,day,C1,most frequent,new;old;long;short;good;bad;hot;cold;busy;quiet,new;old;long;short;good;bad;sunny;rainy;busy;quiet,bad;busy;good;long;new;old;quiet;short,cold;hot,rainy;sunny,0.039535000920295715,0.33333333333333337
AR # Arabic,DE # German,Time Concepts,evening,C1,most frequent,quiet;long;short;good;bad;warm;cold;dark;late;early,quiet;long;short;warm;cool;dark;late;early;nice;peaceful,dark;early;late;long;quiet;short;warm,bad;cold;good,cool;nice;peaceful,0.053334999829530716,0.46153846153846156
AR # Arabic,DE # German,Time Concepts,hour,C1,most frequent,long;short;last;next;early;late;busy;quiet;good;bad,long;short;late;early;busy;quiet;new;old;last;next,busy;early;last;late;long;next;quiet;short,bad;good,new;old,0.034400999546051025,0.33333333333333337
AR # Arabic,DE # German,Time Concepts,minute,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,long;short;last;next;new;old;quiet;busy;early;late,busy;early;last;late;long;next;quiet;short,bad;good,new;old,0.034400999546051025,0.33333333333333337
AR # Arabic,DE # German,Time Concepts,month,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,new;old;last;next;long;short;busy;quiet;cold;warm,busy;last;long;new;next;old;quiet;short,bad;good,cold;warm,0.05353600159287453,0.33333333333333337
AR # Arabic,DE # German,Time Concepts,morning,C1,most frequent,early;late;quiet;good;bad;long;short;cold;warm;new,early;quiet;new;old;long;short;cold;warm;busy;fresh,cold;early;long;new;quiet;short;warm,bad;good;late,busy;fresh;old,0.05286199972033501,0.46153846153846156
AR # Arabic,DE # German,Time Concepts,night,C1,most frequent,long;short;quiet;dark;cold;warm;good;bad;late;early,long;short;dark;quiet;cold;warm;late;early;new;old,cold;dark;early;late;long;quiet;short;warm,bad;good,new;old,0.037362001836299896,0.33333333333333337
AR # Arabic,DE # German,Time Concepts,season,C1,most frequent,new;old;long;short;hot;cold;dry;wet;busy;quiet,new;old;long;short;cold;warm;dry;wet;busy;quiet,busy;cold;dry;long;new;old;quiet;short;wet,hot,warm,0.007278000004589558,0.18181818181818177
AR # Arabic,DE # German,Time Concepts,second,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,last;next;long;short;new;old;quick;fast;early;late,early;last;late;long;next;short,bad;busy;good;quiet,fast;new;old;quick,0.07018200308084488,0.5714285714285714
AR # Arabic,DE # German,Time Concepts,week,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,new;old;last;next;long;short;busy;quiet;good;bad,bad;busy;good;last;long;new;next;old;quiet;short,,,0.0,0.0
AR # Arabic,DE # German,Time Concepts,year,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,new;old;last;next;long;short;good;bad;busy;quiet,bad;busy;good;last;long;new;next;old;quiet;short,,,0.0,0.0
AR # Arabic,ES # Spanish,Time Concepts,century,C1,most frequent,last;new;old;next;past;great;long;short;important;modern,last;new;old;past;present;next;great;long;short;modern,great;last;long;modern;new;next;old;past;short,important,present,0.01119999960064888,0.18181818181818177
AR # Arabic,ES # Spanish,Time Concepts,day,C1,most frequent,new;old;long;short;good;bad;hot;cold;busy;quiet,new;old;long;short;good;bad;sunny;rainy;busy;quiet,bad;busy;good;long;new;old;quiet;short,cold;hot,rainy;sunny,0.039535000920295715,0.33333333333333337
AR # Arabic,ES # Spanish,Time Concepts,evening,C1,most frequent,quiet;long;short;good;bad;warm;cold;dark;late;early,late;early;long;short;quiet;warm;cold;dark;beautiful;busy,cold;dark;early;late;long;quiet;short;warm,bad;good,beautiful;busy,0.038277000188827515,0.33333333333333337
AR # Arabic,ES # Spanish,Time Concepts,hour,C1,most frequent,long;short;last;next;early;late;busy;quiet;good;bad,long;short;late;early;last;next;busy;quiet;free;full,busy;early;last;late;long;next;quiet;short,bad;good,free;full,0.03966499865055084,0.33333333333333337
AR # Arabic,ES # Spanish,Time Concepts,minute,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,last;next;long;short;free;busy;early;late;quiet;full,busy;early;last;late;long;next;quiet;short,bad;good,free;full,0.03966499865055084,0.33333333333333337
AR # Arabic,ES # Spanish,Time Concepts,month,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,last;next;new;old;long;short;busy;quiet;cold;warm,busy;last;long;new;next;old;quiet;short,bad;good,cold;warm,0.05353600159287453,0.33333333333333337
AR # Arabic,ES # Spanish,Time Concepts,morning,C1,most frequent,early;late;quiet;good;bad;long;short;cold;warm;new,early;late;new;old;long;short;quiet;busy;cold;warm,cold;early;late;long;new;quiet;short;warm,bad;good,busy;old,0.038120001554489136,0.33333333333333337
AR # Arabic,ES # Spanish,Time Concepts,night,C1,most frequent,long;short;quiet;dark;cold;warm;good;bad;late;early,long;short;dark;quiet;cold;warm;late;early;new;old,cold;dark;early;late;long;quiet;short;warm,bad;good,new;old,0.037362001836299896,0.33333333333333337
AR # Arabic,ES # Spanish,Time Concepts,season,C1,most frequent,new;old;long;short;hot;cold;dry;wet;busy;quiet,new;old;last;next;long;short;cold;warm;dry;wet,cold;dry;long;new;old;short;wet,busy;hot;quiet,last;next;warm,0.05457200109958649,0.46153846153846156
AR # Arabic,ES # Spanish,Time Concepts,second,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,last;next;long;short;free;busy;early;late;quiet;full,busy;early;last;late;long;next;quiet;short,bad;good,free;full,0.03966499865055084,0.33333333333333337
AR # Arabic,ES # Spanish,Time Concepts,week,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,last;next;new;old;long;short;busy;quiet;full;free,busy;last;long;new;next;old;quiet;short,bad;good,free;full,0.040314000099897385,0.33333333333333337
AR # Arabic,ES # Spanish,Time Concepts,year,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,last;next;new;old;long;short;busy;quiet;good;bad,bad;busy;good;last;long;new;next;old;quiet;short,,,0.0,0.0
AR # Arabic,FA # Persian,Time Concepts,century,C1,most frequent,last;new;old;next;past;great;long;short;important;modern,new;old;last;past;present;next;great;long;short;important,great;important;last;long;new;next;old;past;short,modern,present,0.00910400040447712,0.18181818181818177
AR # Arabic,FA # Persian,Time Concepts,day,C1,most frequent,new;old;long;short;good;bad;hot;cold;busy;quiet,new;old;long;short;good;bad;sunny;rainy;busy;quiet,bad;busy;good;long;new;old;quiet;short,cold;hot,rainy;sunny,0.039535000920295715,0.33333333333333337
AR # Arabic,FA # Persian,Time Concepts,evening,C1,most frequent,quiet;long;short;good;bad;warm;cold;dark;late;early,late;early;long;short;quiet;warm;cold;dark;busy;beautiful,cold;dark;early;late;long;quiet;short;warm,bad;good,beautiful;busy,0.038277000188827515,0.33333333333333337
AR # Arabic,FA # Persian,Time Concepts,hour,C1,most frequent,long;short;last;next;early;late;busy;quiet;good;bad,long;short;late;early;busy;quiet;new;old;last;next,busy;early;last;late;long;next;quiet;short,bad;good,new;old,0.03440200164914131,0.33333333333333337
AR # Arabic,FA # Persian,Time Concepts,minute,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,long;short;last;next;new;old;quiet;busy;early;late,busy;early;last;late;long;next;quiet;short,bad;good,new;old,0.03440200164914131,0.33333333333333337
AR # Arabic,FA # Persian,Time Concepts,month,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,new;old;last;next;long;short;busy;quiet;cold;warm,busy;last;long;new;next;old;quiet;short,bad;good,cold;warm,0.05353600159287453,0.33333333333333337
AR # Arabic,FA # Persian,Time Concepts,morning,C1,most frequent,early;late;quiet;good;bad;long;short;cold;warm;new,early;late;new;old;quiet;busy;cold;warm;long;short,cold;early;late;long;new;quiet;short;warm,bad;good,busy;old,0.038120001554489136,0.33333333333333337
AR # Arabic,FA # Persian,Time Concepts,night,C1,most frequent,long;short;quiet;dark;cold;warm;good;bad;late;early,long;short;dark;quiet;cold;warm;late;early;new;old,cold;dark;early;late;long;quiet;short;warm,bad;good,new;old,0.037362001836299896,0.33333333333333337
AR # Arabic,FA # Persian,Time Concepts,season,C1,most frequent,new;old;long;short;hot;cold;dry;wet;busy;quiet,new;old;last;next;long;short;cold;warm;dry;wet,cold;dry;long;new;old;short;wet,busy;hot;quiet,last;next;warm,0.05457200109958649,0.46153846153846156
AR # Arabic,FA # Persian,Time Concepts,second,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,long;short;last;next;new;old;quick;slow;early;late,early;last;late;long;next;short,bad;busy;good;quiet,new;old;quick;slow,0.06484399735927582,0.5714285714285714
AR # Arabic,FA # Persian,Time Concepts,week,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,new;old;last;next;long;short;busy;quiet;good;bad,bad;busy;good;last;long;new;next;old;quiet;short,,,0.0,0.0
AR # Arabic,FA # Persian,Time Concepts,year,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,new;old;last;next;long;short;good;bad;busy;quiet,bad;busy;good;last;long;new;next;old;quiet;short,,,0.0,0.0
AR # Arabic,FR # French,Time Concepts,century,C1,most frequent,last;new;old;next;past;great;long;short;important;modern,last;new;old;next;past;great;long;short;modern;important,great;important;last;long;modern;new;next;old;past;short,,,0.0,0.0
AR # Arabic,FR # French,Time Concepts,day,C1,most frequent,new;old;long;short;good;bad;hot;cold;busy;quiet,new;old;long;short;good;bad;sunny;rainy;busy;quiet,bad;busy;good;long;new;old;quiet;short,cold;hot,rainy;sunny,0.039535000920295715,0.33333333333333337
AR # Arabic,FR # French,Time Concepts,evening,C1,most frequent,quiet;long;short;good;bad;warm;cold;dark;late;early,long;short;quiet;good;bad;warm;cold;late;early;nice,bad;cold;early;good;late;long;quiet;short;warm,dark,nice,0.021671000868082047,0.18181818181818177
AR # Arabic,FR # French,Time Concepts,hour,C1,most frequent,long;short;last;next;early;late;busy;quiet;good;bad,long;short;last;next;good;bad;busy;free;early;late,bad;busy;early;good;last;late;long;next;short,quiet,free,0.01917400024831295,0.18181818181818177
AR # Arabic,FR # French,Time Concepts,minute,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,last;next;long;short;good;bad;free;busy;early;late,bad;busy;early;good;last;late;long;next;short,quiet,free,0.01917400024831295,0.18181818181818177
AR # Arabic,FR # French,Time Concepts,month,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,last;next;new;old;long;short;good;bad;busy;free,bad;busy;good;last;long;new;next;old;short,quiet,free,0.01942799985408783,0.18181818181818177
AR # Arabic,FR # French,Time Concepts,morning,C1,most frequent,early;late;quiet;good;bad;long;short;cold;warm;new,early;late;good;bad;long;short;quiet;cold;warm;new,bad;cold;early;good;late;long;new;quiet;short;warm,,,0.0,0.0
AR # Arabic,FR # French,Time Concepts,night,C1,most frequent,long;short;quiet;dark;cold;warm;good;bad;late;early,long;short;dark;quiet;cold;warm;good;bad;late;early,bad;cold;dark;early;good;late;long;quiet;short;warm,,,0.0,0.0
AR # Arabic,FR # French,Time Concepts,season,C1,most frequent,new;old;long;short;hot;cold;dry;wet;busy;quiet,new;old;long;short;cold;warm;dry;wet;good;bad,cold;dry;long;new;old;short;wet,busy;hot;quiet,bad;good;warm,0.046792998909950256,0.46153846153846156
AR # Arabic,FR # French,Time Concepts,second,C1,most frequent,last;next;long;short;early;late;good;bad;quiet;busy,last;next;long;short;good;bad;free;busy;early;late,bad;busy;early;good;last;late;long;next;short,quiet,free,0.01917400024831295,0.18181818181818177
AR # Arabic,FR # French,Time Concepts,week,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,last;next;new;old;long;short;good;bad;busy;free,bad;busy;good;last;long;new;next;old;short,quiet,free,0.01942799985408783,0.18181818181818177
AR # Arabic,FR # French,Time Concepts,year,C1,most frequent,last;next;new;old;long;short;good;bad;busy;quiet,last;next;new;old;long;short;good;bad;busy;free,bad;busy;good;last;long;new;next;old;short,quiet,free,0.01942799985408783,0.18181818181818177
AR # Arabic,GA # Irish,Time Concepts,century,C1,most frequent,last;new;old;next;past;great;long;short;important;modern,new;old;last;next;great;long;short;past;present;future,great;last;long;new;next;old;past;short,important;modern,future;present,0.024039000272750854,0.33333333333333337
AR # Arabic,GA # Irish,Time Concepts,day,C1,most frequent,new;old;long;short;good;bad;hot;cold;busy;quiet,new;old;long;short;good;bad;last;next;bright;clear,bad;good;long;new;old;short,busy;cold;hot;quiet,bright;clear;last;next,0.09057199954986572,0.5714285714285714
AR # Arabic,GA # Irish,Time Concepts,evening,C1,most frequent,quiet;long;short;good;bad;warm;cold;dark;late;early,quiet;long;short;good;bad;last;next;warm;cool;dark,bad;dark;good;long;quiet;short;warm,cold;early;late,cool;last;next,0.05810200050473213,0.46153846153846156
