Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Abstract Concepts,anger,C2,most frequent,intense;sudden;deep;uncontrollable;silent;burning;bitter;cold;hidden;violent,intense;sudden;deep;uncontrollable;silent;burning;bitter;violent;righteous;blind,bitter;burning;deep;intense;silent;sudden;uncontrollable;violent,cold;hidden,blind;righteous,0.04806699976325035,0.33333333333333337
AR # Arabic,BN # Bengali,Abstract Concepts,courage,C2,most frequent,great;true;quiet;moral;physical;inner;remarkable;extraordinary;steady;personal,great;true;quiet;moral;physical;inner;remarkable;extraordinary;steady;personal,extraordinary;great;inner;moral;personal;physical;quiet;remarkable;steady;true,,,0.0,0.0
AR # Arabic,BN # Bengali,Abstract Concepts,fear,C2,most frequent,deep;great;sudden;constant;irrational;real;intense;silent;growing;overwhelming,deep;great;sudden;constant;irrational;intense;overwhelming;real;silent;terrible,constant;deep;great;intense;irrational;overwhelming;real;silent;sudden,growing,terrible,0.022379999980330467,0.18181818181818177
AR # Arabic,BN # Bengali,Abstract Concepts,freedom,C2,most frequent,complete;total;personal;political;true;individual;economic;religious;absolute;full,complete;total;personal;political;true;individual;economic;religious;absolute;full,absolute;complete;economic;full;individual;personal;political;religious;total;true,,,0.0,0.0
AR # Arabic,BN # Bengali,Abstract Concepts,happiness,C2,most frequent,true;great;pure;real;simple;lasting;deep;complete;perfect;genuine,true;great;pure;real;simple;lasting;deep;perfect;complete;genuine,complete;deep;genuine;great;lasting;perfect;pure;real;simple;true,,,0.0,0.0
AR # Arabic,BN # Bengali,Abstract Concepts,hate,C2,most frequent,deep;blind;pure;open;cold;strong;bitter;burning;intense;silent,deep;blind;pure;open;strong;bitter;intense;cold;burning;violent,bitter;blind;burning;cold;deep;intense;open;pure;strong,silent,violent,0.02092299982905388,0.18181818181818177
AR # Arabic,BN # Bengali,Abstract Concepts,honesty,C2,most frequent,complete;true;total;personal;absolute;great;simple;real;open;perfect,complete;true;absolute;personal;total;simple;real;open;moral;perfect,absolute;complete;open;perfect;personal;real;simple;total;true,great,moral,0.01738700084388256,0.18181818181818177
AR # Arabic,BN # Bengali,Abstract Concepts,justice,C2,most frequent,true;social;real;equal;fair;complete;perfect;legal;moral;natural,true;social;real;equal;natural;criminal;legal;poetic;divine;fair,equal;fair;legal;natural;real;social;true,complete;moral;perfect,criminal;divine;poetic,0.05150999873876572,0.46153846153846156
AR # Arabic,BN # Bengali,Abstract Concepts,knowledge,C2,most frequent,deep;great;true;complete;scientific;practical;personal;general;wide;basic,deep;true;complete;general;scientific;practical;personal;common;broad;detailed,complete;deep;general;personal;practical;scientific;true,basic;great;wide,broad;common;detailed,0.023993000388145447,0.46153846153846156
AR # Arabic,BN # Bengali,Abstract Concepts,love,C2,most frequent,true;deep;great;pure;real;first;strong;perfect;romantic;unconditional,true;deep;great;pure;real;romantic;unconditional;strong;passionate;eternal,deep;great;pure;real;romantic;strong;true;unconditional,first;perfect,eternal;passionate,0.03849000111222267,0.33333333333333337
AR # Arabic,BN # Bengali,Abstract Concepts,peace,C2,most frequent,true;lasting;complete;inner;perfect;real;long;political;world;quiet,true;lasting;complete;inner;perfect;real;great;political;world;quiet,complete;inner;lasting;perfect;political;quiet;real;true;world,long,great,0.017909999936819077,0.18181818181818177
AR # Arabic,BN # Bengali,Abstract Concepts,wisdom,C2,most frequent,great;true;deep;ancient;practical;real;personal;common;natural;spiritual,great;true;ancient;deep;practical;common;real;spiritual;personal;moral,ancient;common;deep;great;personal;practical;real;spiritual;true,natural,moral,0.014437000267207623,0.18181818181818177
AR # Arabic,DE # German,Abstract Concepts,anger,C2,most frequent,intense;sudden;deep;uncontrollable;silent;burning;bitter;cold;hidden;violent,intense;sudden;deep;uncontrollable;silent;burning;bitter;cold;growing;hidden,bitter;burning;cold;deep;hidden;intense;silent;sudden;uncontrollable,violent,growing,0.023434000089764595,0.18181818181818177
