Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Inanimate Objects,book,C2,most frequent,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;great;famous;big;small;thick;thin;interesting,big;famous;good;interesting;new;old;small;thick;thin,popular,great,0.012261999770998955,0.18181818181818177
AR # Arabic,BN # Bengali,Inanimate Objects,bridge,C2,most frequent,old;new;big;small;long;short;famous;strong;wooden;stone,old;new;big;small;long;short;strong;wooden;stone;famous,big;famous;long;new;old;short;small;stone;strong;wooden,,,0.0,0.0
AR # Arabic,BN # Bengali,Inanimate Objects,drums,C2,most frequent,big;small;loud;old;new;wooden;African;metal;round;traditional,big;small;loud;old;new;wooden;metal;heavy;light;traditional,big;loud;metal;new;old;small;traditional;wooden,African;round,heavy;light,0.04813100025057793,0.33333333333333337
AR # Arabic,BN # Bengali,Inanimate Objects,earth,C2,most frequent,round;big;small;old;green;blue;beautiful;rich;dry;wet,round;big;blue;green;beautiful;living;rich;fertile;warm;ancient,beautiful;big;blue;green;rich;round,dry;old;small;wet,ancient;fertile;living;warm,0.07082200050354004,0.5714285714285714
AR # Arabic,BN # Bengali,Inanimate Objects,flute,C2,most frequent,wooden;silver;small;long;old;new;metal;beautiful;traditional;simple,wooden;silver;old;new;small;long;beautiful;traditional;metal;simple,beautiful;long;metal;new;old;silver;simple;small;traditional;wooden,,,0.0,0.0
AR # Arabic,BN # Bengali,Inanimate Objects,key,C2,most frequent,small;old;new;golden;silver;big;metal;main;important;lost,small;old;new;golden;silver;big;metal;lost;spare;main,big;golden;lost;main;metal;new;old;silver;small,important,spare,0.014159999787807465,0.18181818181818177
AR # Arabic,BN # Bengali,Inanimate Objects,knife,C2,most frequent,sharp;big;small;old;new;long;short;silver;kitchen;dangerous,sharp;big;small;old;new;long;short;silver;kitchen;dangerous,big;dangerous;kitchen;long;new;old;sharp;short;silver;small,,,0.0,0.0
AR # Arabic,BN # Bengali,Inanimate Objects,lock,C2,most frequent,old;new;big;small;strong;broken;metal;golden;silver;heavy,old;new;big;small;strong;broken;metal;heavy;main;golden,big;broken;golden;heavy;metal;new;old;small;strong,silver,main,0.01282500009983778,0.18181818181818177
AR # Arabic,BN # Bengali,Inanimate Objects,moon,C2,most frequent,full;new;bright;round;big;small;white;clear;beautiful;half,full;new;bright;round;white;big;beautiful;clear;shining;pale,beautiful;big;bright;clear;full;new;round;white,half;small,pale;shining,0.0364839993417263,0.33333333333333337
AR # Arabic,BN # Bengali,Inanimate Objects,pen,C2,most frequent,blue;black;red;old;new;small;big;broken;cheap;expensive,blue;black;red;old;new;small;big;broken;cheap;expensive,big;black;blue;broken;cheap;expensive;new;old;red;small,,,0.0,0.0
