Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Spatial Concepts,above,C2,most frequent,high;far;close;near;open;clear;empty;wide;bright;blue,high;far;close;near;open;clear;empty;bright;wide;blue,blue;bright;clear;close;empty;far;high;near;open;wide,,,0.0,0.0
AR # Arabic,BN # Bengali,Spatial Concepts,back,C2,most frequent,lower;upper;strong;weak;straight;broad;narrow;flat;soft;hard,lower;upper;strong;broad;straight;flat;bare;naked;sore;stiff,broad;flat;lower;straight;strong;upper,hard;narrow;soft;weak,bare;naked;sore;stiff,0.08833800256252289,0.5714285714285714
AR # Arabic,BN # Bengali,Spatial Concepts,below,C2,most frequent,low;deep;far;close;near;dark;cold;hidden;quiet;empty,deep;far;close;near;dark;cold;quiet;empty;hidden;low,close;cold;dark;deep;empty;far;hidden;low;near;quiet,,,0.0,0.0
AR # Arabic,BN # Bengali,Spatial Concepts,east,C2,most frequent,far;near;close;distant;bright;open;new;old;main;important,far;near;distant;close;bright;rising;golden;warm;open;new,bright;close;distant;far;near;new;open,important;main;old,golden;rising;warm,0.06102700158953667,0.46153846153846156
AR # Arabic,BN # Bengali,Spatial Concepts,front,C2,most frequent,main;open;wide;big;small;close;near;new;old;clear,main;open;wide;big;small;clear;flat;straight;bright;new,big;clear;main;new;open;small;wide,close;near;old,bright;flat;straight,0.07180199772119522,0.46153846153846156
AR # Arabic,BN # Bengali,Spatial Concepts,inside,C2,most frequent,dark;warm;quiet;safe;small;big;close;near;hidden;private,dark;warm;quiet;safe;small;big;empty;full;private;hidden,big;dark;hidden;private;quiet;safe;small;warm,close;near,empty;full,0.04740000143647194,0.33333333333333337
AR # Arabic,BN # Bengali,Spatial Concepts,left,C2,most frequent,far;near;close;main;open;new;old;big;small;important,far;near;close;open;empty;main;upper;lower;quiet;straight,close;far;main;near;open,big;important;new;old;small,empty;lower;quiet;straight;upper,0.13459399342536926,0.6666666666666667
AR # Arabic,BN # Bengali,Spatial Concepts,north,C2,most frequent,far;near;close;cold;main;open;new;old;big;important,far;near;distant;close;cold;open;wild;high;upper;snowy,close;cold;far;near;open,big;important;main;new;old,distant;high;snowy;upper;wild,0.11251500248908997,0.6666666666666667
AR # Arabic,BN # Bengali,Spatial Concepts,outside,C2,most frequent,open;wide;big;small;near;far;close;cold;dark;bright,open;wide;big;small;empty;quiet;dark;bright;cold;public,big;bright;cold;dark;open;small;wide,close;far;near,empty;public;quiet,0.07625900208950043,0.46153846153846156
AR # Arabic,BN # Bengali,Spatial Concepts,right,C2,most frequent,far;near;close;main;open;new;old;big;small;important,far;near;close;open;empty;main;upper;lower;straight;quiet,close;far;main;near;open,big;important;new;old;small,empty;lower;quiet;straight;upper,0.13459399342536926,0.6666666666666667
AR # Arabic,BN # Bengali,Spatial Concepts,south,C2,most frequent,far;near;close;warm;main;open;new;old;big;important,far;near;distant;close;warm;open;wild;lower;sunny;green,close;far;near;open;warm,big;important;main;new;old,distant;green;lower;sunny;wild,0.11867000162601471,0.6666666666666667
AR # Arabic,BN # Bengali,Spatial Concepts,west,C2,most frequent,far;near;close;main;open;new;old;big;small;important,far;near;distant;close;open;wild;golden;warm;setting;new,close;far;near;new;open,big;important;main;old;small,distant;golden;setting;warm;wild,0.11370199918746948,0.6666666666666667
AR # Arabic,DE # German,Spatial Concepts,above,C2,most frequent,high;far;close;near;open;clear;empty;wide;bright;blue,high;clear;open;bright;blue;empty;wide;far;sunny;endless,blue;bright;clear;empty;far;high;open;wide,close;near,endless;sunny,0.0492670014500618,0.33333333333333337
AR # Arabic,DE # German,Spatial Concepts,back,C2,most frequent,lower;upper;strong;weak;straight;broad;narrow;flat;soft;hard,lower;upper;strong;broad;straight;weak;stiff;sore;flat;bare,broad;flat;lower;straight;strong;upper;weak,hard;narrow;soft,bare;sore;stiff,0.049348000437021255,0.46153846153846156
AR # Arabic,DE # German,Spatial Concepts,below,C2,most frequent,low;deep;far;close;near;dark;cold;hidden;quiet;empty,deep;dark;cold;quiet;silent;empty;hidden;low;secret;wet,cold;dark;deep;empty;hidden;low;quiet,close;far;near,secret;silent;wet,0.061604999005794525,0.46153846153846156
AR # Arabic,DE # German,Spatial Concepts,east,C2,most frequent,far;near;close;distant;bright;open;new;old;main;important,far;distant;bright;rising;new;old;golden;warm;open;sunny,bright;distant;far;new;old;open,close;important;main;near,golden;rising;sunny;warm,0.10881499946117401,0.5714285714285714
AR # Arabic,DE # German,Spatial Concepts,front,C2,most frequent,main;open;wide;big;small;close;near;new;old;clear,main;open;wide;big;small;new;old;strong;flat;clear,big;clear;main;new;old;open;small;wide,close;near,flat;strong,0.04166800156235695,0.33333333333333337
AR # Arabic,DE # German,Spatial Concepts,inside,C2,most frequent,dark;warm;quiet;safe;small;big;close;near;hidden;private,warm;safe;quiet;dark;bright;small;big;dry;clean;private,big;dark;private;quiet;safe;small;warm,close;hidden;near,bright;clean;dry,0.06400399655103683,0.46153846153846156
AR # Arabic,DE # German,Spatial Concepts,left,C2,most frequent,far;near;close;main;open;new;old;big;small;important,far;near;lower;upper;main;open;free;empty;quiet;silent,far;main;near;open,big;close;important;new;old;small,empty;free;lower;quiet;silent;upper,0.20154200494289398,0.75
AR # Arabic,DE # German,Spatial Concepts,north,C2,most frequent,far;near;close;cold;main;open;new;old;big;important,far;cold;distant;wild;open;high;snowy;dark;remote;strong,cold;far;open,big;close;important;main;near;new;old,dark;distant;high;remote;snowy;strong;wild,0.17862899601459503,0.8235294117647058
AR # Arabic,DE # German,Spatial Concepts,outside,C2,most frequent,open;wide;big;small;near;far;close;cold;dark;bright,open;wide;free;big;cold;warm;bright;dark;empty;public,big;bright;cold;dark;open;wide,close;far;near;small,empty;free;public;warm,0.10791999846696854,0.5714285714285714
AR # Arabic,DE # German,Spatial Concepts,right,C2,most frequent,far;near;close;main;open;new;old;big;small;important,far;near;lower;upper;main;open;free;empty;quiet;silent,far;main;near;open,big;close;important;new;old;small,empty;free;lower;quiet;silent;upper,0.20154300332069397,0.75
AR # Arabic,DE # German,Spatial Concepts,south,C2,most frequent,far;near;close;warm;main;open;new;old;big;important,far;warm;distant;open;sunny;bright;green;rich;wild;new,far;new;open;warm,big;close;important;main;near;old,bright;distant;green;rich;sunny;wild,0.16081500053405762,0.75
AR # Arabic,DE # German,Spatial Concepts,west,C2,most frequent,far;near;close;main;open;new;old;big;small;important,far;wild;open;distant;old;new;golden;free;bright;rich,far;new;old;open,big;close;important;main;near;small,bright;distant;free;golden;rich;wild,0.16020900011062622,0.75
AR # Arabic,ES # Spanish,Spatial Concepts,above,C2,most frequent,high;far;close;near;open;clear;empty;wide;bright;blue,high;clear;open;bright;blue;empty;wide;far;distant;sunny,blue;bright;clear;empty;far;high;open;wide,close;near,distant;sunny,0.03350700065493584,0.33333333333333337
