Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Cultural Artifacts,bell,Perfect,most frequent,big;small;old;golden;silver;loud;church;heavy;round;metal,big;small;old;golden;silver;loud;church;heavy;round;broken,big;church;golden;heavy;loud;old;round;silver;small,metal,broken,0.017405999824404716,0.18181818181818177
AR # Arabic,BN # Bengali,Cultural Artifacts,candle,Perfect,most frequent,white;small;big;scented;long;short;red;burning;wax;thin,small;white;red;tall;scented;burning;new;old;thin;wax,burning;red;scented;small;thin;wax;white,big;long;short,new;old;tall,0.0537399984896183,0.46153846153846156
AR # Arabic,BN # Bengali,Cultural Artifacts,carpet,Perfect,most frequent,red;big;old;new;soft;thick;Persian;beautiful;colorful;clean,red;old;big;new;soft;thick;beautiful;clean;dirty;blue,beautiful;big;clean;new;old;red;soft;thick,Persian;colorful,blue;dirty,0.03630499914288521,0.33333333333333337
AR # Arabic,BN # Bengali,Cultural Artifacts,coin,Perfect,most frequent,old;gold;silver;small;rare;ancient;round;new;valuable;shiny,old;gold;silver;small;new;rare;round;ancient;shiny;valuable,ancient;gold;new;old;rare;round;shiny;silver;small;valuable,,,0.0,0.0
AR # Arabic,BN # Bengali,Cultural Artifacts,crown,Perfect,most frequent,golden;royal;old;beautiful;big;silver;heavy;ancient;jeweled;new,golden;royal;old;beautiful;heavy;silver;new;big;jeweled;ancient,ancient;beautiful;big;golden;heavy;jeweled;new;old;royal;silver,,,0.0,0.0
AR # Arabic,BN # Bengali,Cultural Artifacts,flag,Perfect,most frequent,national;red;white;blue;big;small;old;new;colorful;green,national;red;white;blue;old;new;big;small;colorful;green,big;blue;colorful;green;national;new;old;red;small;white,,,0.0,0.0
AR # Arabic,BN # Bengali,Cultural Artifacts,mask,Perfect,most frequent,white;black;old;new;wooden;golden;silver;scary;colorful;plastic,old;new;white;black;red;golden;scary;beautiful;simple;colorful,black;colorful;golden;new;old;scary;white,plastic;silver;wooden,beautiful;red;simple,0.08445200324058533,0.46153846153846156
AR # Arabic,BN # Bengali,Cultural Artifacts,necklace,Perfect,most frequent,gold;silver;beautiful;long;short;old;new;pearl;diamond;colorful,gold;silver;beautiful;old;new;long;short;pearl;diamond;colorful,beautiful;colorful;diamond;gold;long;new;old;pearl;short;silver,,,0.0,0.0
AR # Arabic,BN # Bengali,Cultural Artifacts,painting,Perfect,most frequent,beautiful;old;famous;big;small;modern;new;colorful;abstract;classic,old;beautiful;famous;big;small;new;modern;classic;colorful;original,beautiful;big;classic;colorful;famous;modern;new;old;small,abstract,original,0.012914000079035759,0.18181818181818177
AR # Arabic,BN # Bengali,Cultural Artifacts,ring,Perfect,most frequent,gold;silver;diamond;old;new;beautiful;small;big;wedding;simple,gold;silver;diamond;old;new;beautiful;small;big;wedding;simple,beautiful;big;diamond;gold;new;old;silver;simple;small;wedding,,,0.0,0.0
AR # Arabic,BN # Bengali,Cultural Artifacts,statue,Perfect,most frequent,big;small;old;bronze;stone;marble;famous;ancient;beautiful;golden,big;small;old;stone;bronze;golden;beautiful;ancient;new;famous,ancient;beautiful;big;bronze;famous;golden;old;small;stone,marble,new,0.02112000063061714,0.18181818181818177
AR # Arabic,BN # Bengali,Cultural Artifacts,vase,Perfect,most frequent,big;small;old;new;beautiful;glass;ceramic;white;blue;colorful,old;new;big;small;beautiful;broken;white;blue;glass;ceramic,beautiful;big;blue;ceramic;glass;new;old;small;white,colorful,broken,0.02208399958908558,0.18181818181818177
AR # Arabic,DE # German,Cultural Artifacts,bell,Perfect,most frequent,big;small;old;golden;silver;loud;church;heavy;round;metal,big;small;old;new;golden;silver;loud;clear;church;heavy,big;church;golden;heavy;loud;old;silver;small,metal;round,clear;new,0.04194499924778938,0.33333333333333337
AR # Arabic,DE # German,Cultural Artifacts,candle,Perfect,most frequent,white;small;big;scented;long;short;red;burning;wax;thin,small;white;long;short;red;new;old;burning;scented;thin,burning;long;red;scented;short;small;thin;white,big;wax,new;old,0.03796499967575073,0.33333333333333337
AR # Arabic,DE # German,Cultural Artifacts,carpet,Perfect,most frequent,red;big;old;new;soft;thick;Persian;beautiful;colorful;clean,big;small;old;new;red;blue;thick;soft;clean;dirty,big;clean;new;old;red;soft;thick,Persian;beautiful;colorful,blue;dirty;small,0.06450200080871582,0.46153846153846156
AR # Arabic,DE # German,Cultural Artifacts,coin,Perfect,most frequent,old;gold;silver;small;rare;ancient;round;new;valuable;shiny,old;new;gold;silver;small;big;round;rare;ancient;shiny,ancient;gold;new;old;rare;round;shiny;silver;small,valuable,big,0.01749200001358986,0.18181818181818177
AR # Arabic,DE # German,Cultural Artifacts,crown,Perfect,most frequent,golden;royal;old;beautiful;big;silver;heavy;ancient;jeweled;new,golden;royal;old;new;big;small;silver;beautiful;heavy;ancient,ancient;beautiful;big;golden;heavy;new;old;royal;silver,jeweled,small,0.018837999552488327,0.18181818181818177
AR # Arabic,DE # German,Cultural Artifacts,flag,Perfect,most frequent,national;red;white;blue;big;small;old;new;colorful;green,national;red;white;blue;old;new;big;small;green;black,big;blue;green;national;new;old;red;small;white,colorful,black,0.017508000135421753,0.18181818181818177
AR # Arabic,DE # German,Cultural Artifacts,mask,Perfect,most frequent,white;black;old;new;wooden;golden;silver;scary;colorful;plastic,old;new;white;black;red;golden;small;big;wooden;painted,black;golden;new;old;white;wooden,colorful;plastic;scary;silver,big;painted;red;small,0.07129000127315521,0.5714285714285714
AR # Arabic,DE # German,Cultural Artifacts,necklace,Perfect,most frequent,gold;silver;beautiful;long;short;old;new;pearl;diamond;colorful,gold;silver;old;new;beautiful;long;short;pearl;big;small,beautiful;gold;long;new;old;pearl;short;silver,colorful;diamond,big;small,0.05112000182271004,0.33333333333333337
AR # Arabic,DE # German,Cultural Artifacts,painting,Perfect,most frequent,beautiful;old;famous;big;small;modern;new;colorful;abstract;classic,old;new;big;small;beautiful;famous;modern;ancient;original;colorful,beautiful;big;colorful;famous;modern;new;old;small,abstract;classic,ancient;original,0.019923999905586243,0.33333333333333337
AR # Arabic,DE # German,Cultural Artifacts,ring,Perfect,most frequent,gold;silver;diamond;old;new;beautiful;small;big;wedding;simple,gold;silver;old;new;big;small;wedding;beautiful;simple;diamond,beautiful;big;diamond;gold;new;old;silver;simple;small;wedding,,,0.0,0.0
AR # Arabic,DE # German,Cultural Artifacts,statue,Perfect,most frequent,big;small;old;bronze;stone;marble;famous;ancient;beautiful;golden,big;small;old;new;stone;bronze;golden;ancient;beautiful;famous,ancient;beautiful;big;bronze;famous;golden;old;small;stone,marble,new,0.02112000063061714,0.18181818181818177
AR # Arabic,DE # German,Cultural Artifacts,vase,Perfect,most frequent,big;small;old;new;beautiful;glass;ceramic;white;blue;colorful,old;new;big;small;white;blue;beautiful;broken;glass;ceramic,beautiful;big;blue;ceramic;glass;new;old;small;white,colorful,broken,0.02208399958908558,0.18181818181818177
AR # Arabic,ES # Spanish,Cultural Artifacts,bell,Perfect,most frequent,big;small;old;golden;silver;loud;church;heavy;round;metal,big;small;old;golden;silver;loud;church;heavy;broken;round,big;church;golden;heavy;loud;old;round;silver;small,metal,broken,0.017405999824404716,0.18181818181818177
AR # Arabic,ES # Spanish,Cultural Artifacts,candle,Perfect,most frequent,white;small;big;scented;long;short;red;burning;wax;thin,small;white;tall;scented;red;burning;thin;new;old;wax,burning;red;scented;small;thin;wax;white,big;long;short,new;old;tall,0.0537399984896183,0.46153846153846156
AR # Arabic,ES # Spanish,Cultural Artifacts,carpet,Perfect,most frequent,red;big;old;new;soft;thick;Persian;beautiful;colorful;clean,red;large;old;new;soft;thick;beautiful;blue;clean;dirty,beautiful;clean;new;old;red;soft;thick,Persian;big;colorful,blue;dirty;large,0.038082998245954514,0.46153846153846156
AR # Arabic,ES # Spanish,Cultural Artifacts,coin,Perfect,most frequent,old;gold;silver;small;rare;ancient;round;new;valuable;shiny,old;gold;silver;small;rare;new;ancient;round;valuable;foreign,ancient;gold;new;old;rare;round;silver;small;valuable,shiny,foreign,0.017464999109506607,0.18181818181818177
AR # Arabic,ES # Spanish,Cultural Artifacts,crown,Perfect,most frequent,golden;royal;old;beautiful;big;silver;heavy;ancient;jeweled;new,golden;royal;old;beautiful;heavy;silver;new;ancient;big;jeweled,ancient;beautiful;big;golden;heavy;jeweled;new;old;royal;silver,,,9.999999974752427e-07,0.0
