Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Environmental Phenomena,cloud,Perfect,most frequent,white;dark;big;small;gray;thick;light;heavy;low;high,white;dark;big;small;gray;thick;light;heavy;fluffy;black,big;dark;gray;heavy;light;small;thick;white,high;low,black;fluffy,0.03773599863052368,0.33333333333333337
AR # Arabic,BN # Bengali,Environmental Phenomena,earthquake,Perfect,most frequent,big;small;strong;powerful;sudden;deadly;recent;major;minor;destructive,big;strong;sudden;powerful;deadly;recent;major;minor;violent;destructive,big;deadly;destructive;major;minor;powerful;recent;strong;sudden,small,violent,0.020268000662326813,0.18181818181818177
AR # Arabic,BN # Bengali,Environmental Phenomena,fog,Perfect,most frequent,thick;heavy;white;dense;morning;cold;light;gray;low;wet,thick;heavy;white;morning;dense;cold;light;gray;low;wet,cold;dense;gray;heavy;light;low;morning;thick;wet;white,,,0.0,0.0
AR # Arabic,BN # Bengali,Environmental Phenomena,lightning,Perfect,most frequent,bright;sudden;strong;powerful;quick;white;blue;dangerous;loud;sharp,bright;sudden;strong;quick;powerful;white;blue;loud;dangerous;sharp,blue;bright;dangerous;loud;powerful;quick;sharp;strong;sudden;white,,,0.0,0.0
AR # Arabic,BN # Bengali,Environmental Phenomena,rain,Perfect,most frequent,heavy;light;cold;warm;steady;hard;soft;constant;gentle;strong,heavy;light;cold;steady;hard;soft;sudden;warm;constant;gentle,cold;constant;gentle;hard;heavy;light;soft;steady;warm,strong,sudden,0.012550000101327896,0.18181818181818177
AR # Arabic,BN # Bengali,Environmental Phenomena,rainbow,Perfect,most frequent,beautiful;bright;colorful;big;small;double;clear;rare;perfect;full,beautiful;bright;colorful;big;small;double;clear;full;rare;perfect,beautiful;big;bright;clear;colorful;double;full;perfect;rare;small,,,0.0,0.0
AR # Arabic,BN # Bengali,Environmental Phenomena,snow,Perfect,most frequent,white;heavy;light;fresh;deep;soft;cold;thick;new;clean,white;heavy;light;fresh;deep;soft;cold;new;thick;clean,clean;cold;deep;fresh;heavy;light;new;soft;thick;white,,,0.0,0.0
AR # Arabic,BN # Bengali,Environmental Phenomena,storm,Perfect,most frequent,big;strong;heavy;violent;sudden;powerful;dark;cold;great;dangerous,big;strong;heavy;sudden;violent;powerful;bad;dark;dangerous;loud,big;dangerous;dark;heavy;powerful;strong;sudden;violent,cold;great,bad;loud,0.026572000235319138,0.33333333333333337
AR # Arabic,BN # Bengali,Environmental Phenomena,thunder,Perfect,most frequent,loud;strong;sudden;deep;heavy;distant;rolling;powerful;sharp;constant,loud;strong;sudden;deep;heavy;distant;rolling;sharp;powerful;constant,constant;deep;distant;heavy;loud;powerful;rolling;sharp;strong;sudden,,,0.0,0.0
AR # Arabic,BN # Bengali,Environmental Phenomena,tide,Perfect,most frequent,high;low;strong;rising;falling;daily;big;powerful;fast;regular,high;low;strong;rising;falling;daily;big;powerful;fast;regular,big;daily;falling;fast;high;low;powerful;regular;rising;strong,,,0.0,0.0
