Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Food Items,apple,Perfect,most frequent,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,big;crisp;fresh;green;juicy;red;ripe;round;small;sweet,,,0.0,0.0
AR # Arabic,BN # Bengali,Food Items,banana,Perfect,most frequent,yellow;ripe;green;big;small;sweet;fresh;long;soft;curved,ripe;yellow;green;big;small;sweet;fresh;long;soft;curved,big;curved;fresh;green;long;ripe;small;soft;sweet;yellow,,,0.0,0.0
AR # Arabic,BN # Bengali,Food Items,beef,Perfect,most frequent,fresh;cooked;raw;tender;lean;ground;grilled;roasted;juicy;spicy,fresh;cooked;raw;tender;lean;juicy;grilled;roasted;spicy;ground,cooked;fresh;grilled;ground;juicy;lean;raw;roasted;spicy;tender,,,0.0,0.0
AR # Arabic,BN # Bengali,Food Items,bread,Perfect,most frequent,fresh;white;brown;soft;hard;warm;sliced;homemade;sweet;round,fresh;white;brown;soft;hard;warm;new;old;sliced;homemade,brown;fresh;hard;homemade;sliced;soft;warm;white,round;sweet,new;old,0.04590500146150589,0.33333333333333337
AR # Arabic,BN # Bengali,Food Items,broccoli,Perfect,most frequent,fresh;green;cooked;raw;steamed;healthy;small;big;soft;tender,fresh;green;cooked;raw;steamed;healthy;small;big;soft;tender,big;cooked;fresh;green;healthy;raw;small;soft;steamed;tender,,,0.0,0.0
AR # Arabic,BN # Bengali,Food Items,cheese,Perfect,most frequent,soft;hard;white;yellow;fresh;aged;creamy;salty;mild;strong,soft;hard;fresh;old;white;yellow;creamy;strong;mild;sliced,creamy;fresh;hard;mild;soft;strong;white;yellow,aged;salty,old;sliced,0.019525999203324318,0.33333333333333337
AR # Arabic,BN # Bengali,Food Items,chicken,Perfect,most frequent,cooked;raw;grilled;fried;roasted;fresh;spicy;tender;juicy;baked,cooked;fried;grilled;roasted;fresh;raw;spicy;tender;baked;hot,baked;cooked;fresh;fried;grilled;raw;roasted;spicy;tender,juicy,hot,0.010983999818563461,0.18181818181818177
AR # Arabic,BN # Bengali,Food Items,egg,Perfect,most frequent,boiled;fried;raw;fresh;hard;soft;white;brown;cooked;large,boiled;fried;raw;fresh;hard;soft;white;brown;cooked;large,boiled;brown;cooked;fresh;fried;hard;large;raw;soft;white,,,0.0,0.0
AR # Arabic,BN # Bengali,Food Items,fish,Perfect,most frequent,fresh;cooked;raw;fried;grilled;small;big;salty;white;smoked,fresh;cooked;raw;fried;grilled;big;small;salty;spicy;dried,big;cooked;fresh;fried;grilled;raw;salty;small,smoked;white,dried;spicy,0.02869500033557415,0.33333333333333337
AR # Arabic,BN # Bengali,Food Items,pasta,Perfect,most frequent,cooked;fresh;hot;cold;homemade;Italian;long;short;soft;creamy,cooked;fresh;hot;cold;soft;long;short;creamy;spicy;homemade,cold;cooked;creamy;fresh;homemade;hot;long;short;soft,Italian,spicy,0.019437000155448914,0.18181818181818177
