Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Human Roles,artist,Perfect,most frequent,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;great;talented;modern;creative;new;local;skilled,creative;famous;great;local;modern;new;old;skilled;talented;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,athlete,Perfect,most frequent,young;strong;great;famous;professional;talented;fast;skilled;new;top,young;strong;great;famous;fast;talented;professional;skilled;new;top,famous;fast;great;new;professional;skilled;strong;talented;top;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,chef,Perfect,most frequent,famous;great;young;talented;skilled;professional;new;creative;local;top,famous;great;young;skilled;talented;new;top;creative;local;professional,creative;famous;great;local;new;professional;skilled;talented;top;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,doctor,Perfect,most frequent,good;young;old;great;famous;skilled;local;new;experienced;professional,good;young;old;famous;skilled;great;local;new;experienced;professional,experienced;famous;good;great;local;new;old;professional;skilled;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,engineer,Perfect,most frequent,skilled;young;old;great;talented;professional;new;experienced;local;top,skilled;young;old;good;great;talented;new;professional;experienced;creative,experienced;great;new;old;professional;skilled;talented;young,local;top,creative;good,0.02981800027191639,0.33333333333333337
AR # Arabic,BN # Bengali,Human Roles,farmer,Perfect,most frequent,local;old;young;hard-working;skilled;small;big;experienced;new;good,old;young;local;small;big;poor;rich;skilled;hard-working;experienced,big;experienced;hard-working;local;old;skilled;small;young,good;new,poor;rich,0.04325300082564354,0.33333333333333337
AR # Arabic,BN # Bengali,Human Roles,lawyer,Perfect,most frequent,good;young;old;great;famous;skilled;local;new;experienced;professional,good;young;old;famous;skilled;great;local;new;experienced;professional,experienced;famous;good;great;local;new;old;professional;skilled;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,musician,Perfect,most frequent,famous;young;old;great;talented;skilled;new;local;creative;professional,famous;young;old;great;talented;skilled;new;local;creative;professional,creative;famous;great;local;new;old;professional;skilled;talented;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,scientist,Perfect,most frequent,famous;young;old;great;talented;skilled;new;local;top;experienced,famous;young;old;great;skilled;talented;new;top;local;creative,famous;great;local;new;old;skilled;talented;top;young,experienced,creative,0.017297999933362007,0.18181818181818177
AR # Arabic,BN # Bengali,Human Roles,soldier,Perfect,most frequent,brave;young;old;strong;great;skilled;new;experienced;loyal;good,brave;young;old;strong;good;great;skilled;new;experienced;loyal,brave;experienced;good;great;loyal;new;old;skilled;strong;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Human Roles,teacher,Perfect,most frequent,good;young;old;great;skilled;new;experienced;local;kind;patient,good;young;old;great;skilled;new;local;experienced;famous;kind,experienced;good;great;kind;local;new;old;skilled;young,patient,famous,0.019764000549912453,0.18181818181818177
AR # Arabic,BN # Bengali,Human Roles,writer,Perfect,most frequent,famous;young;old;great;talented;skilled;new;creative;local;popular,famous;young;old;great;talented;skilled;new;local;creative;popular,creative;famous;great;local;new;old;popular;skilled;talented;young,,,0.0,0.0
AR # Arabic,DE # German,Human Roles,artist,Perfect,most frequent,famous;young;old;great;talented;modern;creative;new;local;skilled,great;famous;young;old;modern;talented;creative;new;local;popular,creative;famous;great;local;modern;new;old;talented;young,skilled,popular,0.012501000426709652,0.18181818181818177
AR # Arabic,DE # German,Human Roles,athlete,Perfect,most frequent,young;strong;great;famous;professional;talented;fast;skilled;new;top,great;young;old;strong;famous;fast;talented;professional;new;top,famous;fast;great;new;professional;strong;talented;top;young,skilled,old,0.015752000734210014,0.18181818181818177
AR # Arabic,DE # German,Human Roles,chef,Perfect,most frequent,famous;great;young;talented;skilled;professional;new;creative;local;top,great;famous;young;old;new;talented;professional;French;Italian;top,famous;great;new;professional;talented;top;young,creative;local;skilled,French;Italian;old,0.062415000051259995,0.46153846153846156
AR # Arabic,DE # German,Human Roles,doctor,Perfect,most frequent,good;young;old;great;famous;skilled;local;new;experienced;professional,good;young;old;great;famous;new;local;family;private;top,famous;good;great;local;new;old;young,experienced;professional;skilled,family;private;top,0.06622099876403809,0.46153846153846156
AR # Arabic,DE # German,Human Roles,engineer,Perfect,most frequent,skilled;young;old;great;talented;professional;new;experienced;local;top,good;young;old;great;new;talented;professional;civil;electrical;top,great;new;old;professional;talented;top;young,experienced;local;skilled,civil;electrical;good,0.05573299899697304,0.46153846153846156
AR # Arabic,DE # German,Human Roles,farmer,Perfect,most frequent,local;old;young;hard-working;skilled;small;big;experienced;new;good,old;young;local;small;big;good;poor;rich;family;hard-working,big;good;hard-working;local;old;small;young,experienced;new;skilled,family;poor;rich,0.06579399853944778,0.46153846153846156
AR # Arabic,DE # German,Human Roles,lawyer,Perfect,most frequent,good;young;old;great;famous;skilled;local;new;experienced;professional,good;young;old;great;famous;new;local;top;criminal;civil,famous;good;great;local;new;old;young,experienced;professional;skilled,civil;criminal;top,0.06046900153160095,0.46153846153846156
AR # Arabic,DE # German,Human Roles,musician,Perfect,most frequent,famous;young;old;great;talented;skilled;new;local;creative;professional,great;young;old;famous;new;talented;classical;modern;local;popular,famous;great;local;new;old;talented;young,creative;professional;skilled,classical;modern;popular,0.0547030009329319,0.46153846153846156
AR # Arabic,DE # German,Human Roles,scientist,Perfect,most frequent,famous;young;old;great;talented;skilled;new;local;top;experienced,great;young;old;famous;new;top;modern;talented;leading;local,famous;great;local;new;old;talented;top;young,experienced;skilled,leading;modern,0.03140300139784813,0.33333333333333337
AR # Arabic,DE # German,Human Roles,soldier,Perfect,most frequent,brave;young;old;strong;great;skilled;new;experienced;loyal;good,brave;young;old;great;good;strong;new;dead;wounded;loyal,brave;good;great;loyal;new;old;strong;young,experienced;skilled,dead;wounded,0.042330000549554825,0.33333333333333337
AR # Arabic,DE # German,Human Roles,teacher,Perfect,most frequent,good;young;old;great;skilled;new;experienced;local;kind;patient,good;young;old;great;new;local;famous;top;strict;kind,good;great;kind;local;new;old;young,experienced;patient;skilled,famous;strict;top,0.0522879995405674,0.46153846153846156
AR # Arabic,DE # German,Human Roles,writer,Perfect,most frequent,famous;young;old;great;talented;skilled;new;creative;local;popular,great;young;old;famous;new;modern;popular;local;top;talented,famous;great;local;new;old;popular;talented;young,creative;skilled,modern;top,0.02836799994111061,0.33333333333333337
AR # Arabic,ES # Spanish,Human Roles,artist,Perfect,most frequent,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;great;talented;modern;creative;new;local;popular,creative;famous;great;local;modern;new;old;talented;young,skilled,popular,0.012501000426709652,0.18181818181818177
AR # Arabic,ES # Spanish,Human Roles,athlete,Perfect,most frequent,young;strong;great;famous;professional;talented;fast;skilled;new;top,young;strong;great;famous;professional;talented;fast;top;new;successful,famous;fast;great;new;professional;strong;talented;top;young,skilled,successful,0.009434999898076057,0.18181818181818177
AR # Arabic,ES # Spanish,Human Roles,chef,Perfect,most frequent,famous;great;young;talented;skilled;professional;new;creative;local;top,famous;great;young;talented;professional;new;creative;top;local;skilled,creative;famous;great;local;new;professional;skilled;talented;top;young,,,0.0,0.0
AR # Arabic,ES # Spanish,Human Roles,doctor,Perfect,most frequent,good;young;old;great;famous;skilled;local;new;experienced;professional,good;young;old;great;famous;local;skilled;new;experienced;professional,experienced;famous;good;great;local;new;old;professional;skilled;young,,,9.999999974752427e-07,0.0
AR # Arabic,ES # Spanish,Human Roles,engineer,Perfect,most frequent,skilled;young;old;great;talented;professional;new;experienced;local;top,good;young;old;skilled;professional;talented;experienced;new;great;top,experienced;great;new;old;professional;skilled;talented;top;young,local,good,0.01806900091469288,0.18181818181818177
AR # Arabic,ES # Spanish,Human Roles,farmer,Perfect,most frequent,local;old;young;hard-working;skilled;small;big;experienced;new;good,local;small;old;young;hard-working;poor;rich;successful;experienced;skilled,experienced;hard-working;local;old;skilled;small;young,big;good;new,poor;rich;successful,0.06244499981403351,0.46153846153846156
AR # Arabic,ES # Spanish,Human Roles,lawyer,Perfect,most frequent,good;young;old;great;famous;skilled;local;new;experienced;professional,good;young;old;famous;skilled;professional;experienced;top;local;successful,experienced;famous;good;local;old;professional;skilled;young,great;new,successful;top,0.029152000322937965,0.33333333333333337
