Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Neutral Animals,cat,Perfect,most frequent,black;white;small;big;young;old;cute;lazy;playful;friendly,black;white;small;big;young;old;cute;lazy;wild;friendly,big;black;cute;friendly;lazy;old;small;white;young,playful,wild,0.017913000658154488,0.18181818181818177
AR # Arabic,BN # Bengali,Neutral Animals,dog,Perfect,most frequent,big;small;black;white;brown;friendly;loyal;young;old;playful,big;small;black;white;brown;young;old;friendly;loyal;cute,big;black;brown;friendly;loyal;old;small;white;young,playful,cute,0.011024000123143196,0.18181818181818177
AR # Arabic,BN # Bengali,Neutral Animals,dolphin,Perfect,most frequent,smart;friendly;playful;big;small;young;fast;gray;wild;trained,smart;friendly;big;small;young;old;playful;fast;wild;gray,big;fast;friendly;gray;playful;small;smart;wild;young,trained,old,0.021203000098466873,0.18181818181818177
AR # Arabic,BN # Bengali,Neutral Animals,elephant,Perfect,most frequent,big;small;old;young;wild;gray;strong;African;Asian;friendly,big;old;young;wild;strong;gray;friendly;smart;gentle;huge,big;friendly;gray;old;strong;wild;young,African;Asian;small,gentle;huge;smart,0.059046998620033264,0.46153846153846156
AR # Arabic,BN # Bengali,Neutral Animals,hamster,Perfect,most frequent,small;cute;brown;white;young;old;friendly;active;fluffy;tiny,small;cute;brown;white;young;old;friendly;soft;active;tiny,active;brown;cute;friendly;old;small;tiny;white;young,fluffy,soft,0.009883999824523926,0.18181818181818177
AR # Arabic,BN # Bengali,Neutral Animals,monkey,Perfect,most frequent,small;big;young;old;wild;funny;smart;brown;active;playful,small;big;young;old;wild;smart;funny;active;brown;playful,active;big;brown;funny;old;playful;small;smart;wild;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Neutral Animals,mouse,Perfect,most frequent,small;gray;white;cute;young;old;wild;fast;quiet;brown,small;gray;white;cute;young;old;wild;quick;tiny;brown,brown;cute;gray;old;small;white;wild;young,fast;quiet,quick;tiny,0.025162000209093094,0.33333333333333337
AR # Arabic,BN # Bengali,Neutral Animals,peacock,Perfect,most frequent,beautiful;colorful;big;small;wild;blue;green;male;female;rare,beautiful;colorful;big;small;wild;young;old;bright;proud;blue,beautiful;big;blue;colorful;small;wild,female;green;male;rare,bright;old;proud;young,0.07244499772787094,0.5714285714285714
AR # Arabic,BN # Bengali,Neutral Animals,rabbit,Perfect,most frequent,small;white;brown;cute;young;old;wild;soft;fast;fluffy,small;white;cute;big;brown;wild;young;old;soft;quick,brown;cute;old;small;soft;white;wild;young,fast;fluffy,big;quick,0.016812000423669815,0.33333333333333337
AR # Arabic,BN # Bengali,Neutral Animals,shark,Perfect,most frequent,big;small;dangerous;white;gray;wild;fast;strong;young;old,big;dangerous;white;gray;wild;strong;fast;young;old;hungry,big;dangerous;fast;gray;old;strong;white;wild;young,small,hungry,0.023322999477386475,0.18181818181818177
AR # Arabic,BN # Bengali,Neutral Animals,snake,Perfect,most frequent,long;short;big;small;dangerous;green;black;wild;poisonous;fast,long;small;big;green;dangerous;wild;young;old;quick;poisonous,big;dangerous;green;long;poisonous;small;wild,black;fast;short,old;quick;young,0.04136800020933151,0.46153846153846156
AR # Arabic,BN # Bengali,Neutral Animals,whale,Perfect,most frequent,big;small;blue;white;gray;wild;young;old;huge;friendly,big;blue;huge;old;young;wild;strong;friendly;gray;giant,big;blue;friendly;gray;huge;old;wild;young,small;white,giant;strong,0.04440300166606903,0.33333333333333337
AR # Arabic,DE # German,Neutral Animals,cat,Perfect,most frequent,black;white;small;big;young;old;cute;lazy;playful;friendly,black;white;small;big;young;old;wild;domestic;cute;lazy,big;black;cute;lazy;old;small;white;young,friendly;playful,domestic;wild,0.04499499872326851,0.33333333333333337
AR # Arabic,DE # German,Neutral Animals,dog,Perfect,most frequent,big;small;black;white;brown;friendly;loyal;young;old;playful,big;small;black;white;brown;young;old;friendly;loyal;wild,big;black;brown;friendly;loyal;old;small;white;young,playful,wild,0.01887200027704239,0.18181818181818177
AR # Arabic,DE # German,Neutral Animals,dolphin,Perfect,most frequent,smart;friendly;playful;big;small;young;fast;gray;wild;trained,big;small;young;old;wild;friendly;smart;fast;gray;playful,big;fast;friendly;gray;playful;small;smart;wild;young,trained,old,0.021203000098466873,0.18181818181818177
AR # Arabic,DE # German,Neutral Animals,elephant,Perfect,most frequent,big;small;old;young;wild;gray;strong;African;Asian;friendly,big;small;young;old;wild;gray;African;Indian;strong;friendly,African;big;friendly;gray;old;small;strong;wild;young,Asian,Indian,0.014751999638974667,0.18181818181818177
AR # Arabic,DE # German,Neutral Animals,hamster,Perfect,most frequent,small;cute;brown;white;young;old;friendly;active;fluffy;tiny,small;big;young;old;cute;brown;white;golden;wild;domestic,brown;cute;old;small;white;young,active;fluffy;friendly;tiny,big;domestic;golden;wild,0.07728800177574158,0.5714285714285714
