Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Places,city,Perfect,most frequent,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded,beautiful;big;busy;famous;large;modern;new;old;small,ancient,crowded,0.01876400038599968,0.18181818181818177
AR # Arabic,BN # Bengali,Places,desert,Perfect,most frequent,hot;dry;big;small;sandy;wide;empty;cold;open;vast,hot;dry;big;small;sandy;wide;empty;open;cold;endless,big;cold;dry;empty;hot;open;sandy;small;wide,vast,endless,0.011649000458419323,0.18181818181818177
AR # Arabic,BN # Bengali,Places,forest,Perfect,most frequent,big;small;green;dark;deep;thick;old;wild;beautiful;dense,big;small;green;dark;deep;old;thick;wild;beautiful;dense,beautiful;big;dark;deep;dense;green;old;small;thick;wild,,,0.0,0.0
AR # Arabic,BN # Bengali,Places,island,Perfect,most frequent,small;big;beautiful;tropical;remote;private;green;new;old;famous,small;big;beautiful;green;tropical;remote;new;old;quiet;private,beautiful;big;green;new;old;private;remote;small;tropical,famous,quiet,0.02413499914109707,0.18181818181818177
AR # Arabic,BN # Bengali,Places,lake,Perfect,most frequent,big;small;deep;clear;blue;beautiful;fresh;natural;round;quiet,big;small;deep;clear;blue;beautiful;quiet;old;new;fresh,beautiful;big;blue;clear;deep;fresh;quiet;small,natural;round,new;old,0.03936300054192543,0.33333333333333337
AR # Arabic,BN # Bengali,Places,mountain,Perfect,most frequent,high;tall;big;small;old;rocky;green;snow-capped;beautiful;steep,high;big;small;tall;old;new;rocky;green;beautiful;snow-capped,beautiful;big;green;high;old;rocky;small;snow-capped;tall,steep,new,0.017906999215483665,0.18181818181818177
AR # Arabic,BN # Bengali,Places,ocean,Perfect,most frequent,big;deep;blue;wide;open;vast;beautiful;wild;warm;cold,big;deep;blue;wide;open;beautiful;wild;endless;calm;rough,beautiful;big;blue;deep;open;wide;wild,cold;vast;warm,calm;endless;rough,0.05959099903702736,0.46153846153846156
AR # Arabic,BN # Bengali,Places,plain,Perfect,most frequent,wide;open;flat;green;big;small;dry;grassy;empty;vast,wide;open;flat;big;green;dry;grassy;empty;long;quiet,big;dry;empty;flat;grassy;green;open;wide,small;vast,long;quiet,0.026507999747991562,0.33333333333333337
AR # Arabic,BN # Bengali,Places,plateau,Perfect,most frequent,high;flat;big;small;dry;wide;rocky;green;old;open,high;flat;big;wide;dry;rocky;green;old;new;large,big;dry;flat;green;high;old;rocky;wide,open;small,large;new,0.03095399960875511,0.33333333333333337
AR # Arabic,BN # Bengali,Places,river,Perfect,most frequent,big;small;long;short;deep;wide;narrow;fast;slow;clear,big;small;long;wide;deep;clear;fast;slow;beautiful;wild,big;clear;deep;fast;long;slow;small;wide,narrow;short,beautiful;wild,0.039041999727487564,0.33333333333333337
AR # Arabic,BN # Bengali,Places,valley,Perfect,most frequent,deep;wide;green;beautiful;small;big;narrow;long;open;quiet,deep;green;wide;beautiful;small;big;narrow;quiet;long;open,beautiful;big;deep;green;long;narrow;open;quiet;small;wide,,,0.0,0.0
AR # Arabic,BN # Bengali,Places,village,Perfect,most frequent,small;big;old;new;quiet;peaceful;beautiful;local;rural;traditional,small;big;old;new;quiet;peaceful;beautiful;poor;rich;remote,beautiful;big;new;old;peaceful;quiet;small,local;rural;traditional,poor;remote;rich,0.061142999678850174,0.46153846153846156
AR # Arabic,DE # German,Places,city,Perfect,most frequent,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;famous;beautiful;large,ancient;beautiful;big;busy;famous;large;modern;new;old;small,,,0.0,0.0
AR # Arabic,DE # German,Places,desert,Perfect,most frequent,hot;dry;big;small;sandy;wide;empty;cold;open;vast,big;small;hot;dry;sandy;wide;empty;open;cold;wild,big;cold;dry;empty;hot;open;sandy;small;wide,vast,wild,0.010836999863386154,0.18181818181818177
AR # Arabic,DE # German,Places,forest,Perfect,most frequent,big;small;green;dark;deep;thick;old;wild;beautiful;dense,big;small;old;new;green;dark;deep;thick;wild;quiet,big;dark;deep;green;old;small;thick;wild,beautiful;dense,new;quiet,0.03098900057375431,0.33333333333333337
AR # Arabic,DE # German,Places,island,Perfect,most frequent,small;big;beautiful;tropical;remote;private;green;new;old;famous,big;small;new;old;tropical;green;beautiful;wild;quiet;remote,beautiful;big;green;new;old;remote;small;tropical,famous;private,quiet;wild,0.04470999911427498,0.33333333333333337
