Language1,Language2,NounCategory,Noun,Proficiency,Prompt,Adjectives1,Adjectives2,L1L2AdjectiveIntersection,L1UniqueAdjectives,L2UniqueAdjectives,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,Social Relationships,ally,Perfect,most frequent,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;true;close;old;new;trusted;powerful;important,close;good;important;loyal;new;old;powerful;strong;trusted,reliable,true,0.009906000457704067,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,brother,Perfect,most frequent,older;younger;big;small;close;dear;loving;strong;good;loyal,big;small;older;younger;good;close;dear;strong;loving;loyal,big;close;dear;good;loving;loyal;older;small;strong;younger,,,0.0,0.0
AR # Arabic,BN # Bengali,Social Relationships,enemy,Perfect,most frequent,old;new;strong;powerful;dangerous;real;main;bitter;deadly;open,old;new;strong;powerful;dangerous;real;true;bitter;deadly;great,bitter;dangerous;deadly;new;old;powerful;real;strong,main;open,great;true,0.03202100098133087,0.33333333333333337
AR # Arabic,BN # Bengali,Social Relationships,father,Perfect,most frequent,good;old;young;loving;strong;kind;caring;wise;strict;proud,good;old;young;loving;strong;kind;caring;wise;strict;proud,caring;good;kind;loving;old;proud;strict;strong;wise;young,,,0.0,0.0
AR # Arabic,BN # Bengali,Social Relationships,follower,Perfect,most frequent,loyal;true;close;new;old;strong;faithful;good;active;silent,loyal;true;faithful;strong;close;new;old;good;active;quiet,active;close;faithful;good;loyal;new;old;strong;true,silent,quiet,0.0037559999618679285,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,friend,Perfect,most frequent,good;close;best;old;new;true;dear;loyal;trusted;kind,good;close;best;old;new;true;dear;loyal;trusted;friendly,best;close;dear;good;loyal;new;old;true;trusted,kind,friendly,0.006895999889820814,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,leader,Perfect,most frequent,strong;good;great;new;old;true;wise;powerful;main;respected,strong;good;great;true;new;old;powerful;wise;young;famous,good;great;new;old;powerful;strong;true;wise,main;respected,famous;young,0.022210000082850456,0.33333333333333337
AR # Arabic,BN # Bengali,Social Relationships,mother,Perfect,most frequent,good;loving;kind;caring;strong;old;young;wise;dear;gentle,good;loving;kind;caring;strong;wise;old;young;gentle;proud,caring;gentle;good;kind;loving;old;strong;wise;young,dear,proud,0.013817000202834606,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,partner,Perfect,most frequent,good;close;new;old;strong;true;loyal;trusted;important;main,good;close;true;new;old;strong;loyal;trusted;loving;important,close;good;important;loyal;new;old;strong;true;trusted,main,loving,0.01217500027269125,0.18181818181818177
AR # Arabic,BN # Bengali,Social Relationships,rival,Perfect,most frequent,strong;main;old;new;powerful;real;bitter;close;dangerous;open,strong;old;new;powerful;true;great;main;close;dangerous;bitter,bitter;close;dangerous;main;new;old;powerful;strong,open;real,great;true,0.030327999964356422,0.33333333333333337
AR # Arabic,BN # Bengali,Social Relationships,sister,Perfect,most frequent,older;younger;big;small;close;dear;loving;kind;good;loyal,big;small;older;younger;good;close;dear;loving;kind;loyal,big;close;dear;good;kind;loving;loyal;older;small;younger,,,0.0,0.0
AR # Arabic,BN # Bengali,Social Relationships,stranger,Perfect,most frequent,complete;total;new;old;real;perfect;silent;quiet;unknown;distant,complete;total;new;old;quiet;silent;unknown;real;perfect;sudden,complete;new;old;perfect;quiet;real;silent;total;unknown,distant,sudden,0.012264999561011791,0.18181818181818177
AR # Arabic,DE # German,Social Relationships,ally,Perfect,most frequent,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;good;old;new;loyal;close;true;powerful;trusted;important,close;good;important;loyal;new;old;powerful;strong;trusted,reliable,true,0.009906000457704067,0.18181818181818177
AR # Arabic,DE # German,Social Relationships,brother,Perfect,most frequent,older;younger;big;small;close;dear;loving;strong;good;loyal,big;small;young;old;older;younger;good;true;close;dear,big;close;dear;good;older;small;younger,loving;loyal;strong,old;true;young,0.051461998373270035,0.46153846153846156
AR # Arabic,DE # German,Social Relationships,enemy,Perfect,most frequent,old;new;strong;powerful;dangerous;real;main;bitter;deadly;open,old;new;strong;great;powerful;true;main;real;dangerous;bitter,bitter;dangerous;main;new;old;powerful;real;strong,deadly;open,great;true,0.04304200038313866,0.33333333333333337
AR # Arabic,DE # German,Social Relationships,father,Perfect,most frequent,good;old;young;loving;strong;kind;caring;wise;strict;proud,old;young;good;great;real;true;loving;strong;kind;proud,good;kind;loving;old;proud;strong;young,caring;strict;wise,great;real;true,0.05914999917149544,0.46153846153846156
AR # Arabic,DE # German,Social Relationships,follower,Perfect,most frequent,loyal;true;close;new;old;strong;faithful;good;active;silent,loyal;true;good;old;new;close;strong;faithful;young;active,active;close;faithful;good;loyal;new;old;strong;true,silent,young,0.02004699967801571,0.18181818181818177
AR # Arabic,DE # German,Social Relationships,friend,Perfect,most frequent,good;close;best;old;new;true;dear;loyal;trusted;kind,good;old;new;close;true;best;dear;loyal;young;real,best;close;dear;good;loyal;new;old;true,kind;trusted,real;young,0.027458999305963516,0.33333333333333337
AR # Arabic,DE # German,Social Relationships,leader,Perfect,most frequent,strong;good;great;new;old;true;wise;powerful;main;respected,strong;good;great;true;new;old;main;real;powerful;top,good;great;main;new;old;powerful;strong;true,respected;wise,real;top,0.03198299929499626,0.33333333333333337
