Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
PL # Polish,SQ # Albanian,B1,0.000485003,0.017185904,0.16743210493210492
HE # Hebrew,IT # Italian,B1,0.00050354004,0.017425038,0.16844960594960592
LV # Latvian,TR # Turkish,B1,0.00053960085,0.022080084,0.20838709901209898
PS # Pashto,TR # Turkish,B1,0.0005803704,0.022513332,0.21303233803233804
IT # Italian,TR # Turkish,B1,0.0005825758,0.022217214,0.1992064648314648
HE # Hebrew,LV # Latvian,B1,0.0005837679,0.015087709,0.16185897435897434
IT # Italian,LV # Latvian,B1,0.0006161928,0.019048687,0.1995458245458245
HE # Hebrew,TR # Turkish,B1,0.00063604116,0.022078143,0.20187740500240497
KO # Korean,VI # Vietnamese,B1,0.00063991547,0.02119832,0.19349516224516225
BN # Bengali,FA # Persian,B1,0.00065505505,0.021146655,0.20396732896732894
BN # Bengali,UR # Urdu,B1,0.0007109642,0.0194839,0.18728031228031228
IT # Italian,PS # Pashto,B1,0.0007285476,0.027685234,0.24908193658193659
SW # Swahili,UR # Urdu,B1,0.0007492304,0.017442578,0.1638014763014763
HE # Hebrew,PS # Pashto,B1,0.0007710457,0.024813531,0.22884754134754134
LV # Latvian,PS # Pashto,B1,0.00078207254,0.02591531,0.2455322455322455
AR # Arabic,BN # Bengali,B1,0.00079607964,0.019368261,0.19255975505975503
HE # Hebrew,HI # Hindi,B1,0.00083220005,0.020534936,0.19972619972619973
SQ # Albanian,ZH # Mandarin,B1,0.00086182356,0.02391005,0.22673160173160176
SQ # Albanian,VI # Vietnamese,B1,0.0008716583,0.025535848,0.218377109002109
PL # Polish,ZH # Mandarin,B1,0.0009138584,0.02094724,0.20194620194620194
HE # Hebrew,RU # Russian,B1,0.0009762645,0.022118026,0.21748852998852997
HI # Hindi,JA # Japanese,B1,0.0009781718,0.02548484,0.225236568986569
FA # Persian,SW # Swahili,B1,0.0010156631,0.02619452,0.24457024457024457
BN # Bengali,SW # Swahili,B1,0.0010212064,0.020898959,0.20463332963332964
