Language1,Language2,Proficiency,LanguageEmbeddingDistance,AvgNounDistance,AvgJaccardDistance
AR # Arabic,BN # Bengali,C1,0.00086826086,0.029016137,0.24748875851817032
AR # Arabic,DE # German,C1,0.0009525418,0.026373914,0.2362232674732675
AR # Arabic,ES # Spanish,C1,0.0007022619,0.02473789,0.2224488474488474
AR # Arabic,FA # Persian,C1,0.00063169,0.024577107,0.22307553557553556
AR # Arabic,FR # French,C1,0.0012364388,0.028838059,0.25653584569025745
AR # Arabic,GA # Irish,C1,0.0034157038,0.04316926,0.33905215155215157
AR # Arabic,HE # Hebrew,C1,0.0017006993,0.034413308,0.2932605588855589
AR # Arabic,HI # Hindi,C1,0.0007994175,0.026680205,0.2254147472897473
AR # Arabic,IT # Italian,C1,0.0007956624,0.022182336,0.19962803400303397
AR # Arabic,JA # Japanese,C1,0.0016641021,0.03105534,0.2758014180808298
AR # Arabic,KO # Korean,C1,0.0011060834,0.029706188,0.2566977208521326
AR # Arabic,LV # Latvian,C1,0.0011137128,0.028163178,0.2631592944092944
AR # Arabic,PL # Polish,C1,0.0007840991,0.026477378,0.23222263847263847
AR # Arabic,PS # Pashto,C1,0.0007018447,0.02271166,0.20938505938505936
AR # Arabic,PT # Portuguese,C1,0.00089651346,0.026799778,0.24572938635438638
AR # Arabic,RU # Russian,C1,0.00230366,0.032253727,0.26130408942908945
AR # Arabic,SQ # Albanian,C1,0.0008453131,0.025656363,0.2414633977133977
AR # Arabic,SW # Swahili,C1,0.00072062016,0.02548974,0.23165780978280978
AR # Arabic,TH # Thai,C1,0.002216041,0.03237225,0.2790028258778259
AR # Arabic,TR # Turkish,C1,0.00082731247,0.028355036,0.24385581738522916
AR # Arabic,UR # Urdu,C1,0.001188457,0.029122395,0.26210710585710584
AR # Arabic,VI # Vietnamese,C1,0.00094109774,0.025650343,0.24454076016576018
AR # Arabic,ZH # Mandarin,C1,0.0007222891,0.02878556,0.2544847921686157
BN # Bengali,DE # German,C1,0.0004786253,0.017496172,0.17432336182336183
BN # Bengali,ES # Spanish,C1,0.0005622506,0.022213764,0.2154188404188404
BN # Bengali,FA # Persian,C1,0.000567317,0.021538125,0.21091177341177342
BN # Bengali,FR # French,C1,0.001567781,0.026531734,0.24846912346912348
BN # Bengali,GA # Irish,C1,0.004183769,0.04360807,0.3469661125911126
BN # Bengali,HE # Hebrew,C1,0.0023683906,0.037045505,0.32171821234321235
BN # Bengali,HI # Hindi,C1,0.00081431866,0.022977848,0.20341764716764715
BN # Bengali,IT # Italian,C1,0.0007275343,0.022728946,0.21008690383690384
BN # Bengali,JA # Japanese,C1,0.001506269,0.02647522,0.23514506327006326
BN # Bengali,KO # Korean,C1,0.0007812977,0.024059562,0.21654387279387277
BN # Bengali,LV # Latvian,C1,0.0014061928,0.026701432,0.2457733238983239
BN # Bengali,PL # Polish,C1,0.0010638833,0.027670389,0.24833037333037333
BN # Bengali,PS # Pashto,C1,0.0010027885,0.025003131,0.23112419987419985
BN # Bengali,PT # Portuguese,C1,0.0007647872,0.025039261,0.22514811577311578
BN # Bengali,RU # Russian,C1,0.003034532,0.0372183,0.29319131984573166
BN # Bengali,SQ # Albanian,C1,0.00062686205,0.021582287,0.20693658193658193
BN # Bengali,SW # Swahili,C1,0.0005336404,0.021023914,0.1983941983941984
BN # Bengali,TH # Thai,C1,0.0022850633,0.030149996,0.26315351315351315
BN # Bengali,TR # Turkish,C1,0.0010997653,0.028513644,0.2526940651940652
BN # Bengali,UR # Urdu,C1,0.0005772114,0.01889402,0.17321104821104819
BN # Bengali,VI # Vietnamese,C1,0.0008238554,0.02019143,0.19006456506456504
BN # Bengali,ZH # Mandarin,C1,0.0007599592,0.02239246,0.19797794797794796
DE # German,ES # Spanish,C1,0.00042968988,0.0195656,0.19156075406075404
DE # German,FA # Persian,C1,0.00039935112,0.019337386,0.19737669737669739
DE # German,FR # French,C1,0.00079905987,0.019866211,0.19529082029082026
DE # German,GA # Irish,C1,0.0029963255,0.0384133,0.3197757104007104
DE # German,HE # Hebrew,C1,0.001740396,0.032864895,0.30115486365486366
DE # German,HI # Hindi,C1,0.0006605983,0.024013033,0.22806129056129057
DE # German,IT # Italian,C1,0.0004144311,0.01888049,0.1860014985014985
DE # German,JA # Japanese,C1,0.00086957216,0.02281513,0.2128688441188441
DE # German,KO # Korean,C1,0.00048488379,0.02255361,0.21388391700891698
DE # German,LV # Latvian,C1,0.0007841587,0.021269036,0.20516289266289267
DE # German,PL # Polish,C1,0.00079393387,0.022171535,0.21557840307840306
DE # German,PS # Pashto,C1,0.0006545782,0.021973161,0.2047588985088985
DE # German,PT # Portuguese,C1,0.0004170537,0.019609036,0.1987179487179487
DE # German,RU # Russian,C1,0.0023886561,0.033999648,0.27353967519408695
DE # German,SQ # Albanian,C1,0.0007055998,0.021575695,0.21278027528027527
DE # German,SW # Swahili,C1,0.00037521124,0.020174958,0.1801092426092426
DE # German,TH # Thai,C1,0.0014730096,0.027114213,0.24382561882561882
DE # German,TR # Turkish,C1,0.00086700916,0.026656998,0.23207348207348208
DE # German,UR # Urdu,C1,0.0005634427,0.021137066,0.201513764013764
