Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,cloud,0.0,0.0
AR # Arabic,DE # German,cloud,0.0,0.0
AR # Arabic,ES # Spanish,cloud,0.0,0.0
AR # Arabic,FA # Persian,cloud,0.0,0.0
AR # Arabic,FR # French,cloud,0.0,0.0
AR # Arabic,GA # Irish,cloud,0.003029000014066696,0.18181818181818177
AR # Arabic,HE # Hebrew,cloud,0.007590999826788902,0.18181818181818177
AR # Arabic,HI # Hindi,cloud,0.017535999417304993,0.18181818181818177
AR # Arabic,IT # Italian,cloud,0.0,0.0
AR # Arabic,JA # Japanese,cloud,0.0,0.0
AR # Arabic,KO # Korean,cloud,0.0,0.0
AR # Arabic,LV # Latvian,cloud,0.003029000014066696,0.18181818181818177
AR # Arabic,PL # Polish,cloud,0.0,0.0
AR # Arabic,PS # Pashto,cloud,0.0,0.0
AR # Arabic,PT # Portuguese,cloud,0.0,0.0
AR # Arabic,RU # Russian,cloud,0.003029000014066696,0.18181818181818177
AR # Arabic,SQ # Albanian,cloud,0.0,0.0
AR # Arabic,SW # Swahili,cloud,0.015054999850690365,0.18181818181818177
AR # Arabic,TH # Thai,cloud,0.0,0.0
AR # Arabic,TR # Turkish,cloud,0.017535999417304993,0.18181818181818177
AR # Arabic,UR # Urdu,cloud,0.0,0.0
AR # Arabic,VI # Vietnamese,cloud,0.0,0.0
AR # Arabic,ZH # Mandarin,cloud,0.0,0.0
BN # Bengali,DE # German,cloud,0.0,0.0
BN # Bengali,ES # Spanish,cloud,0.0,0.0
BN # Bengali,FA # Persian,cloud,0.0,0.0
BN # Bengali,FR # French,cloud,0.0,0.0
BN # Bengali,GA # Irish,cloud,0.003029000014066696,0.18181818181818177
BN # Bengali,HE # Hebrew,cloud,0.007590999826788902,0.18181818181818177
BN # Bengali,HI # Hindi,cloud,0.017535999417304993,0.18181818181818177
BN # Bengali,IT # Italian,cloud,0.0,0.0
BN # Bengali,JA # Japanese,cloud,0.0,0.0
BN # Bengali,KO # Korean,cloud,0.0,0.0
BN # Bengali,LV # Latvian,cloud,0.003029000014066696,0.18181818181818177
BN # Bengali,PL # Polish,cloud,0.0,0.0
BN # Bengali,PS # Pashto,cloud,0.0,0.0
BN # Bengali,PT # Portuguese,cloud,0.0,0.0
