Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,above,0.03814899921417236,0.33333333333333337
AR # Arabic,DE # German,above,0.03654399886727333,0.33333333333333337
AR # Arabic,ES # Spanish,above,0.06987199932336807,0.46153846153846156
AR # Arabic,FA # Persian,above,0.01628899946808815,0.18181818181818177
AR # Arabic,FR # French,above,0.26171499490737915,0.8888888888888888
AR # Arabic,GA # Irish,above,0.1493140012025833,0.6666666666666667
AR # Arabic,HE # Hebrew,above,0.22990599274635315,0.8235294117647058
AR # Arabic,HI # Hindi,above,0.08991499990224838,0.5714285714285714
AR # Arabic,IT # Italian,above,0.2209099978208542,0.8235294117647058
AR # Arabic,JA # Japanese,above,0.0171470008790493,0.18181818181818177
AR # Arabic,KO # Korean,above,0.03198299929499626,0.33333333333333337
AR # Arabic,LV # Latvian,above,0.03654399886727333,0.33333333333333337
AR # Arabic,PL # Polish,above,0.014794999733567238,0.18181818181818177
AR # Arabic,PS # Pashto,above,0.01628899946808815,0.18181818181818177
AR # Arabic,PT # Portuguese,above,0.03770599886775017,0.33333333333333337
AR # Arabic,RU # Russian,above,0.1307069957256317,0.6666666666666667
AR # Arabic,SQ # Albanian,above,0.02716200053691864,0.33333333333333337
AR # Arabic,SW # Swahili,above,0.061778001487255096,0.46153846153846156
AR # Arabic,TH # Thai,above,0.014794999733567238,0.18181818181818177
AR # Arabic,TR # Turkish,above,0.03654399886727333,0.33333333333333337
AR # Arabic,UR # Urdu,above,0.014794999733567238,0.18181818181818177
AR # Arabic,VI # Vietnamese,above,0.034205999225378036,0.33333333333333337
AR # Arabic,ZH # Mandarin,above,0.014794999733567238,0.18181818181818177
BN # Bengali,DE # German,above,0.037112001329660416,0.33333333333333337
BN # Bengali,ES # Spanish,above,0.04868900030851364,0.33333333333333337
BN # Bengali,FA # Persian,above,0.020949000492691994,0.18181818181818177
BN # Bengali,FR # French,above,0.20127099752426147,0.8888888888888888
BN # Bengali,GA # Irish,above,0.09532999992370605,0.5714285714285714
BN # Bengali,HE # Hebrew,above,0.15744300186634064,0.6666666666666667
BN # Bengali,HI # Hindi,above,0.057516999542713165,0.46153846153846156
BN # Bengali,IT # Italian,above,0.1617870032787323,0.75
BN # Bengali,JA # Japanese,above,0.017805000767111778,0.18181818181818177
BN # Bengali,KO # Korean,above,0.019843000918626785,0.18181818181818177
BN # Bengali,LV # Latvian,above,0.037112001329660416,0.33333333333333337
BN # Bengali,PL # Polish,above,0.04212599992752075,0.33333333333333337
BN # Bengali,PS # Pashto,above,0.020949000492691994,0.18181818181818177
BN # Bengali,PT # Portuguese,above,0.021611999720335007,0.18181818181818177
BN # Bengali,RU # Russian,above,0.08096399903297424,0.5714285714285714
BN # Bengali,SQ # Albanian,above,0.04175899922847748,0.33333333333333337
BN # Bengali,SW # Swahili,above,0.0198379997164011,0.18181818181818177
BN # Bengali,TH # Thai,above,0.04212599992752075,0.33333333333333337
BN # Bengali,TR # Turkish,above,0.037112001329660416,0.33333333333333337
BN # Bengali,UR # Urdu,above,0.04212599992752075,0.33333333333333337
BN # Bengali,VI # Vietnamese,above,0.02590399980545044,0.33333333333333337
BN # Bengali,ZH # Mandarin,above,0.04212599992752075,0.33333333333333337
DE # German,ES # Spanish,above,0.06878100335597992,0.46153846153846156
DE # German,FA # Persian,above,0.020441999658942223,0.18181818181818177
DE # German,FR # French,above,0.1949470043182373,0.8235294117647058
DE # German,GA # Irish,above,0.09157899767160416,0.46153846153846156
DE # German,HE # Hebrew,above,0.17950600385665894,0.75
DE # German,HI # Hindi,above,0.058722998946905136,0.46153846153846156
DE # German,IT # Italian,above,0.15540100634098053,0.6666666666666667
DE # German,JA # Japanese,above,0.03981500118970871,0.33333333333333337
DE # German,KO # Korean,above,0.015052000060677528,0.18181818181818177
DE # German,LV # Latvian,above,0.0,0.0
DE # German,PL # Polish,above,0.021522000432014465,0.18181818181818177
DE # German,PS # Pashto,above,0.020441999658942223,0.18181818181818177
DE # German,PT # Portuguese,above,0.03916899859905243,0.33333333333333337
DE # German,RU # Russian,above,0.07127600163221359,0.46153846153846156
DE # German,SQ # Albanian,above,0.020190000534057617,0.18181818181818177
DE # German,SW # Swahili,above,0.020726999267935753,0.18181818181818177
DE # German,TH # Thai,above,0.021522000432014465,0.18181818181818177
DE # German,TR # Turkish,above,0.0,0.0
DE # German,UR # Urdu,above,0.021522000432014465,0.18181818181818177
DE # German,VI # Vietnamese,above,0.01576399989426136,0.18181818181818177
DE # German,ZH # Mandarin,above,0.021522000432014465,0.18181818181818177
ES # Spanish,FA # Persian,above,0.08065500110387802,0.46153846153846156
ES # Spanish,FR # French,above,0.15815700590610504,0.8235294117647058
ES # Spanish,GA # Irish,above,0.07259500026702881,0.46153846153846156
ES # Spanish,HE # Hebrew,above,0.11406999826431274,0.5714285714285714
ES # Spanish,HI # Hindi,above,0.03910500183701515,0.33333333333333337
ES # Spanish,IT # Italian,above,0.11647199839353561,0.6666666666666667
ES # Spanish,JA # Japanese,above,0.049660999327898026,0.33333333333333337
ES # Spanish,KO # Korean,above,0.0448869988322258,0.33333333333333337
ES # Spanish,LV # Latvian,above,0.06878100335597992,0.46153846153846156
ES # Spanish,PL # Polish,above,0.04977399855852127,0.33333333333333337
ES # Spanish,PS # Pashto,above,0.08065500110387802,0.46153846153846156
