Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,bell,0.04694800078868866,0.33333333333333337
AR # Arabic,DE # German,bell,0.04694800078868866,0.33333333333333337
AR # Arabic,ES # Spanish,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,FA # Persian,bell,0.020194999873638153,0.18181818181818177
AR # Arabic,FR # French,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,GA # Irish,bell,0.050703998655080795,0.33333333333333337
AR # Arabic,HE # Hebrew,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,HI # Hindi,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,IT # Italian,bell,0.05273900181055069,0.33333333333333337
AR # Arabic,JA # Japanese,bell,0.04694800078868866,0.33333333333333337
AR # Arabic,KO # Korean,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,LV # Latvian,bell,0.04694800078868866,0.33333333333333337
AR # Arabic,PL # Polish,bell,0.04694800078868866,0.33333333333333337
AR # Arabic,PS # Pashto,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,PT # Portuguese,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,RU # Russian,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,SQ # Albanian,bell,0.020194999873638153,0.18181818181818177
AR # Arabic,SW # Swahili,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,TH # Thai,bell,0.044512998312711716,0.33333333333333337
AR # Arabic,TR # Turkish,bell,0.020194999873638153,0.18181818181818177
AR # Arabic,UR # Urdu,bell,0.050703998655080795,0.33333333333333337
AR # Arabic,VI # Vietnamese,bell,0.04694800078868866,0.33333333333333337
AR # Arabic,ZH # Mandarin,bell,0.044512998312711716,0.33333333333333337
BN # Bengali,DE # German,bell,0.0,0.0
BN # Bengali,ES # Spanish,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,FA # Persian,bell,0.02377299964427948,0.18181818181818177
BN # Bengali,FR # French,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,GA # Irish,bell,0.018337000161409378,0.18181818181818177
BN # Bengali,HE # Hebrew,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,HI # Hindi,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,IT # Italian,bell,0.019749000668525696,0.18181818181818177
BN # Bengali,JA # Japanese,bell,0.0,0.0
BN # Bengali,KO # Korean,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,LV # Latvian,bell,0.0,0.0
BN # Bengali,PL # Polish,bell,0.0,0.0
BN # Bengali,PS # Pashto,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,PT # Portuguese,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,RU # Russian,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,SQ # Albanian,bell,0.02377299964427948,0.18181818181818177
BN # Bengali,SW # Swahili,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,TH # Thai,bell,0.021452000364661217,0.18181818181818177
BN # Bengali,TR # Turkish,bell,0.02377299964427948,0.18181818181818177
BN # Bengali,UR # Urdu,bell,0.018337000161409378,0.18181818181818177
BN # Bengali,VI # Vietnamese,bell,0.0,0.0
BN # Bengali,ZH # Mandarin,bell,0.021452000364661217,0.18181818181818177
DE # German,ES # Spanish,bell,0.021452000364661217,0.18181818181818177
DE # German,FA # Persian,bell,0.02377299964427948,0.18181818181818177
DE # German,FR # French,bell,0.021452000364661217,0.18181818181818177
DE # German,GA # Irish,bell,0.018337000161409378,0.18181818181818177
DE # German,HE # Hebrew,bell,0.021452000364661217,0.18181818181818177
DE # German,HI # Hindi,bell,0.021452000364661217,0.18181818181818177
DE # German,IT # Italian,bell,0.019749000668525696,0.18181818181818177
DE # German,JA # Japanese,bell,0.0,0.0
DE # German,KO # Korean,bell,0.021452000364661217,0.18181818181818177
