Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,city,0.035652998834848404,0.33333333333333337
AR # Arabic,DE # German,city,0.0,0.0
AR # Arabic,ES # Spanish,city,0.054448001086711884,0.46153846153846156
AR # Arabic,FA # Persian,city,0.035652998834848404,0.33333333333333337
AR # Arabic,FR # French,city,0.033146001398563385,0.33333333333333337
AR # Arabic,GA # Irish,city,0.047263000160455704,0.33333333333333337
AR # Arabic,HE # Hebrew,city,0.019919000566005707,0.18181818181818177
AR # Arabic,HI # Hindi,city,0.039510998874902725,0.33333333333333337
AR # Arabic,IT # Italian,city,0.019919000566005707,0.18181818181818177
AR # Arabic,JA # Japanese,city,0.03815300017595291,0.33333333333333337
AR # Arabic,KO # Korean,city,0.05434900149703026,0.46153846153846156
AR # Arabic,LV # Latvian,city,0.03815300017595291,0.33333333333333337
AR # Arabic,PL # Polish,city,0.0,0.0
AR # Arabic,PS # Pashto,city,0.03614199906587601,0.33333333333333337
AR # Arabic,PT # Portuguese,city,0.0,0.0
AR # Arabic,RU # Russian,city,0.03614199906587601,0.33333333333333337
AR # Arabic,SQ # Albanian,city,0.03614199906587601,0.33333333333333337
AR # Arabic,SW # Swahili,city,0.03210299834609032,0.33333333333333337
AR # Arabic,TH # Thai,city,0.03614199906587601,0.33333333333333337
AR # Arabic,TR # Turkish,city,0.03614199906587601,0.33333333333333337
AR # Arabic,UR # Urdu,city,0.06017100065946579,0.46153846153846156
AR # Arabic,VI # Vietnamese,city,0.035652998834848404,0.33333333333333337
AR # Arabic,ZH # Mandarin,city,0.03614199906587601,0.33333333333333337
BN # Bengali,DE # German,city,0.035652998834848404,0.33333333333333337
BN # Bengali,ES # Spanish,city,0.057805001735687256,0.46153846153846156
BN # Bengali,FA # Persian,city,0.0,0.0
BN # Bengali,FR # French,city,0.012912999838590622,0.18181818181818177
BN # Bengali,GA # Irish,city,0.06930799782276154,0.46153846153846156
BN # Bengali,HE # Hebrew,city,0.01752999983727932,0.18181818181818177
BN # Bengali,HI # Hindi,city,0.044835999608039856,0.33333333333333337
BN # Bengali,IT # Italian,city,0.01752999983727932,0.18181818181818177
BN # Bengali,JA # Japanese,city,0.01840999908745289,0.18181818181818177
BN # Bengali,KO # Korean,city,0.028015999123454094,0.33333333333333337
BN # Bengali,LV # Latvian,city,0.01840999908745289,0.18181818181818177
BN # Bengali,PL # Polish,city,0.035652998834848404,0.33333333333333337
BN # Bengali,PS # Pashto,city,0.01805499941110611,0.18181818181818177
BN # Bengali,PT # Portuguese,city,0.035652998834848404,0.33333333333333337
BN # Bengali,RU # Russian,city,0.01805499941110611,0.18181818181818177
BN # Bengali,SQ # Albanian,city,0.01805499941110611,0.18181818181818177
BN # Bengali,SW # Swahili,city,0.017190000042319298,0.18181818181818177
BN # Bengali,TH # Thai,city,0.01805499941110611,0.18181818181818177
BN # Bengali,TR # Turkish,city,0.01805499941110611,0.18181818181818177
