Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,book,0.01206700038164854,0.18181818181818177
AR # Arabic,DE # German,book,0.01206700038164854,0.18181818181818177
AR # Arabic,ES # Spanish,book,0.012896000407636166,0.18181818181818177
AR # Arabic,FA # Persian,book,0.04966200143098831,0.46153846153846156
AR # Arabic,FR # French,book,0.017779000103473663,0.18181818181818177
AR # Arabic,GA # Irish,book,0.017779000103473663,0.18181818181818177
AR # Arabic,HE # Hebrew,book,0.017779000103473663,0.18181818181818177
AR # Arabic,HI # Hindi,book,0.0,0.0
AR # Arabic,IT # Italian,book,0.01206700038164854,0.18181818181818177
AR # Arabic,JA # Japanese,book,0.0,0.0
AR # Arabic,KO # Korean,book,0.04966200143098831,0.46153846153846156
AR # Arabic,LV # Latvian,book,0.01707099936902523,0.18181818181818177
AR # Arabic,PL # Polish,book,0.0,0.0
AR # Arabic,PS # Pashto,book,0.04878100007772446,0.46153846153846156
AR # Arabic,PT # Portuguese,book,0.01206700038164854,0.18181818181818177
AR # Arabic,RU # Russian,book,0.0,0.0
AR # Arabic,SQ # Albanian,book,0.04966200143098831,0.46153846153846156
AR # Arabic,SW # Swahili,book,0.01206700038164854,0.18181818181818177
AR # Arabic,TH # Thai,book,0.017779000103473663,0.18181818181818177
AR # Arabic,TR # Turkish,book,0.04966200143098831,0.46153846153846156
AR # Arabic,UR # Urdu,book,0.01206700038164854,0.18181818181818177
AR # Arabic,VI # Vietnamese,book,0.04907900094985962,0.46153846153846156
AR # Arabic,ZH # Mandarin,book,0.04966200143098831,0.46153846153846156
BN # Bengali,DE # German,book,0.0,0.0
BN # Bengali,ES # Spanish,book,0.005824000108987093,0.18181818181818177
BN # Bengali,FA # Persian,book,0.03153099864721298,0.33333333333333337
BN # Bengali,FR # French,book,0.02616799995303154,0.33333333333333337
BN # Bengali,GA # Irish,book,0.02616799995303154,0.33333333333333337
BN # Bengali,HE # Hebrew,book,0.02616799995303154,0.33333333333333337
BN # Bengali,HI # Hindi,book,0.01206700038164854,0.18181818181818177
BN # Bengali,IT # Italian,book,0.0,0.0
BN # Bengali,JA # Japanese,book,0.01206700038164854,0.18181818181818177
BN # Bengali,KO # Korean,book,0.03153099864721298,0.33333333333333337
BN # Bengali,LV # Latvian,book,0.013265999965369701,0.18181818181818177
BN # Bengali,PL # Polish,book,0.01206700038164854,0.18181818181818177
BN # Bengali,PS # Pashto,book,0.03886000066995621,0.46153846153846156
BN # Bengali,PT # Portuguese,book,0.0,0.0
BN # Bengali,RU # Russian,book,0.01206700038164854,0.18181818181818177
BN # Bengali,SQ # Albanian,book,0.03153099864721298,0.33333333333333337
BN # Bengali,SW # Swahili,book,0.0,0.0
BN # Bengali,TH # Thai,book,0.02616799995303154,0.33333333333333337
BN # Bengali,TR # Turkish,book,0.03153099864721298,0.33333333333333337
BN # Bengali,UR # Urdu,book,0.0,0.0
BN # Bengali,VI # Vietnamese,book,0.044213999062776566,0.5714285714285714
BN # Bengali,ZH # Mandarin,book,0.03153099864721298,0.33333333333333337
DE # German,ES # Spanish,book,0.005824000108987093,0.18181818181818177
DE # German,FA # Persian,book,0.03153099864721298,0.33333333333333337
DE # German,FR # French,book,0.02616799995303154,0.33333333333333337
DE # German,GA # Irish,book,0.02616799995303154,0.33333333333333337
DE # German,HE # Hebrew,book,0.02616799995303154,0.33333333333333337
DE # German,HI # Hindi,book,0.01206700038164854,0.18181818181818177
DE # German,IT # Italian,book,0.0,0.0
DE # German,JA # Japanese,book,0.01206700038164854,0.18181818181818177
DE # German,KO # Korean,book,0.03153099864721298,0.33333333333333337
DE # German,LV # Latvian,book,0.013265999965369701,0.18181818181818177
DE # German,PL # Polish,book,0.01206700038164854,0.18181818181818177
DE # German,PS # Pashto,book,0.03886000066995621,0.46153846153846156
DE # German,PT # Portuguese,book,0.0,0.0
DE # German,RU # Russian,book,0.01206700038164854,0.18181818181818177
