Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,DE # German,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,ES # Spanish,cat,0.03216399997472763,0.33333333333333337
AR # Arabic,FA # Persian,cat,0.03422199934720993,0.33333333333333337
AR # Arabic,FR # French,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,GA # Irish,cat,0.03765200078487396,0.33333333333333337
AR # Arabic,HE # Hebrew,cat,0.03765200078487396,0.33333333333333337
AR # Arabic,HI # Hindi,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,IT # Italian,cat,0.017085000872612,0.18181818181818177
AR # Arabic,JA # Japanese,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,KO # Korean,cat,0.03422199934720993,0.33333333333333337
AR # Arabic,LV # Latvian,cat,0.03422199934720993,0.33333333333333337
AR # Arabic,PL # Polish,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,PS # Pashto,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,PT # Portuguese,cat,0.017085000872612,0.18181818181818177
AR # Arabic,RU # Russian,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,SQ # Albanian,cat,0.03422199934720993,0.33333333333333337
AR # Arabic,SW # Swahili,cat,0.03422199934720993,0.33333333333333337
AR # Arabic,TH # Thai,cat,0.046578001230955124,0.33333333333333337
AR # Arabic,TR # Turkish,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,UR # Urdu,cat,0.020459000021219254,0.18181818181818177
AR # Arabic,VI # Vietnamese,cat,0.04093699902296066,0.33333333333333337
AR # Arabic,ZH # Mandarin,cat,0.04093699902296066,0.33333333333333337
BN # Bengali,DE # German,cat,0.0,0.0
BN # Bengali,ES # Spanish,cat,0.029485000297427177,0.33333333333333337
BN # Bengali,FA # Persian,cat,0.0193719994276762,0.18181818181818177
BN # Bengali,FR # French,cat,0.0,0.0
BN # Bengali,GA # Irish,cat,0.030967000871896744,0.33333333333333337
BN # Bengali,HE # Hebrew,cat,0.030967000871896744,0.33333333333333337
BN # Bengali,HI # Hindi,cat,0.0,0.0
BN # Bengali,IT # Italian,cat,0.020910000428557396,0.18181818181818177
BN # Bengali,JA # Japanese,cat,0.0,0.0
BN # Bengali,KO # Korean,cat,0.0193719994276762,0.18181818181818177
BN # Bengali,LV # Latvian,cat,0.0193719994276762,0.18181818181818177
BN # Bengali,PL # Polish,cat,0.0,0.0
BN # Bengali,PS # Pashto,cat,0.0,0.0
BN # Bengali,PT # Portuguese,cat,0.020910000428557396,0.18181818181818177
BN # Bengali,RU # Russian,cat,0.0,0.0
BN # Bengali,SQ # Albanian,cat,0.0193719994276762,0.18181818181818177
BN # Bengali,SW # Swahili,cat,0.0193719994276762,0.18181818181818177
BN # Bengali,TH # Thai,cat,0.019910000264644623,0.18181818181818177
BN # Bengali,TR # Turkish,cat,0.0,0.0
BN # Bengali,UR # Urdu,cat,0.0,0.0
BN # Bengali,VI # Vietnamese,cat,0.022357000038027763,0.18181818181818177
BN # Bengali,ZH # Mandarin,cat,0.022357000038027763,0.18181818181818177
DE # German,ES # Spanish,cat,0.029485000297427177,0.33333333333333337
DE # German,FA # Persian,cat,0.0193719994276762,0.18181818181818177
DE # German,FR # French,cat,0.0,0.0
DE # German,GA # Irish,cat,0.030967000871896744,0.33333333333333337
DE # German,HE # Hebrew,cat,0.030967000871896744,0.33333333333333337
DE # German,HI # Hindi,cat,0.0,0.0
DE # German,IT # Italian,cat,0.020910000428557396,0.18181818181818177
DE # German,JA # Japanese,cat,0.0,0.0
DE # German,KO # Korean,cat,0.0193719994276762,0.18181818181818177
DE # German,LV # Latvian,cat,0.0193719994276762,0.18181818181818177
DE # German,PL # Polish,cat,0.0,0.0
DE # German,PS # Pashto,cat,0.0,0.0
DE # German,PT # Portuguese,cat,0.020910000428557396,0.18181818181818177
DE # German,RU # Russian,cat,0.0,0.0
DE # German,SQ # Albanian,cat,0.0193719994276762,0.18181818181818177
DE # German,SW # Swahili,cat,0.0193719994276762,0.18181818181818177
DE # German,TH # Thai,cat,0.019910000264644623,0.18181818181818177
DE # German,TR # Turkish,cat,0.0,0.0
DE # German,UR # Urdu,cat,0.0,0.0
DE # German,VI # Vietnamese,cat,0.022357000038027763,0.18181818181818177
DE # German,ZH # Mandarin,cat,0.022357000038027763,0.18181818181818177
ES # Spanish,FA # Persian,cat,0.02622699923813343,0.33333333333333337
ES # Spanish,FR # French,cat,0.029486000537872314,0.33333333333333337
ES # Spanish,GA # Irish,cat,0.055167000740766525,0.46153846153846156
ES # Spanish,HE # Hebrew,cat,0.055167000740766525,0.46153846153846156
ES # Spanish,HI # Hindi,cat,0.029485000297427177,0.33333333333333337
ES # Spanish,IT # Italian,cat,0.0398389995098114,0.46153846153846156
ES # Spanish,JA # Japanese,cat,0.029485000297427177,0.33333333333333337
ES # Spanish,KO # Korean,cat,0.026226000860333443,0.33333333333333337
ES # Spanish,LV # Latvian,cat,0.026226000860333443,0.33333333333333337
ES # Spanish,PL # Polish,cat,0.029485000297427177,0.33333333333333337
ES # Spanish,PS # Pashto,cat,0.029485000297427177,0.33333333333333337
ES # Spanish,PT # Portuguese,cat,0.0398389995098114,0.46153846153846156
ES # Spanish,RU # Russian,cat,0.029485000297427177,0.33333333333333337
ES # Spanish,SQ # Albanian,cat,0.026226000860333443,0.33333333333333337
ES # Spanish,SW # Swahili,cat,0.026226000860333443,0.33333333333333337
ES # Spanish,TH # Thai,cat,0.03727300092577934,0.33333333333333337
ES # Spanish,TR # Turkish,cat,0.029485000297427177,0.33333333333333337
ES # Spanish,UR # Urdu,cat,0.029485000297427177,0.33333333333333337
ES # Spanish,VI # Vietnamese,cat,0.026823999360203743,0.33333333333333337
ES # Spanish,ZH # Mandarin,cat,0.026823999360203743,0.33333333333333337
FA # Persian,FR # French,cat,0.0193719994276762,0.18181818181818177
FA # Persian,GA # Irish,cat,0.05599899962544441,0.46153846153846156
FA # Persian,HE # Hebrew,cat,0.05599899962544441,0.46153846153846156
FA # Persian,HI # Hindi,cat,0.0193719994276762,0.18181818181818177
FA # Persian,IT # Italian,cat,0.01690099947154522,0.18181818181818177
FA # Persian,JA # Japanese,cat,0.0193719994276762,0.18181818181818177
FA # Persian,KO # Korean,cat,0.0,0.0
FA # Persian,LV # Latvian,cat,0.0,0.0
FA # Persian,PL # Polish,cat,0.0193719994276762,0.18181818181818177
FA # Persian,PS # Pashto,cat,0.0193719994276762,0.18181818181818177
FA # Persian,PT # Portuguese,cat,0.01690099947154522,0.18181818181818177
FA # Persian,RU # Russian,cat,0.0193719994276762,0.18181818181818177
FA # Persian,SQ # Albanian,cat,0.0,0.0
FA # Persian,SW # Swahili,cat,0.0,0.0
FA # Persian,TH # Thai,cat,0.04487700015306473,0.33333333333333337
FA # Persian,TR # Turkish,cat,0.0193719994276762,0.18181818181818177
FA # Persian,UR # Urdu,cat,0.0193719994276762,0.18181818181818177
FA # Persian,VI # Vietnamese,cat,0.023932000622153282,0.18181818181818177
FA # Persian,ZH # Mandarin,cat,0.02393300086259842,0.18181818181818177
FR # French,GA # Irish,cat,0.030967000871896744,0.33333333333333337
FR # French,HE # Hebrew,cat,0.030967000871896744,0.33333333333333337
FR # French,HI # Hindi,cat,0.0,0.0
