Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,cloud,0.0,0.0
AR # Arabic,DE # German,cloud,0.003008000086992979,0.18181818181818177
AR # Arabic,ES # Spanish,cloud,0.0,0.0
AR # Arabic,FA # Persian,cloud,0.0,0.0
AR # Arabic,FR # French,cloud,0.003008000086992979,0.18181818181818177
AR # Arabic,GA # Irish,cloud,0.017666000872850418,0.33333333333333337
AR # Arabic,HE # Hebrew,cloud,0.0,0.0
AR # Arabic,HI # Hindi,cloud,0.0,0.0
AR # Arabic,IT # Italian,cloud,0.0,0.0
AR # Arabic,JA # Japanese,cloud,0.009417000226676464,0.18181818181818177
AR # Arabic,KO # Korean,cloud,0.0,0.0
AR # Arabic,LV # Latvian,cloud,0.0,0.0
AR # Arabic,PL # Polish,cloud,0.01797500066459179,0.18181818181818177
AR # Arabic,PS # Pashto,cloud,0.0,0.0
AR # Arabic,PT # Portuguese,cloud,0.009417000226676464,0.18181818181818177
AR # Arabic,RU # Russian,cloud,0.015771999955177307,0.18181818181818177
AR # Arabic,SQ # Albanian,cloud,0.0,0.0
AR # Arabic,SW # Swahili,cloud,0.0,0.0
AR # Arabic,TH # Thai,cloud,0.009417000226676464,0.18181818181818177
AR # Arabic,TR # Turkish,cloud,0.0,0.0
AR # Arabic,UR # Urdu,cloud,0.0,0.0
AR # Arabic,VI # Vietnamese,cloud,0.0,0.0
AR # Arabic,ZH # Mandarin,cloud,0.0,0.0
BN # Bengali,DE # German,cloud,0.003008000086992979,0.18181818181818177
BN # Bengali,ES # Spanish,cloud,0.0,0.0
BN # Bengali,FA # Persian,cloud,0.0,0.0
BN # Bengali,FR # French,cloud,0.003008000086992979,0.18181818181818177
BN # Bengali,GA # Irish,cloud,0.017666000872850418,0.33333333333333337
BN # Bengali,HE # Hebrew,cloud,0.0,0.0
BN # Bengali,HI # Hindi,cloud,0.0,0.0
BN # Bengali,IT # Italian,cloud,0.0,0.0
BN # Bengali,JA # Japanese,cloud,0.009417000226676464,0.18181818181818177
BN # Bengali,KO # Korean,cloud,0.0,0.0
BN # Bengali,LV # Latvian,cloud,0.0,0.0
BN # Bengali,PL # Polish,cloud,0.01797500066459179,0.18181818181818177
BN # Bengali,PS # Pashto,cloud,0.0,0.0
BN # Bengali,PT # Portuguese,cloud,0.009417000226676464,0.18181818181818177
BN # Bengali,RU # Russian,cloud,0.015771999955177307,0.18181818181818177
BN # Bengali,SQ # Albanian,cloud,0.0,0.0
BN # Bengali,SW # Swahili,cloud,0.0,0.0
BN # Bengali,TH # Thai,cloud,0.009417000226676464,0.18181818181818177
BN # Bengali,TR # Turkish,cloud,0.0,0.0
BN # Bengali,UR # Urdu,cloud,0.0,0.0
BN # Bengali,VI # Vietnamese,cloud,0.0,0.0
BN # Bengali,ZH # Mandarin,cloud,0.0,0.0
DE # German,ES # Spanish,cloud,0.003008000086992979,0.18181818181818177
DE # German,FA # Persian,cloud,0.003008000086992979,0.18181818181818177
DE # German,FR # French,cloud,0.0,0.0
DE # German,GA # Irish,cloud,0.01574300043284893,0.18181818181818177
DE # German,HE # Hebrew,cloud,0.003008000086992979,0.18181818181818177
DE # German,HI # Hindi,cloud,0.003008000086992979,0.18181818181818177
DE # German,IT # Italian,cloud,0.003008000086992979,0.18181818181818177
DE # German,JA # Japanese,cloud,0.012438000179827213,0.33333333333333337
DE # German,KO # Korean,cloud,0.003008000086992979,0.18181818181818177
DE # German,LV # Latvian,cloud,0.003008000086992979,0.18181818181818177
DE # German,PL # Polish,cloud,0.020374000072479248,0.33333333333333337
DE # German,PS # Pashto,cloud,0.003008000086992979,0.18181818181818177
DE # German,PT # Portuguese,cloud,0.012438000179827213,0.33333333333333337
DE # German,RU # Russian,cloud,0.019849000498652458,0.33333333333333337
DE # German,SQ # Albanian,cloud,0.003008000086992979,0.18181818181818177
DE # German,SW # Swahili,cloud,0.003008000086992979,0.18181818181818177
DE # German,TH # Thai,cloud,0.012438000179827213,0.33333333333333337
DE # German,TR # Turkish,cloud,0.003008000086992979,0.18181818181818177
DE # German,UR # Urdu,cloud,0.003008000086992979,0.18181818181818177
DE # German,VI # Vietnamese,cloud,0.003008000086992979,0.18181818181818177
DE # German,ZH # Mandarin,cloud,0.003008000086992979,0.18181818181818177
ES # Spanish,FA # Persian,cloud,0.0,0.0
ES # Spanish,FR # French,cloud,0.003008000086992979,0.18181818181818177
ES # Spanish,GA # Irish,cloud,0.017666000872850418,0.33333333333333337
ES # Spanish,HE # Hebrew,cloud,0.0,0.0
ES # Spanish,HI # Hindi,cloud,0.0,0.0
ES # Spanish,IT # Italian,cloud,0.0,0.0
ES # Spanish,JA # Japanese,cloud,0.009417000226676464,0.18181818181818177
ES # Spanish,KO # Korean,cloud,0.0,0.0
ES # Spanish,LV # Latvian,cloud,0.0,0.0
ES # Spanish,PL # Polish,cloud,0.01797500066459179,0.18181818181818177
ES # Spanish,PS # Pashto,cloud,0.0,0.0
ES # Spanish,PT # Portuguese,cloud,0.009417000226676464,0.18181818181818177
ES # Spanish,RU # Russian,cloud,0.015771999955177307,0.18181818181818177
ES # Spanish,SQ # Albanian,cloud,0.0,0.0
ES # Spanish,SW # Swahili,cloud,0.0,0.0
ES # Spanish,TH # Thai,cloud,0.009417000226676464,0.18181818181818177
ES # Spanish,TR # Turkish,cloud,0.0,0.0
ES # Spanish,UR # Urdu,cloud,0.0,0.0
ES # Spanish,VI # Vietnamese,cloud,0.0,0.0
ES # Spanish,ZH # Mandarin,cloud,0.0,0.0
FA # Persian,FR # French,cloud,0.003008000086992979,0.18181818181818177
FA # Persian,GA # Irish,cloud,0.017666000872850418,0.33333333333333337
FA # Persian,HE # Hebrew,cloud,0.0,0.0
FA # Persian,HI # Hindi,cloud,0.0,0.0
FA # Persian,IT # Italian,cloud,0.0,0.0
FA # Persian,JA # Japanese,cloud,0.009417000226676464,0.18181818181818177
FA # Persian,KO # Korean,cloud,0.0,0.0
FA # Persian,LV # Latvian,cloud,0.0,0.0
FA # Persian,PL # Polish,cloud,0.01797500066459179,0.18181818181818177
FA # Persian,PS # Pashto,cloud,0.0,0.0
FA # Persian,PT # Portuguese,cloud,0.009417000226676464,0.18181818181818177
FA # Persian,RU # Russian,cloud,0.015771999955177307,0.18181818181818177
FA # Persian,SQ # Albanian,cloud,0.0,0.0
FA # Persian,SW # Swahili,cloud,0.0,0.0
FA # Persian,TH # Thai,cloud,0.009417000226676464,0.18181818181818177
FA # Persian,TR # Turkish,cloud,0.0,0.0
FA # Persian,UR # Urdu,cloud,0.0,0.0
FA # Persian,VI # Vietnamese,cloud,0.0,0.0
FA # Persian,ZH # Mandarin,cloud,0.0,0.0
FR # French,GA # Irish,cloud,0.01574300043284893,0.18181818181818177
FR # French,HE # Hebrew,cloud,0.003008000086992979,0.18181818181818177
FR # French,HI # Hindi,cloud,0.003008000086992979,0.18181818181818177
FR # French,IT # Italian,cloud,0.003008000086992979,0.18181818181818177
FR # French,JA # Japanese,cloud,0.012438000179827213,0.33333333333333337
FR # French,KO # Korean,cloud,0.003008000086992979,0.18181818181818177
FR # French,LV # Latvian,cloud,0.003008000086992979,0.18181818181818177
FR # French,PL # Polish,cloud,0.020374000072479248,0.33333333333333337
FR # French,PS # Pashto,cloud,0.003008000086992979,0.18181818181818177
FR # French,PT # Portuguese,cloud,0.012438000179827213,0.33333333333333337
FR # French,RU # Russian,cloud,0.019849000498652458,0.33333333333333337
FR # French,SQ # Albanian,cloud,0.003008000086992979,0.18181818181818177
FR # French,SW # Swahili,cloud,0.003008000086992979,0.18181818181818177
FR # French,TH # Thai,cloud,0.012438000179827213,0.33333333333333337
FR # French,TR # Turkish,cloud,0.003008000086992979,0.18181818181818177
FR # French,UR # Urdu,cloud,0.003008000086992979,0.18181818181818177
FR # French,VI # Vietnamese,cloud,0.003008000086992979,0.18181818181818177
FR # French,ZH # Mandarin,cloud,0.003008000086992979,0.18181818181818177
GA # Irish,HE # Hebrew,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,HI # Hindi,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,IT # Italian,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,JA # Japanese,cloud,0.01634499989449978,0.33333333333333337
GA # Irish,KO # Korean,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,LV # Latvian,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,PL # Polish,cloud,0.043490998446941376,0.46153846153846156
GA # Irish,PS # Pashto,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,PT # Portuguese,cloud,0.01634499989449978,0.33333333333333337
GA # Irish,RU # Russian,cloud,0.0029929999727755785,0.18181818181818177
GA # Irish,SQ # Albanian,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,SW # Swahili,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,TH # Thai,cloud,0.01634499989449978,0.33333333333333337
GA # Irish,TR # Turkish,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,UR # Urdu,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,VI # Vietnamese,cloud,0.017666000872850418,0.33333333333333337
GA # Irish,ZH # Mandarin,cloud,0.017666000872850418,0.33333333333333337
HE # Hebrew,HI # Hindi,cloud,0.0,0.0
HE # Hebrew,IT # Italian,cloud,0.0,0.0
HE # Hebrew,JA # Japanese,cloud,0.009417000226676464,0.18181818181818177
HE # Hebrew,KO # Korean,cloud,0.0,0.0
HE # Hebrew,LV # Latvian,cloud,0.0,0.0
HE # Hebrew,PL # Polish,cloud,0.01797500066459179,0.18181818181818177
HE # Hebrew,PS # Pashto,cloud,0.0,0.0
HE # Hebrew,PT # Portuguese,cloud,0.009417000226676464,0.18181818181818177
HE # Hebrew,RU # Russian,cloud,0.015771999955177307,0.18181818181818177
HE # Hebrew,SQ # Albanian,cloud,0.0,0.0
HE # Hebrew,SW # Swahili,cloud,0.0,0.0
HE # Hebrew,TH # Thai,cloud,0.009417000226676464,0.18181818181818177
HE # Hebrew,TR # Turkish,cloud,0.0,0.0
HE # Hebrew,UR # Urdu,cloud,0.0,0.0
HE # Hebrew,VI # Vietnamese,cloud,0.0,0.0
HE # Hebrew,ZH # Mandarin,cloud,0.0,0.0
HI # Hindi,IT # Italian,cloud,0.0,0.0
HI # Hindi,JA # Japanese,cloud,0.009417000226676464,0.18181818181818177
HI # Hindi,KO # Korean,cloud,0.0,0.0
HI # Hindi,LV # Latvian,cloud,0.0,0.0
HI # Hindi,PL # Polish,cloud,0.01797500066459179,0.18181818181818177
HI # Hindi,PS # Pashto,cloud,0.0,0.0
HI # Hindi,PT # Portuguese,cloud,0.009417000226676464,0.18181818181818177
HI # Hindi,RU # Russian,cloud,0.015771999955177307,0.18181818181818177
HI # Hindi,SQ # Albanian,cloud,0.0,0.0
HI # Hindi,SW # Swahili,cloud,0.0,0.0
HI # Hindi,TH # Thai,cloud,0.009417000226676464,0.18181818181818177
HI # Hindi,TR # Turkish,cloud,0.0,0.0
HI # Hindi,UR # Urdu,cloud,0.0,0.0
HI # Hindi,VI # Vietnamese,cloud,0.0,0.0
HI # Hindi,ZH # Mandarin,cloud,0.0,0.0
IT # Italian,JA # Japanese,cloud,0.009417000226676464,0.18181818181818177
IT # Italian,KO # Korean,cloud,0.0,0.0
IT # Italian,LV # Latvian,cloud,0.0,0.0
IT # Italian,PL # Polish,cloud,0.01797500066459179,0.18181818181818177
IT # Italian,PS # Pashto,cloud,0.0,0.0
IT # Italian,PT # Portuguese,cloud,0.009417000226676464,0.18181818181818177
IT # Italian,RU # Russian,cloud,0.015771999955177307,0.18181818181818177
IT # Italian,SQ # Albanian,cloud,0.0,0.0
IT # Italian,SW # Swahili,cloud,0.0,0.0
IT # Italian,TH # Thai,cloud,0.009417000226676464,0.18181818181818177
IT # Italian,TR # Turkish,cloud,0.0,0.0
IT # Italian,UR # Urdu,cloud,0.0,0.0
IT # Italian,VI # Vietnamese,cloud,0.0,0.0
IT # Italian,ZH # Mandarin,cloud,0.0,0.0
JA # Japanese,KO # Korean,cloud,0.009417000226676464,0.18181818181818177
JA # Japanese,LV # Latvian,cloud,0.009417000226676464,0.18181818181818177
JA # Japanese,PL # Polish,cloud,0.015444000251591206,0.18181818181818177
JA # Japanese,PS # Pashto,cloud,0.009417000226676464,0.18181818181818177
JA # Japanese,PT # Portuguese,cloud,0.0,0.0
JA # Japanese,RU # Russian,cloud,0.014422999694943428,0.18181818181818177
JA # Japanese,SQ # Albanian,cloud,0.009417000226676464,0.18181818181818177
