Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,anger,0.03831399977207184,0.33333333333333337
AR # Arabic,DE # German,anger,0.09821800142526627,0.6666666666666667
AR # Arabic,ES # Spanish,anger,0.0,0.0
AR # Arabic,FA # Persian,anger,0.024599000811576843,0.18181818181818177
AR # Arabic,FR # French,anger,0.021895000711083412,0.18181818181818177
AR # Arabic,GA # Irish,anger,0.0695440024137497,0.5714285714285714
AR # Arabic,HE # Hebrew,anger,0.06540799885988235,0.5714285714285714
AR # Arabic,HI # Hindi,anger,0.06540799885988235,0.5714285714285714
AR # Arabic,IT # Italian,anger,0.0,0.0
AR # Arabic,JA # Japanese,anger,0.032065000385046005,0.33333333333333337
AR # Arabic,KO # Korean,anger,0.009340000338852406,0.18181818181818177
AR # Arabic,LV # Latvian,anger,0.024599000811576843,0.18181818181818177
AR # Arabic,PL # Polish,anger,0.06451299786567688,0.46153846153846156
AR # Arabic,PS # Pashto,anger,0.04775900021195412,0.33333333333333337
AR # Arabic,PT # Portuguese,anger,0.02234400063753128,0.18181818181818177
AR # Arabic,RU # Russian,anger,0.06540799885988235,0.5714285714285714
AR # Arabic,SQ # Albanian,anger,0.009340000338852406,0.18181818181818177
AR # Arabic,SW # Swahili,anger,0.13171499967575073,0.75
AR # Arabic,TH # Thai,anger,0.06540799885988235,0.5714285714285714
AR # Arabic,TR # Turkish,anger,0.024599000811576843,0.18181818181818177
AR # Arabic,UR # Urdu,anger,0.0732249990105629,0.46153846153846156
AR # Arabic,VI # Vietnamese,anger,0.015282999724149704,0.18181818181818177
AR # Arabic,ZH # Mandarin,anger,0.02251099981367588,0.18181818181818177
BN # Bengali,DE # German,anger,0.08031100034713745,0.5714285714285714
BN # Bengali,ES # Spanish,anger,0.03831300139427185,0.33333333333333337
BN # Bengali,FA # Persian,anger,0.040437001734972,0.33333333333333337
BN # Bengali,FR # French,anger,0.03890400007367134,0.33333333333333337
BN # Bengali,GA # Irish,anger,0.05433500185608864,0.46153846153846156
BN # Bengali,HE # Hebrew,anger,0.043432001024484634,0.46153846153846156
BN # Bengali,HI # Hindi,anger,0.043432001024484634,0.46153846153846156
BN # Bengali,IT # Italian,anger,0.03831300139427185,0.33333333333333337
BN # Bengali,JA # Japanese,anger,0.030477000400424004,0.33333333333333337
BN # Bengali,KO # Korean,anger,0.028132999315857887,0.33333333333333337
BN # Bengali,LV # Latvian,anger,0.040437001734972,0.33333333333333337
BN # Bengali,PL # Polish,anger,0.05099400132894516,0.46153846153846156
BN # Bengali,PS # Pashto,anger,0.04878700152039528,0.33333333333333337
BN # Bengali,PT # Portuguese,anger,0.05707399919629097,0.46153846153846156
BN # Bengali,RU # Russian,anger,0.043432001024484634,0.46153846153846156
BN # Bengali,SQ # Albanian,anger,0.028132999315857887,0.33333333333333337
BN # Bengali,SW # Swahili,anger,0.11003199964761734,0.6666666666666667
BN # Bengali,TH # Thai,anger,0.043432001024484634,0.46153846153846156
BN # Bengali,TR # Turkish,anger,0.040437001734972,0.33333333333333337
BN # Bengali,UR # Urdu,anger,0.04762199893593788,0.33333333333333337
BN # Bengali,VI # Vietnamese,anger,0.027798999100923538,0.33333333333333337
BN # Bengali,ZH # Mandarin,anger,0.04579100012779236,0.33333333333333337
DE # German,ES # Spanish,anger,0.09821899980306625,0.6666666666666667
DE # German,FA # Persian,anger,0.10277199745178223,0.6666666666666667
DE # German,FR # French,anger,0.08162599802017212,0.5714285714285714
DE # German,GA # Irish,anger,0.022373000159859657,0.18181818181818177
DE # German,HE # Hebrew,anger,0.04947299882769585,0.46153846153846156
DE # German,HI # Hindi,anger,0.04947299882769585,0.46153846153846156
DE # German,IT # Italian,anger,0.09821899980306625,0.6666666666666667
DE # German,JA # Japanese,anger,0.0873740017414093,0.6666666666666667
DE # German,KO # Korean,anger,0.08320300281047821,0.6666666666666667
DE # German,LV # Latvian,anger,0.10277199745178223,0.6666666666666667
DE # German,PL # Polish,anger,0.07262100279331207,0.5714285714285714
DE # German,PS # Pashto,anger,0.07530699670314789,0.5714285714285714
DE # German,PT # Portuguese,anger,0.08851099759340286,0.6666666666666667
DE # German,RU # Russian,anger,0.04947299882769585,0.46153846153846156
DE # German,SQ # Albanian,anger,0.08320300281047821,0.6666666666666667
DE # German,SW # Swahili,anger,0.04408299922943115,0.33333333333333337
DE # German,TH # Thai,anger,0.04947299882769585,0.46153846153846156
DE # German,TR # Turkish,anger,0.10277199745178223,0.6666666666666667
DE # German,UR # Urdu,anger,0.06878799945116043,0.5714285714285714
DE # German,VI # Vietnamese,anger,0.10099899768829346,0.6666666666666667
DE # German,ZH # Mandarin,anger,0.0695199966430664,0.5714285714285714
ES # Spanish,FA # Persian,anger,0.024599000811576843,0.18181818181818177
ES # Spanish,FR # French,anger,0.0218959990888834,0.18181818181818177
ES # Spanish,GA # Irish,anger,0.0695440024137497,0.5714285714285714
ES # Spanish,HE # Hebrew,anger,0.06540799885988235,0.5714285714285714
