Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,bell,0.017405999824404716,0.18181818181818177
AR # Arabic,DE # German,bell,0.04194499924778938,0.33333333333333337
AR # Arabic,ES # Spanish,bell,0.017405999824404716,0.18181818181818177
AR # Arabic,FA # Persian,bell,0.017405999824404716,0.18181818181818177
AR # Arabic,FR # French,bell,0.03962299972772598,0.33333333333333337
AR # Arabic,GA # Irish,bell,0.06224599853157997,0.46153846153846156
AR # Arabic,HE # Hebrew,bell,0.017405999824404716,0.18181818181818177
AR # Arabic,HI # Hindi,bell,0.022760000079870224,0.18181818181818177
AR # Arabic,IT # Italian,bell,0.017405999824404716,0.18181818181818177
AR # Arabic,JA # Japanese,bell,0.03821299970149994,0.46153846153846156
AR # Arabic,KO # Korean,bell,0.03683700039982796,0.33333333333333337
AR # Arabic,LV # Latvian,bell,0.017405999824404716,0.18181818181818177
AR # Arabic,PL # Polish,bell,0.01965700089931488,0.18181818181818177
AR # Arabic,PS # Pashto,bell,0.04194499924778938,0.33333333333333337
AR # Arabic,PT # Portuguese,bell,0.017405999824404716,0.18181818181818177
AR # Arabic,RU # Russian,bell,0.03230699896812439,0.33333333333333337
AR # Arabic,SQ # Albanian,bell,0.0,0.0
AR # Arabic,SW # Swahili,bell,0.0583529993891716,0.46153846153846156
AR # Arabic,TH # Thai,bell,0.020183000713586807,0.18181818181818177
AR # Arabic,TR # Turkish,bell,0.017405999824404716,0.18181818181818177
AR # Arabic,UR # Urdu,bell,0.04453499987721443,0.33333333333333337
AR # Arabic,VI # Vietnamese,bell,0.03576799854636192,0.33333333333333337
AR # Arabic,ZH # Mandarin,bell,0.020733000710606575,0.18181818181818177
BN # Bengali,DE # German,bell,0.0399009995162487,0.33333333333333337
BN # Bengali,ES # Spanish,bell,0.0,0.0
BN # Bengali,FA # Persian,bell,0.0,0.0
BN # Bengali,FR # French,bell,0.021244000643491745,0.18181818181818177
BN # Bengali,GA # Irish,bell,0.05931200087070465,0.46153846153846156
BN # Bengali,HE # Hebrew,bell,0.0,0.0
BN # Bengali,HI # Hindi,bell,0.022021999582648277,0.18181818181818177
BN # Bengali,IT # Italian,bell,0.0,0.0
BN # Bengali,JA # Japanese,bell,0.02613699994981289,0.33333333333333337
BN # Bengali,KO # Korean,bell,0.018070999532938004,0.18181818181818177
BN # Bengali,LV # Latvian,bell,0.0,0.0
BN # Bengali,PL # Polish,bell,0.020089000463485718,0.18181818181818177
BN # Bengali,PS # Pashto,bell,0.0399009995162487,0.33333333333333337
BN # Bengali,PT # Portuguese,bell,0.0,0.0
BN # Bengali,RU # Russian,bell,0.016690999269485474,0.18181818181818177
BN # Bengali,SQ # Albanian,bell,0.017405999824404716,0.18181818181818177
BN # Bengali,SW # Swahili,bell,0.05247500166296959,0.46153846153846156
BN # Bengali,TH # Thai,bell,0.02064800076186657,0.18181818181818177
BN # Bengali,TR # Turkish,bell,0.0,0.0
BN # Bengali,UR # Urdu,bell,0.04432599991559982,0.33333333333333337
BN # Bengali,VI # Vietnamese,bell,0.021359000355005264,0.18181818181818177
BN # Bengali,ZH # Mandarin,bell,0.02419400028884411,0.18181818181818177
DE # German,ES # Spanish,bell,0.0399009995162487,0.33333333333333337
DE # German,FA # Persian,bell,0.0399009995162487,0.33333333333333337
DE # German,FR # French,bell,0.02122199907898903,0.18181818181818177
DE # German,GA # Irish,bell,0.022089000791311264,0.18181818181818177
DE # German,HE # Hebrew,bell,0.0399009995162487,0.33333333333333337
DE # German,HI # Hindi,bell,0.021040000021457672,0.18181818181818177
DE # German,IT # Italian,bell,0.0399009995162487,0.33333333333333337
DE # German,JA # Japanese,bell,0.04564899951219559,0.46153846153846156
DE # German,KO # Korean,bell,0.04560000076889992,0.33333333333333337
DE # German,LV # Latvian,bell,0.0399009995162487,0.33333333333333337
DE # German,PL # Polish,bell,0.01970200054347515,0.18181818181818177
DE # German,PS # Pashto,bell,0.0,0.0
DE # German,PT # Portuguese,bell,0.0399009995162487,0.33333333333333337
