Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,artist,0.0,0.0
AR # Arabic,DE # German,artist,0.012501000426709652,0.18181818181818177
AR # Arabic,ES # Spanish,artist,0.012501000426709652,0.18181818181818177
AR # Arabic,FA # Persian,artist,0.0,0.0
AR # Arabic,FR # French,artist,0.009353999979794025,0.18181818181818177
AR # Arabic,GA # Irish,artist,0.0,0.0
AR # Arabic,HE # Hebrew,artist,0.012501000426709652,0.18181818181818177
AR # Arabic,HI # Hindi,artist,0.012492000125348568,0.18181818181818177
AR # Arabic,IT # Italian,artist,0.012501000426709652,0.18181818181818177
AR # Arabic,JA # Japanese,artist,0.0,0.0
AR # Arabic,KO # Korean,artist,0.0,0.0
AR # Arabic,LV # Latvian,artist,0.009353999979794025,0.18181818181818177
AR # Arabic,PL # Polish,artist,0.012501000426709652,0.18181818181818177
AR # Arabic,PS # Pashto,artist,0.0,0.0
AR # Arabic,PT # Portuguese,artist,0.012493000365793705,0.18181818181818177
AR # Arabic,RU # Russian,artist,0.012501000426709652,0.18181818181818177
AR # Arabic,SQ # Albanian,artist,0.0,0.0
AR # Arabic,SW # Swahili,artist,0.0,0.0
AR # Arabic,TH # Thai,artist,0.012501000426709652,0.18181818181818177
AR # Arabic,TR # Turkish,artist,0.009353999979794025,0.18181818181818177
AR # Arabic,UR # Urdu,artist,0.0,0.0
AR # Arabic,VI # Vietnamese,artist,0.012501000426709652,0.18181818181818177
AR # Arabic,ZH # Mandarin,artist,0.0,0.0
BN # Bengali,DE # German,artist,0.012501000426709652,0.18181818181818177
BN # Bengali,ES # Spanish,artist,0.012501000426709652,0.18181818181818177
BN # Bengali,FA # Persian,artist,0.0,0.0
BN # Bengali,FR # French,artist,0.009353999979794025,0.18181818181818177
BN # Bengali,GA # Irish,artist,0.0,0.0
BN # Bengali,HE # Hebrew,artist,0.012501000426709652,0.18181818181818177
BN # Bengali,HI # Hindi,artist,0.012492000125348568,0.18181818181818177
BN # Bengali,IT # Italian,artist,0.012501000426709652,0.18181818181818177
BN # Bengali,JA # Japanese,artist,0.0,0.0
BN # Bengali,KO # Korean,artist,0.0,0.0
BN # Bengali,LV # Latvian,artist,0.009353999979794025,0.18181818181818177
BN # Bengali,PL # Polish,artist,0.012501000426709652,0.18181818181818177
BN # Bengali,PS # Pashto,artist,0.0,0.0
BN # Bengali,PT # Portuguese,artist,0.012493000365793705,0.18181818181818177
BN # Bengali,RU # Russian,artist,0.012501000426709652,0.18181818181818177
BN # Bengali,SQ # Albanian,artist,0.0,0.0
BN # Bengali,SW # Swahili,artist,0.0,0.0
BN # Bengali,TH # Thai,artist,0.012501000426709652,0.18181818181818177
BN # Bengali,TR # Turkish,artist,0.009353999979794025,0.18181818181818177
BN # Bengali,UR # Urdu,artist,0.0,0.0
BN # Bengali,VI # Vietnamese,artist,0.012501000426709652,0.18181818181818177
BN # Bengali,ZH # Mandarin,artist,0.0,0.0
DE # German,ES # Spanish,artist,0.0,0.0
DE # German,FA # Persian,artist,0.012501000426709652,0.18181818181818177
DE # German,FR # French,artist,0.01297600008547306,0.18181818181818177
DE # German,GA # Irish,artist,0.012501000426709652,0.18181818181818177
DE # German,HE # Hebrew,artist,0.0,0.0
DE # German,HI # Hindi,artist,0.014560000039637089,0.18181818181818177
DE # German,IT # Italian,artist,0.0,0.0
DE # German,JA # Japanese,artist,0.012501000426709652,0.18181818181818177
DE # German,KO # Korean,artist,0.012501000426709652,0.18181818181818177
DE # German,LV # Latvian,artist,0.01297600008547306,0.18181818181818177
DE # German,PL # Polish,artist,0.0,0.0
DE # German,PS # Pashto,artist,0.012501000426709652,0.18181818181818177
DE # German,PT # Portuguese,artist,0.014560000039637089,0.18181818181818177
DE # German,RU # Russian,artist,0.0,0.0
DE # German,SQ # Albanian,artist,0.012501000426709652,0.18181818181818177
DE # German,SW # Swahili,artist,0.012501000426709652,0.18181818181818177
DE # German,TH # Thai,artist,0.0,0.0
DE # German,TR # Turkish,artist,0.01297600008547306,0.18181818181818177
DE # German,UR # Urdu,artist,0.012501000426709652,0.18181818181818177
DE # German,VI # Vietnamese,artist,0.0,0.0
DE # German,ZH # Mandarin,artist,0.012501000426709652,0.18181818181818177
ES # Spanish,FA # Persian,artist,0.012501000426709652,0.18181818181818177
ES # Spanish,FR # French,artist,0.012974999845027924,0.18181818181818177
ES # Spanish,GA # Irish,artist,0.012501000426709652,0.18181818181818177
ES # Spanish,HE # Hebrew,artist,0.0,0.0
ES # Spanish,HI # Hindi,artist,0.014560000039637089,0.18181818181818177
ES # Spanish,IT # Italian,artist,0.0,0.0
ES # Spanish,JA # Japanese,artist,0.012501000426709652,0.18181818181818177
ES # Spanish,KO # Korean,artist,0.012501000426709652,0.18181818181818177
ES # Spanish,LV # Latvian,artist,0.01297600008547306,0.18181818181818177
ES # Spanish,PL # Polish,artist,0.0,0.0
ES # Spanish,PS # Pashto,artist,0.012501000426709652,0.18181818181818177
ES # Spanish,PT # Portuguese,artist,0.014560000039637089,0.18181818181818177
ES # Spanish,RU # Russian,artist,0.0,0.0
ES # Spanish,SQ # Albanian,artist,0.012501000426709652,0.18181818181818177
ES # Spanish,SW # Swahili,artist,0.012501000426709652,0.18181818181818177
ES # Spanish,TH # Thai,artist,0.0,0.0
ES # Spanish,TR # Turkish,artist,0.01297600008547306,0.18181818181818177
ES # Spanish,UR # Urdu,artist,0.012501000426709652,0.18181818181818177
ES # Spanish,VI # Vietnamese,artist,0.0,0.0
ES # Spanish,ZH # Mandarin,artist,0.012501000426709652,0.18181818181818177
FA # Persian,FR # French,artist,0.009353999979794025,0.18181818181818177
FA # Persian,GA # Irish,artist,0.0,0.0
FA # Persian,HE # Hebrew,artist,0.012501000426709652,0.18181818181818177
FA # Persian,HI # Hindi,artist,0.012492000125348568,0.18181818181818177
FA # Persian,IT # Italian,artist,0.012501000426709652,0.18181818181818177
FA # Persian,JA # Japanese,artist,0.0,0.0
FA # Persian,KO # Korean,artist,0.0,0.0
FA # Persian,LV # Latvian,artist,0.009353999979794025,0.18181818181818177
FA # Persian,PL # Polish,artist,0.012501000426709652,0.18181818181818177
FA # Persian,PS # Pashto,artist,0.0,0.0
FA # Persian,PT # Portuguese,artist,0.012493000365793705,0.18181818181818177
FA # Persian,RU # Russian,artist,0.012501000426709652,0.18181818181818177
FA # Persian,SQ # Albanian,artist,0.0,0.0
FA # Persian,SW # Swahili,artist,0.0,0.0
FA # Persian,TH # Thai,artist,0.012501000426709652,0.18181818181818177
FA # Persian,TR # Turkish,artist,0.009353999979794025,0.18181818181818177
FA # Persian,UR # Urdu,artist,0.0,0.0
FA # Persian,VI # Vietnamese,artist,0.012501000426709652,0.18181818181818177
FA # Persian,ZH # Mandarin,artist,0.0,0.0
FR # French,GA # Irish,artist,0.009353999979794025,0.18181818181818177
