Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,city,0.01876400038599968,0.18181818181818177
AR # Arabic,DE # German,city,0.0,0.0
AR # Arabic,ES # Spanish,city,0.0,0.0
AR # Arabic,FA # Persian,city,0.012250999920070171,0.18181818181818177
AR # Arabic,FR # French,city,0.0,0.0
AR # Arabic,GA # Irish,city,0.017983999103307724,0.18181818181818177
AR # Arabic,HE # Hebrew,city,0.0,0.0
AR # Arabic,HI # Hindi,city,0.0,0.0
AR # Arabic,IT # Italian,city,0.0,0.0
AR # Arabic,JA # Japanese,city,0.0,0.0
AR # Arabic,KO # Korean,city,0.018765000626444817,0.18181818181818177
AR # Arabic,LV # Latvian,city,0.0,0.0
AR # Arabic,PL # Polish,city,0.013980000279843807,0.18181818181818177
AR # Arabic,PS # Pashto,city,0.018765000626444817,0.18181818181818177
AR # Arabic,PT # Portuguese,city,0.0,0.0
AR # Arabic,RU # Russian,city,0.0,0.0
AR # Arabic,SQ # Albanian,city,0.0,0.0
AR # Arabic,SW # Swahili,city,0.013980000279843807,0.18181818181818177
AR # Arabic,TH # Thai,city,0.018765000626444817,0.18181818181818177
AR # Arabic,TR # Turkish,city,0.0,0.0
AR # Arabic,UR # Urdu,city,0.018765000626444817,0.18181818181818177
AR # Arabic,VI # Vietnamese,city,0.018765000626444817,0.18181818181818177
AR # Arabic,ZH # Mandarin,city,0.018765000626444817,0.18181818181818177
BN # Bengali,DE # German,city,0.018765000626444817,0.18181818181818177
BN # Bengali,ES # Spanish,city,0.018765000626444817,0.18181818181818177
BN # Bengali,FA # Persian,city,0.014957999810576439,0.18181818181818177
BN # Bengali,FR # French,city,0.018765000626444817,0.18181818181818177
BN # Bengali,GA # Irish,city,0.035711001604795456,0.33333333333333337
BN # Bengali,HE # Hebrew,city,0.018765000626444817,0.18181818181818177
BN # Bengali,HI # Hindi,city,0.018765000626444817,0.18181818181818177
BN # Bengali,IT # Italian,city,0.018765000626444817,0.18181818181818177
BN # Bengali,JA # Japanese,city,0.018765000626444817,0.18181818181818177
BN # Bengali,KO # Korean,city,0.0,0.0
BN # Bengali,LV # Latvian,city,0.018765000626444817,0.18181818181818177
BN # Bengali,PL # Polish,city,0.01743900030851364,0.18181818181818177
BN # Bengali,PS # Pashto,city,0.0,0.0
BN # Bengali,PT # Portuguese,city,0.018765000626444817,0.18181818181818177
BN # Bengali,RU # Russian,city,0.018765000626444817,0.18181818181818177
BN # Bengali,SQ # Albanian,city,0.018765000626444817,0.18181818181818177
BN # Bengali,SW # Swahili,city,0.01743900030851364,0.18181818181818177
BN # Bengali,TH # Thai,city,0.0,0.0
BN # Bengali,TR # Turkish,city,0.018765000626444817,0.18181818181818177
BN # Bengali,UR # Urdu,city,0.0,0.0
BN # Bengali,VI # Vietnamese,city,0.0,0.0
BN # Bengali,ZH # Mandarin,city,0.0,0.0
DE # German,ES # Spanish,city,0.0,0.0
DE # German,FA # Persian,city,0.012250999920070171,0.18181818181818177
DE # German,FR # French,city,0.0,0.0
DE # German,GA # Irish,city,0.017983999103307724,0.18181818181818177
DE # German,HE # Hebrew,city,0.0,0.0
DE # German,HI # Hindi,city,0.0,0.0
DE # German,IT # Italian,city,0.0,0.0
DE # German,JA # Japanese,city,0.0,0.0
DE # German,KO # Korean,city,0.018765000626444817,0.18181818181818177
DE # German,LV # Latvian,city,0.0,0.0
DE # German,PL # Polish,city,0.013980000279843807,0.18181818181818177
DE # German,PS # Pashto,city,0.018765000626444817,0.18181818181818177
DE # German,PT # Portuguese,city,0.0,0.0
DE # German,RU # Russian,city,0.0,0.0
DE # German,SQ # Albanian,city,0.0,0.0
DE # German,SW # Swahili,city,0.013980000279843807,0.18181818181818177
DE # German,TH # Thai,city,0.018765000626444817,0.18181818181818177
DE # German,TR # Turkish,city,0.0,0.0
DE # German,UR # Urdu,city,0.018765000626444817,0.18181818181818177
DE # German,VI # Vietnamese,city,0.018765000626444817,0.18181818181818177
DE # German,ZH # Mandarin,city,0.018765000626444817,0.18181818181818177
ES # Spanish,FA # Persian,city,0.012250999920070171,0.18181818181818177
ES # Spanish,FR # French,city,0.0,0.0
ES # Spanish,GA # Irish,city,0.017983999103307724,0.18181818181818177
ES # Spanish,HE # Hebrew,city,0.0,0.0
ES # Spanish,HI # Hindi,city,0.0,0.0
ES # Spanish,IT # Italian,city,0.0,0.0
ES # Spanish,JA # Japanese,city,0.0,0.0
