Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,cactus,0.06346999853849411,0.46153846153846156
AR # Arabic,DE # German,cactus,0.045097000896930695,0.33333333333333337
AR # Arabic,ES # Spanish,cactus,0.0559380017220974,0.46153846153846156
AR # Arabic,FA # Persian,cactus,0.015196000225841999,0.18181818181818177
AR # Arabic,FR # French,cactus,0.045097000896930695,0.33333333333333337
AR # Arabic,GA # Irish,cactus,0.06346999853849411,0.46153846153846156
AR # Arabic,HE # Hebrew,cactus,0.045097000896930695,0.33333333333333337
AR # Arabic,HI # Hindi,cactus,0.045097000896930695,0.33333333333333337
AR # Arabic,IT # Italian,cactus,0.045097000896930695,0.33333333333333337
AR # Arabic,JA # Japanese,cactus,0.05622600018978119,0.46153846153846156
AR # Arabic,KO # Korean,cactus,0.04565799981355667,0.33333333333333337
AR # Arabic,LV # Latvian,cactus,0.05939599871635437,0.46153846153846156
AR # Arabic,PL # Polish,cactus,0.06346999853849411,0.46153846153846156
AR # Arabic,PS # Pashto,cactus,0.06346999853849411,0.46153846153846156
AR # Arabic,PT # Portuguese,cactus,0.04690700024366379,0.33333333333333337
AR # Arabic,RU # Russian,cactus,0.05721500143408775,0.46153846153846156
AR # Arabic,SQ # Albanian,cactus,0.045097000896930695,0.33333333333333337
AR # Arabic,SW # Swahili,cactus,0.06346999853849411,0.46153846153846156
AR # Arabic,TH # Thai,cactus,0.045097000896930695,0.33333333333333337
AR # Arabic,TR # Turkish,cactus,0.045097000896930695,0.33333333333333337
AR # Arabic,UR # Urdu,cactus,0.05939599871635437,0.46153846153846156
AR # Arabic,VI # Vietnamese,cactus,0.05721500143408775,0.46153846153846156
AR # Arabic,ZH # Mandarin,cactus,0.045097000896930695,0.33333333333333337
BN # Bengali,DE # German,cactus,0.014228999614715576,0.18181818181818177
BN # Bengali,ES # Spanish,cactus,0.032287999987602234,0.33333333333333337
BN # Bengali,FA # Persian,cactus,0.08078499883413315,0.5714285714285714
BN # Bengali,FR # French,cactus,0.014228999614715576,0.18181818181818177
BN # Bengali,GA # Irish,cactus,0.0,0.0
BN # Bengali,HE # Hebrew,cactus,0.014228999614715576,0.18181818181818177
BN # Bengali,HI # Hindi,cactus,0.014228999614715576,0.18181818181818177
BN # Bengali,IT # Italian,cactus,0.014228999614715576,0.18181818181818177
BN # Bengali,JA # Japanese,cactus,0.037078000605106354,0.33333333333333337
BN # Bengali,KO # Korean,cactus,0.06132499873638153,0.46153846153846156
BN # Bengali,LV # Latvian,cactus,0.008349999785423279,0.18181818181818177
BN # Bengali,PL # Polish,cactus,0.0,0.0
BN # Bengali,PS # Pashto,cactus,0.0,0.0
BN # Bengali,PT # Portuguese,cactus,0.017041999846696854,0.18181818181818177
BN # Bengali,RU # Russian,cactus,0.01830199919641018,0.18181818181818177
BN # Bengali,SQ # Albanian,cactus,0.014228999614715576,0.18181818181818177
BN # Bengali,SW # Swahili,cactus,0.0,0.0
BN # Bengali,TH # Thai,cactus,0.014228999614715576,0.18181818181818177
BN # Bengali,TR # Turkish,cactus,0.014228999614715576,0.18181818181818177
BN # Bengali,UR # Urdu,cactus,0.008349999785423279,0.18181818181818177
BN # Bengali,VI # Vietnamese,cactus,0.01830199919641018,0.18181818181818177
BN # Bengali,ZH # Mandarin,cactus,0.014228999614715576,0.18181818181818177
DE # German,ES # Spanish,cactus,0.02813199907541275,0.33333333333333337
DE # German,FA # Persian,cactus,0.06400000303983688,0.46153846153846156
DE # German,FR # French,cactus,0.0,0.0
DE # German,GA # Irish,cactus,0.014228999614715576,0.18181818181818177
DE # German,HE # Hebrew,cactus,0.0,0.0
DE # German,HI # Hindi,cactus,0.0,0.0
DE # German,IT # Italian,cactus,0.0,0.0
DE # German,JA # Japanese,cactus,0.03234599903225899,0.33333333333333337
DE # German,KO # Korean,cactus,0.03870600089430809,0.33333333333333337
DE # German,LV # Latvian,cactus,0.011386999860405922,0.18181818181818177
DE # German,PL # Polish,cactus,0.014228999614715576,0.18181818181818177
DE # German,PS # Pashto,cactus,0.014228999614715576,0.18181818181818177
DE # German,PT # Portuguese,cactus,0.013863000087440014,0.18181818181818177
DE # German,RU # Russian,cactus,0.014360000379383564,0.18181818181818177
DE # German,SQ # Albanian,cactus,0.0,0.0
DE # German,SW # Swahili,cactus,0.014228999614715576,0.18181818181818177
DE # German,TH # Thai,cactus,0.0,0.0
DE # German,TR # Turkish,cactus,0.0,0.0
DE # German,UR # Urdu,cactus,0.011386999860405922,0.18181818181818177
DE # German,VI # Vietnamese,cactus,0.014360000379383564,0.18181818181818177
DE # German,ZH # Mandarin,cactus,0.0,0.0
ES # Spanish,FA # Persian,cactus,0.06376100331544876,0.46153846153846156
ES # Spanish,FR # French,cactus,0.028131000697612762,0.33333333333333337
ES # Spanish,GA # Irish,cactus,0.032287999987602234,0.33333333333333337
ES # Spanish,HE # Hebrew,cactus,0.02813199907541275,0.33333333333333337
ES # Spanish,HI # Hindi,cactus,0.02813199907541275,0.33333333333333337
ES # Spanish,IT # Italian,cactus,0.02813199907541275,0.33333333333333337
ES # Spanish,JA # Japanese,cactus,0.03136900067329407,0.33333333333333337
ES # Spanish,KO # Korean,cactus,0.04907099902629852,0.46153846153846156
ES # Spanish,LV # Latvian,cactus,0.04090400040149689,0.46153846153846156
ES # Spanish,PL # Polish,cactus,0.032287999987602234,0.33333333333333337
ES # Spanish,PS # Pashto,cactus,0.032287999987602234,0.33333333333333337
ES # Spanish,PT # Portuguese,cactus,0.04329900071024895,0.46153846153846156
ES # Spanish,RU # Russian,cactus,0.01608400046825409,0.18181818181818177
ES # Spanish,SQ # Albanian,cactus,0.02813199907541275,0.33333333333333337
ES # Spanish,SW # Swahili,cactus,0.032287999987602234,0.33333333333333337
ES # Spanish,TH # Thai,cactus,0.02813199907541275,0.33333333333333337
ES # Spanish,TR # Turkish,cactus,0.02813199907541275,0.33333333333333337
ES # Spanish,UR # Urdu,cactus,0.04090400040149689,0.46153846153846156
ES # Spanish,VI # Vietnamese,cactus,0.01608400046825409,0.18181818181818177
ES # Spanish,ZH # Mandarin,cactus,0.02813199907541275,0.33333333333333337
FA # Persian,FR # French,cactus,0.06400000303983688,0.46153846153846156
FA # Persian,GA # Irish,cactus,0.08078499883413315,0.5714285714285714
FA # Persian,HE # Hebrew,cactus,0.06400000303983688,0.46153846153846156
FA # Persian,HI # Hindi,cactus,0.06400000303983688,0.46153846153846156
FA # Persian,IT # Italian,cactus,0.06400000303983688,0.46153846153846156
FA # Persian,JA # Japanese,cactus,0.05878699943423271,0.46153846153846156
FA # Persian,KO # Korean,cactus,0.04405299946665764,0.33333333333333337
FA # Persian,LV # Latvian,cactus,0.07473500072956085,0.5714285714285714
FA # Persian,PL # Polish,cactus,0.08078499883413315,0.5714285714285714
FA # Persian,PS # Pashto,cactus,0.08078499883413315,0.5714285714285714
FA # Persian,PT # Portuguese,cactus,0.06031399965286255,0.46153846153846156
FA # Persian,RU # Russian,cactus,0.06218300014734268,0.46153846153846156
FA # Persian,SQ # Albanian,cactus,0.06400000303983688,0.46153846153846156
FA # Persian,SW # Swahili,cactus,0.08078499883413315,0.5714285714285714
FA # Persian,TH # Thai,cactus,0.06400000303983688,0.46153846153846156
FA # Persian,TR # Turkish,cactus,0.06400000303983688,0.46153846153846156
FA # Persian,UR # Urdu,cactus,0.07473500072956085,0.5714285714285714
FA # Persian,VI # Vietnamese,cactus,0.06218300014734268,0.46153846153846156
FA # Persian,ZH # Mandarin,cactus,0.06400000303983688,0.46153846153846156
FR # French,GA # Irish,cactus,0.014228999614715576,0.18181818181818177
FR # French,HE # Hebrew,cactus,0.0,0.0
FR # French,HI # Hindi,cactus,0.0,0.0
FR # French,IT # Italian,cactus,0.0,0.0
FR # French,JA # Japanese,cactus,0.03234599903225899,0.33333333333333337
FR # French,KO # Korean,cactus,0.03870600089430809,0.33333333333333337
FR # French,LV # Latvian,cactus,0.011386999860405922,0.18181818181818177
FR # French,PL # Polish,cactus,0.014228999614715576,0.18181818181818177
FR # French,PS # Pashto,cactus,0.014228999614715576,0.18181818181818177
FR # French,PT # Portuguese,cactus,0.013863000087440014,0.18181818181818177
FR # French,RU # Russian,cactus,0.014360000379383564,0.18181818181818177
FR # French,SQ # Albanian,cactus,0.0,0.0
FR # French,SW # Swahili,cactus,0.014228999614715576,0.18181818181818177
