Language1,Language2,Noun,CosineDistance,JaccardDistance
AR # Arabic,BN # Bengali,above,0.010537000373005867,0.18181818181818177
AR # Arabic,DE # German,above,0.011222999542951584,0.18181818181818177
AR # Arabic,ES # Spanish,above,0.011222999542951584,0.18181818181818177
AR # Arabic,FA # Persian,above,0.06005299836397171,0.46153846153846156
AR # Arabic,FR # French,above,0.08604700118303299,0.5714285714285714
AR # Arabic,GA # Irish,above,0.022944999858736992,0.33333333333333337
AR # Arabic,HE # Hebrew,above,0.024702999740839005,0.33333333333333337
AR # Arabic,HI # Hindi,above,0.0072479997761547565,0.18181818181818177
AR # Arabic,IT # Italian,above,0.005822000093758106,0.18181818181818177
AR # Arabic,JA # Japanese,above,0.028402000665664673,0.33333333333333337
AR # Arabic,KO # Korean,above,0.028402000665664673,0.33333333333333337
AR # Arabic,LV # Latvian,above,0.08604700118303299,0.5714285714285714
AR # Arabic,PL # Polish,above,0.011222999542951584,0.18181818181818177
AR # Arabic,PS # Pashto,above,0.027876000851392746,0.33333333333333337
AR # Arabic,PT # Portuguese,above,0.005822000093758106,0.18181818181818177
AR # Arabic,RU # Russian,above,0.011222999542951584,0.18181818181818177
AR # Arabic,SQ # Albanian,above,0.019747000187635422,0.33333333333333337
AR # Arabic,SW # Swahili,above,0.011222999542951584,0.18181818181818177
AR # Arabic,TH # Thai,above,0.0,0.0
AR # Arabic,TR # Turkish,above,0.0,0.0
AR # Arabic,UR # Urdu,above,0.011222999542951584,0.18181818181818177
AR # Arabic,VI # Vietnamese,above,0.024740999564528465,0.33333333333333337
AR # Arabic,ZH # Mandarin,above,0.011222999542951584,0.18181818181818177
BN # Bengali,DE # German,above,0.019058000296354294,0.18181818181818177
BN # Bengali,ES # Spanish,above,0.019058000296354294,0.18181818181818177
BN # Bengali,FA # Persian,above,0.07509999722242355,0.46153846153846156
BN # Bengali,FR # French,above,0.09737399965524673,0.5714285714285714
BN # Bengali,GA # Irish,above,0.033167000859975815,0.33333333333333337
BN # Bengali,HE # Hebrew,above,0.014449000358581543,0.18181818181818177
BN # Bengali,HI # Hindi,above,0.016116999089717865,0.18181818181818177
BN # Bengali,IT # Italian,above,0.017673999071121216,0.18181818181818177
BN # Bengali,JA # Japanese,above,0.03934299945831299,0.33333333333333337
