Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
apple,Food Items,AR # Arabic,BN # Bengali,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,DE # German,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,AR # Arabic,ES # Spanish,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;new;juicy;ripe
apple,Food Items,AR # Arabic,FA # Persian,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,AR # Arabic,FR # French,0.01397115,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;new;soft;juicy
apple,Food Items,AR # Arabic,GA # Irish,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;new;ripe
apple,Food Items,AR # Arabic,HE # Hebrew,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,AR # Arabic,HI # Hindi,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,IT # Italian,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,AR # Arabic,JA # Japanese,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;new;ripe
apple,Food Items,AR # Arabic,KO # Korean,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,LV # Latvian,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,PL # Polish,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,PS # Pashto,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,AR # Arabic,PT # Portuguese,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,AR # Arabic,RU # Russian,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,SQ # Albanian,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,SW # Swahili,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,TH # Thai,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,TR # Turkish,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,AR # Arabic,UR # Urdu,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,VI # Vietnamese,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,AR # Arabic,ZH # Mandarin,0.039476514,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;soft;hard
apple,Food Items,BN # Bengali,DE # German,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,BN # Bengali,ES # Spanish,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;new;juicy;ripe
apple,Food Items,BN # Bengali,FA # Persian,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,BN # Bengali,FR # French,0.01397115,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;new;soft;juicy
apple,Food Items,BN # Bengali,GA # Irish,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;new;ripe
apple,Food Items,BN # Bengali,HE # Hebrew,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,BN # Bengali,HI # Hindi,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,BN # Bengali,IT # Italian,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,BN # Bengali,JA # Japanese,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;new;ripe
apple,Food Items,BN # Bengali,KO # Korean,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,BN # Bengali,LV # Latvian,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,BN # Bengali,PL # Polish,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,BN # Bengali,PS # Pashto,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,BN # Bengali,PT # Portuguese,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,BN # Bengali,RU # Russian,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,BN # Bengali,SQ # Albanian,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,BN # Bengali,SW # Swahili,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,BN # Bengali,TH # Thai,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
apple,Food Items,BN # Bengali,TR # Turkish,0.02042687,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;soft
apple,Food Items,BN # Bengali,UR # Urdu,0.0,red;green;big;small;sweet;fresh;round;juicy;ripe;new,red;green;big;small;sweet;fresh;round;juicy;ripe;new
