Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
book,Inanimate Objects,AR # Arabic,BN # Bengali,0.0,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;simple;long;short
book,Inanimate Objects,AR # Arabic,DE # German,0.031745315,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;long;short;famous;real;open
book,Inanimate Objects,AR # Arabic,ES # Spanish,0.017425656,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;long;short;real
book,Inanimate Objects,AR # Arabic,FA # Persian,0.0,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;simple;long;short
book,Inanimate Objects,AR # Arabic,FR # French,0.059767306,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;simple;true;real
book,Inanimate Objects,AR # Arabic,GA # Irish,0.039836645,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;long;short;simple;true;real
book,Inanimate Objects,AR # Arabic,HE # Hebrew,0.0,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;long;short;famous;simple
book,Inanimate Objects,AR # Arabic,HI # Hindi,0.028808415,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;bad;long;short;famous;true
book,Inanimate Objects,AR # Arabic,IT # Italian,0.0,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;simple;long;short
book,Inanimate Objects,AR # Arabic,JA # Japanese,0.0,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;simple;long;short
book,Inanimate Objects,AR # Arabic,KO # Korean,0.0,big;small;old;new;good;great;famous;simple;long;short,new;old;big;small;good;great;famous;simple;long;short
book,Inanimate Objects,AR # Arabic,LV # Latvian,0.016769588,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;famous;simple;long;short;real
book,Inanimate Objects,AR # Arabic,PL # Polish,0.016769588,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;long;short;famous;simple;real
book,Inanimate Objects,AR # Arabic,PS # Pashto,0.014246285,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;famous;simple;long;short;true
book,Inanimate Objects,AR # Arabic,PT # Portuguese,0.0,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;simple;long;short
book,Inanimate Objects,AR # Arabic,RU # Russian,0.017778814,big;small;old;new;good;great;famous;simple;long;short,old;new;big;small;good;great;famous;long;short;interesting
book,Inanimate Objects,AR # Arabic,SQ # Albanian,0.016769588,big;small;old;new;good;great;famous;simple;long;short,new;old;big;small;good;famous;simple;long;short;real
book,Inanimate Objects,AR # Arabic,SW # Swahili,0.039149225,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;long;short;famous;real;true
book,Inanimate Objects,AR # Arabic,TH # Thai,0.017778814,big;small;old;new;good;great;famous;simple;long;short,new;old;big;small;good;great;famous;long;short;interesting
book,Inanimate Objects,AR # Arabic,TR # Turkish,0.0,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;simple;long;short
book,Inanimate Objects,AR # Arabic,UR # Urdu,0.014246285,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;famous;simple;long;short;true
book,Inanimate Objects,AR # Arabic,VI # Vietnamese,0.0,big;small;old;new;good;great;famous;simple;long;short,old;new;big;small;good;great;famous;simple;long;short
book,Inanimate Objects,AR # Arabic,ZH # Mandarin,0.017425656,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;long;short;real
book,Inanimate Objects,BN # Bengali,DE # German,0.031745315,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;long;short;famous;real;open
book,Inanimate Objects,BN # Bengali,ES # Spanish,0.017425656,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;long;short;real
book,Inanimate Objects,BN # Bengali,FA # Persian,0.0,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;simple;long;short
book,Inanimate Objects,BN # Bengali,FR # French,0.059767306,big;small;old;new;good;great;famous;simple;long;short,big;small;old;new;good;great;famous;simple;true;real
