Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
cactus,Plants,AR # Arabic,BN # Bengali,0.014894962,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;sharp;wild
cactus,Plants,AR # Arabic,DE # German,0.017252326,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;thick;sharp
cactus,Plants,AR # Arabic,ES # Spanish,0.045833647,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;old;new;tall;short;round;real;dry
cactus,Plants,AR # Arabic,FA # Persian,0.017252326,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;thick;sharp;dry
cactus,Plants,AR # Arabic,FR # French,0.0807786,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;simple;real;true
cactus,Plants,AR # Arabic,GA # Irish,0.035720468,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;hard;sharp
cactus,Plants,AR # Arabic,HE # Hebrew,0.014894903,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;wild;sharp
cactus,Plants,AR # Arabic,HI # Hindi,0.014894903,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;old;new;tall;short;dry;sharp;wild
cactus,Plants,AR # Arabic,IT # Italian,0.014894903,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;old;new;tall;short;dry;sharp;wild
cactus,Plants,AR # Arabic,JA # Japanese,0.017252326,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;thick;dry;sharp
cactus,Plants,AR # Arabic,KO # Korean,0.04173416,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;round;sharp
cactus,Plants,AR # Arabic,LV # Latvian,0.01826197,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;wild;dry;simple
cactus,Plants,AR # Arabic,PL # Polish,0.014894903,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;wild;dry;sharp
cactus,Plants,AR # Arabic,PS # Pashto,0.017252326,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;thick;sharp
cactus,Plants,AR # Arabic,PT # Portuguese,0.037330925,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;old;new;tall;short;simple;dry;sharp
cactus,Plants,AR # Arabic,RU # Russian,0.014894962,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;sharp;wild
cactus,Plants,AR # Arabic,SQ # Albanian,0.014894903,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;wild;dry;sharp
cactus,Plants,AR # Arabic,SW # Swahili,0.017252326,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;thick;sharp
cactus,Plants,AR # Arabic,TH # Thai,0.0417341,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;sharp;round
cactus,Plants,AR # Arabic,TR # Turkish,0.014894903,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;wild;dry;sharp
cactus,Plants,AR # Arabic,UR # Urdu,0.014894903,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;wild;dry;sharp
cactus,Plants,AR # Arabic,VI # Vietnamese,0.014894962,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;tall;short;old;new;dry;sharp;wild
cactus,Plants,AR # Arabic,ZH # Mandarin,0.017252326,green;big;small;old;new;tall;short;dry;thick;wild,green;big;small;old;new;tall;short;dry;thick;sharp
cactus,Plants,BN # Bengali,DE # German,0.01804167,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;tall;short;old;new;dry;thick;sharp
cactus,Plants,BN # Bengali,ES # Spanish,0.03981483,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;old;new;tall;short;round;real;dry
cactus,Plants,BN # Bengali,FA # Persian,0.01804167,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;tall;short;old;new;thick;sharp;dry
cactus,Plants,BN # Bengali,FR # French,0.07774681,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;tall;short;old;new;simple;real;true
cactus,Plants,BN # Bengali,GA # Irish,0.020662904,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;tall;short;old;new;dry;hard;sharp
cactus,Plants,BN # Bengali,HE # Hebrew,0.0,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;tall;short;old;new;dry;wild;sharp
cactus,Plants,BN # Bengali,HI # Hindi,0.0,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;old;new;tall;short;dry;sharp;wild
cactus,Plants,BN # Bengali,IT # Italian,0.0,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;old;new;tall;short;dry;sharp;wild
cactus,Plants,BN # Bengali,JA # Japanese,0.01804167,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;tall;short;old;new;thick;dry;sharp
cactus,Plants,BN # Bengali,KO # Korean,0.0217067,green;big;small;tall;short;old;new;dry;sharp;wild,green;big;small;tall;short;old;new;dry;round;sharp
