Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
above,Spatial Concepts,AR # Arabic,BN # Bengali,0.033746958,high;open;real;true;new;close;far;big;small;clear,high;open;clear;new;real;true;big;small;wide;bright
above,Spatial Concepts,AR # Arabic,DE # German,0.029352665,high;open;real;true;new;close;far;big;small;clear,high;open;clear;new;real;true;big;small;quiet;wide
above,Spatial Concepts,AR # Arabic,ES # Spanish,0.017435849,high;open;real;true;new;close;far;big;small;clear,high;real;true;new;old;big;small;open;clear;far
above,Spatial Concepts,AR # Arabic,FA # Persian,0.017048419,high;open;real;true;new;close;far;big;small;clear,high;open;clear;new;real;true;big;close;far;bright
above,Spatial Concepts,AR # Arabic,FR # French,0.021146,high;open;real;true;new;close;far;big;small;clear,high;open;real;true;new;old;big;small;close;far
above,Spatial Concepts,AR # Arabic,GA # Irish,0.07123119,high;open;real;true;new;close;far;big;small;clear,high;open;clear;big;wide;bright;far;near;new;old
above,Spatial Concepts,AR # Arabic,HE # Hebrew,0.13735753,high;open;real;true;new;close;far;big;small;clear,high;open;clear;bright;blue;wide;far;big;empty;free
above,Spatial Concepts,AR # Arabic,HI # Hindi,0.105278194,high;open;real;true;new;close;far;big;small;clear,high;open;clear;bright;blue;wide;far;near;empty;big
above,Spatial Concepts,AR # Arabic,IT # Italian,0.13735753,high;open;real;true;new;close;far;big;small;clear,high;open;clear;bright;blue;wide;big;empty;free;far
above,Spatial Concepts,AR # Arabic,JA # Japanese,0.021146,high;open;real;true;new;close;far;big;small;clear,high;far;close;new;old;real;true;big;small;open
above,Spatial Concepts,AR # Arabic,KO # Korean,0.021146,high;open;real;true;new;close;far;big;small;clear,high;real;true;new;old;big;small;close;open;far
above,Spatial Concepts,AR # Arabic,LV # Latvian,0.13735753,high;open;real;true;new;close;far;big;small;clear,high;open;clear;bright;blue;wide;far;empty;big;free
