Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
city,Places,AR # Arabic,BN # Bengali,0.035653114,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;large;famous;beautiful;rich
city,Places,AR # Arabic,DE # German,0.0,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;quiet;rich;poor;famous
city,Places,AR # Arabic,ES # Spanish,0.054448366,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;clean;dirty;famous;important
city,Places,AR # Arabic,FA # Persian,0.035653114,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;famous;beautiful;large;rich
city,Places,AR # Arabic,FR # French,0.033146977,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;beautiful;famous;rich;important
city,Places,AR # Arabic,GA # Irish,0.047263086,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;quiet;famous;clean;dirty
city,Places,AR # Arabic,HE # Hebrew,0.019918978,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;famous;quiet;beautiful;rich
city,Places,AR # Arabic,HI # Hindi,0.03951043,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;clean;dirty;rich;famous
city,Places,AR # Arabic,IT # Italian,0.019918978,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;quiet;famous;rich;beautiful
city,Places,AR # Arabic,JA # Japanese,0.038152933,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;large;quiet;famous;beautiful
city,Places,AR # Arabic,KO # Korean,0.054349184,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;large;great;clean;famous
city,Places,AR # Arabic,LV # Latvian,0.038152874,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;quiet;famous;beautiful;large
city,Places,AR # Arabic,PL # Polish,0.0,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;quiet;famous;rich;poor
city,Places,AR # Arabic,PS # Pashto,0.03614223,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;famous;rich;clean;beautiful
city,Places,AR # Arabic,PT # Portuguese,0.0,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;quiet;rich;poor;famous
city,Places,AR # Arabic,RU # Russian,0.03614229,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;beautiful;famous;rich;clean
city,Places,AR # Arabic,SQ # Albanian,0.03614223,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;famous;rich;clean;beautiful
city,Places,AR # Arabic,SW # Swahili,0.03210348,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;large;famous;rich;clean
city,Places,AR # Arabic,TH # Thai,0.03614223,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;famous;rich;clean;beautiful
city,Places,AR # Arabic,TR # Turkish,0.03614229,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;famous;beautiful;rich;clean
city,Places,AR # Arabic,UR # Urdu,0.06017202,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;clean;dirty;famous;great
city,Places,AR # Arabic,VI # Vietnamese,0.035653114,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;large;famous;rich;beautiful
city,Places,AR # Arabic,ZH # Mandarin,0.03614229,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;rich;famous;clean;beautiful
city,Places,BN # Bengali,DE # German,0.035653114,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;quiet;rich;poor;famous
city,Places,BN # Bengali,ES # Spanish,0.057804644,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;clean;dirty;famous;important
city,Places,BN # Bengali,FA # Persian,-1.1920929e-07,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;famous;beautiful;large;rich
city,Places,BN # Bengali,FR # French,0.012912393,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;beautiful;famous;rich;important
city,Places,BN # Bengali,GA # Irish,0.06930846,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;busy;modern;quiet;famous;clean;dirty
city,Places,BN # Bengali,HE # Hebrew,0.017530382,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;busy;modern;famous;quiet;beautiful;rich
city,Places,BN # Bengali,HI # Hindi,0.044836044,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;busy;modern;clean;dirty;rich;famous
city,Places,BN # Bengali,IT # Italian,0.017530382,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;quiet;famous;rich;beautiful
city,Places,BN # Bengali,JA # Japanese,0.018410683,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;busy;modern;large;quiet;famous;beautiful
city,Places,BN # Bengali,KO # Korean,0.028016806,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;busy;modern;large;great;clean;famous
city,Places,BN # Bengali,LV # Latvian,0.018410683,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;quiet;famous;beautiful;large
city,Places,BN # Bengali,PL # Polish,0.035653114,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;busy;modern;quiet;famous;rich;poor
city,Places,BN # Bengali,PS # Pashto,0.018054783,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;famous;rich;clean;beautiful
city,Places,BN # Bengali,PT # Portuguese,0.035653114,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;busy;modern;quiet;rich;poor;famous
city,Places,BN # Bengali,RU # Russian,0.018054843,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;beautiful;famous;rich;clean
city,Places,BN # Bengali,SQ # Albanian,0.018054783,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;famous;rich;clean;beautiful
city,Places,BN # Bengali,SW # Swahili,0.017190814,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;busy;modern;large;famous;rich;clean
city,Places,BN # Bengali,TH # Thai,0.018054783,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;famous;rich;clean;beautiful
city,Places,BN # Bengali,TR # Turkish,0.018054783,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;famous;beautiful;rich;clean
city,Places,BN # Bengali,UR # Urdu,0.053707123,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;busy;modern;clean;dirty;famous;great
city,Places,BN # Bengali,VI # Vietnamese,-1.1920929e-07,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;large;famous;rich;beautiful
city,Places,BN # Bengali,ZH # Mandarin,0.018054843,big;small;old;new;busy;modern;large;famous;beautiful;rich,big;small;old;new;modern;busy;rich;famous;clean;beautiful
city,Places,DE # German,ES # Spanish,0.054448366,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;clean;dirty;famous;important
city,Places,DE # German,FA # Persian,0.035653114,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;famous;beautiful;large;rich
city,Places,DE # German,FR # French,0.033146977,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;beautiful;famous;rich;important
city,Places,DE # German,GA # Irish,0.047263086,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;quiet;famous;clean;dirty
city,Places,DE # German,HE # Hebrew,0.019918978,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;famous;quiet;beautiful;rich
city,Places,DE # German,HI # Hindi,0.03951043,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;clean;dirty;rich;famous
city,Places,DE # German,IT # Italian,0.019918978,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;quiet;famous;rich;beautiful
city,Places,DE # German,JA # Japanese,0.038152933,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;large;quiet;famous;beautiful
city,Places,DE # German,KO # Korean,0.054349184,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;large;great;clean;famous
city,Places,DE # German,LV # Latvian,0.038152874,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;quiet;famous;beautiful;large
city,Places,DE # German,PL # Polish,0.0,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;quiet;famous;rich;poor
city,Places,DE # German,PS # Pashto,0.03614223,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;modern;busy;famous;rich;clean;beautiful
city,Places,DE # German,PT # Portuguese,0.0,big;small;old;new;modern;busy;quiet;rich;poor;famous,big;small;old;new;busy;modern;quiet;rich;poor;famous
