Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
ally,Social Relationships,AR # Arabic,BN # Bengali,0.007363558,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;close;loyal;old;new;trusted;helpful
ally,Social Relationships,AR # Arabic,DE # German,0.033209443,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;close;loyal;big;small
ally,Social Relationships,AR # Arabic,ES # Spanish,0.013345718,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;loyal;close;important;friendly
ally,Social Relationships,AR # Arabic,FA # Persian,-1.1920929e-07,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;loyal;close;important;trusted
ally,Social Relationships,AR # Arabic,FR # French,0.013345718,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;close;loyal;important;friendly
ally,Social Relationships,AR # Arabic,GA # Irish,0.029791236,good;strong;true;real;old;new;loyal;close;important;trusted,good;true;real;strong;old;new;close;loyal;friendly;great
ally,Social Relationships,AR # Arabic,HE # Hebrew,0.029791236,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;close;loyal;friendly;great
ally,Social Relationships,AR # Arabic,HI # Hindi,0.015874684,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;loyal;close;trusted;friendly
ally,Social Relationships,AR # Arabic,IT # Italian,0.013345718,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;close;loyal;old;new;important;friendly
ally,Social Relationships,AR # Arabic,JA # Japanese,0.018051445,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;loyal;close;old;new;trusted;important;friendly
ally,Social Relationships,AR # Arabic,KO # Korean,0.029791236,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;close;loyal;friendly;great
ally,Social Relationships,AR # Arabic,LV # Latvian,0.013345718,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;close;loyal;friendly;important
ally,Social Relationships,AR # Arabic,PL # Polish,0.013345718,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;loyal;close;important;friendly
ally,Social Relationships,AR # Arabic,PS # Pashto,-1.1920929e-07,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;loyal;close;important;trusted
ally,Social Relationships,AR # Arabic,PT # Portuguese,0.029791236,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;close;loyal;friendly;great
ally,Social Relationships,AR # Arabic,RU # Russian,0.013345718,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;loyal;close;important;friendly
ally,Social Relationships,AR # Arabic,SQ # Albanian,0.013345718,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;loyal;close;important;friendly
ally,Social Relationships,AR # Arabic,SW # Swahili,-1.1920929e-07,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;loyal;close;trusted;important
ally,Social Relationships,AR # Arabic,TH # Thai,0.0,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;close;loyal;trusted;important
ally,Social Relationships,AR # Arabic,TR # Turkish,0.013345718,good;strong;true;real;old;new;loyal;close;important;trusted,strong;good;true;real;close;loyal;old;new;friendly;important
ally,Social Relationships,AR # Arabic,UR # Urdu,0.029791236,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;old;new;loyal;close;friendly;great
ally,Social Relationships,AR # Arabic,VI # Vietnamese,-1.1920929e-07,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;close;loyal;old;new;important;trusted
ally,Social Relationships,AR # Arabic,ZH # Mandarin,0.013345718,good;strong;true;real;old;new;loyal;close;important;trusted,good;strong;true;real;close;loyal;old;new;friendly;important
