Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
century,Time Concepts,AR # Arabic,BN # Bengali,0.01120007,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;past;present;long;short;great;modern
century,Time Concepts,AR # Arabic,DE # German,0.03401214,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;long;short;great;big;small;modern
century,Time Concepts,AR # Arabic,ES # Spanish,0.009103596,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;past;present;long;short;important;great
century,Time Concepts,AR # Arabic,FA # Persian,-1.1920929e-07,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;past;great;long;short;important;modern
century,Time Concepts,AR # Arabic,FR # French,0.043505847,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;great;long;short;important;real;true
century,Time Concepts,AR # Arabic,GA # Irish,0.085614264,new;old;last;past;next;great;long;short;modern;important,old;new;long;short;big;small;real;true;great;modern
century,Time Concepts,AR # Arabic,HE # Hebrew,0.05346781,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;great;long;short;real;true;big
century,Time Concepts,AR # Arabic,HI # Hindi,0.085614204,new;old;last;past;next;great;long;short;modern;important,new;old;long;short;big;small;real;true;great;modern
century,Time Concepts,AR # Arabic,IT # Italian,0.014055371,new;old;last;past;next;great;long;short;modern;important,new;old;last;past;next;long;short;great;important;real
century,Time Concepts,AR # Arabic,JA # Japanese,-1.1920929e-07,new;old;last;past;next;great;long;short;modern;important,new;old;last;past;next;great;long;short;important;modern
century,Time Concepts,AR # Arabic,KO # Korean,0.029588878,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;great;long;short;big;small;past
century,Time Concepts,AR # Arabic,LV # Latvian,0.0,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;past;long;short;great;important;modern
century,Time Concepts,AR # Arabic,PL # Polish,0.009103596,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;long;short;great;important;past;present
century,Time Concepts,AR # Arabic,PS # Pashto,0.009103596,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;great;long;short;important;past;present
century,Time Concepts,AR # Arabic,PT # Portuguese,0.03401214,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;great;long;short;big;small;modern
century,Time Concepts,AR # Arabic,RU # Russian,0.014055371,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;past;long;short;great;important;real
century,Time Concepts,AR # Arabic,SQ # Albanian,-1.1920929e-07,new;old;last;past;next;great;long;short;modern;important,new;old;last;past;next;great;long;short;important;modern
century,Time Concepts,AR # Arabic,SW # Swahili,0.013798237,new;old;last;past;next;great;long;short;modern;important,new;old;last;past;next;great;long;important;modern;big
century,Time Concepts,AR # Arabic,TH # Thai,-1.1920929e-07,new;old;last;past;next;great;long;short;modern;important,new;old;last;past;next;great;long;short;important;modern
century,Time Concepts,AR # Arabic,TR # Turkish,0.01120007,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;great;long;short;modern;past;present
century,Time Concepts,AR # Arabic,UR # Urdu,0.029588878,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;great;long;short;big;small;past
century,Time Concepts,AR # Arabic,VI # Vietnamese,-1.1920929e-07,new;old;last;past;next;great;long;short;modern;important,new;old;last;past;next;great;long;short;important;modern
century,Time Concepts,AR # Arabic,ZH # Mandarin,-1.1920929e-07,new;old;last;past;next;great;long;short;modern;important,new;old;last;next;past;great;long;short;important;modern
century,Time Concepts,BN # Bengali,DE # German,0.04160601,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;long;short;great;big;small;modern
century,Time Concepts,BN # Bengali,ES # Spanish,0.010811031,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;past;present;long;short;important;great
century,Time Concepts,BN # Bengali,FA # Persian,0.01120007,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;past;great;long;short;important;modern
century,Time Concepts,BN # Bengali,FR # French,0.059640467,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;great;long;short;important;real;true
century,Time Concepts,BN # Bengali,GA # Irish,0.094700634,new;old;last;next;past;present;long;short;great;modern,old;new;long;short;big;small;real;true;great;modern
century,Time Concepts,BN # Bengali,HE # Hebrew,0.06068343,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;great;long;short;real;true;big
century,Time Concepts,BN # Bengali,HI # Hindi,0.094700575,new;old;last;next;past;present;long;short;great;modern,new;old;long;short;big;small;real;true;great;modern
century,Time Concepts,BN # Bengali,IT # Italian,0.026502192,new;old;last;next;past;present;long;short;great;modern,new;old;last;past;next;long;short;great;important;real
century,Time Concepts,BN # Bengali,JA # Japanese,0.01120007,new;old;last;next;past;present;long;short;great;modern,new;old;last;past;next;great;long;short;important;modern
century,Time Concepts,BN # Bengali,KO # Korean,0.035802186,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;great;long;short;big;small;past
century,Time Concepts,BN # Bengali,LV # Latvian,0.01120019,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;past;long;short;great;important;modern
century,Time Concepts,BN # Bengali,PL # Polish,0.010811031,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;long;short;great;important;past;present
century,Time Concepts,BN # Bengali,PS # Pashto,0.010811031,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;great;long;short;important;past;present
century,Time Concepts,BN # Bengali,PT # Portuguese,0.04160601,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;great;long;short;big;small;modern
century,Time Concepts,BN # Bengali,RU # Russian,0.02650237,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;past;long;short;great;important;real
century,Time Concepts,BN # Bengali,SQ # Albanian,0.01120007,new;old;last;next;past;present;long;short;great;modern,new;old;last;past;next;great;long;short;important;modern
century,Time Concepts,BN # Bengali,SW # Swahili,0.025277317,new;old;last;next;past;present;long;short;great;modern,new;old;last;past;next;great;long;important;modern;big
century,Time Concepts,BN # Bengali,TH # Thai,0.01120007,new;old;last;next;past;present;long;short;great;modern,new;old;last;past;next;great;long;short;important;modern
century,Time Concepts,BN # Bengali,TR # Turkish,1.1920929e-07,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;great;long;short;modern;past;present
century,Time Concepts,BN # Bengali,UR # Urdu,0.035802186,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;great;long;short;big;small;past
century,Time Concepts,BN # Bengali,VI # Vietnamese,0.01120007,new;old;last;next;past;present;long;short;great;modern,new;old;last;past;next;great;long;short;important;modern
century,Time Concepts,BN # Bengali,ZH # Mandarin,0.01120007,new;old;last;next;past;present;long;short;great;modern,new;old;last;next;past;great;long;short;important;modern
century,Time Concepts,DE # German,ES # Spanish,0.045704544,new;old;last;next;long;short;great;big;small;modern,new;old;last;next;past;present;long;short;important;great
century,Time Concepts,DE # German,FA # Persian,0.03401214,new;old;last;next;long;short;great;big;small;modern,new;old;last;next;past;great;long;short;important;modern
century,Time Concepts,DE # German,FR # French,0.06357902,new;old;last;next;long;short;great;big;small;modern,new;old;last;next;great;long;short;important;real;true
century,Time Concepts,DE # German,GA # Irish,0.05420214,new;old;last;next;long;short;great;big;small;modern,old;new;long;short;big;small;real;true;great;modern
century,Time Concepts,DE # German,HE # Hebrew,0.044696987,new;old;last;next;long;short;great;big;small;modern,new;old;last;next;great;long;short;real;true;big
