Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
bell,Cultural Artifacts,AR # Arabic,BN # Bengali,0.036953926,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;heavy;church;round
bell,Cultural Artifacts,AR # Arabic,DE # German,0.020723045,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;clear;church;round
bell,Cultural Artifacts,AR # Arabic,ES # Spanish,0.06224644,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;golden;silver;loud;heavy;round;metal;church
bell,Cultural Artifacts,AR # Arabic,FA # Persian,0.0622465,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;golden;silver;loud;church;heavy;round;metal
bell,Cultural Artifacts,AR # Arabic,FR # French,0.036953926,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;heavy;church;round
bell,Cultural Artifacts,AR # Arabic,GA # Irish,0.036953926,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;loud;golden;silver;heavy;church;round
bell,Cultural Artifacts,AR # Arabic,HE # Hebrew,0.0594126,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;quiet;heavy;round
bell,Cultural Artifacts,AR # Arabic,HI # Hindi,0.04475844,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;clear;heavy;round
bell,Cultural Artifacts,AR # Arabic,IT # Italian,0.036953926,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;heavy;church;round
bell,Cultural Artifacts,AR # Arabic,JA # Japanese,0.022088766,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;clear;church;heavy
bell,Cultural Artifacts,AR # Arabic,KO # Korean,0.036953926,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;heavy;church;round
bell,Cultural Artifacts,AR # Arabic,LV # Latvian,0.022088766,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;clear;church;heavy
bell,Cultural Artifacts,AR # Arabic,PL # Polish,0.036953926,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;church;heavy;round
bell,Cultural Artifacts,AR # Arabic,PS # Pashto,0.036953926,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;heavy;church;round
bell,Cultural Artifacts,AR # Arabic,PT # Portuguese,0.04475844,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;clear;heavy;round
bell,Cultural Artifacts,AR # Arabic,RU # Russian,0.0622465,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;golden;silver;loud;heavy;church;round;metal
bell,Cultural Artifacts,AR # Arabic,SQ # Albanian,0.0622465,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;golden;silver;loud;heavy;church;round;metal
bell,Cultural Artifacts,AR # Arabic,SW # Swahili,0.0,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;clear;church;school
bell,Cultural Artifacts,AR # Arabic,TH # Thai,0.04475844,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;clear;heavy;round
bell,Cultural Artifacts,AR # Arabic,TR # Turkish,0.0650295,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;golden;silver;loud;church;heavy;large;round
bell,Cultural Artifacts,AR # Arabic,UR # Urdu,0.09152597,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;golden;silver;loud;heavy;round;large;metal
bell,Cultural Artifacts,AR # Arabic,VI # Vietnamese,0.022088766,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;new;golden;silver;loud;clear;church;heavy
bell,Cultural Artifacts,AR # Arabic,ZH # Mandarin,0.06224644,big;small;old;new;golden;silver;loud;clear;church;school,big;small;old;golden;silver;loud;heavy;round;metal;church
bell,Cultural Artifacts,BN # Bengali,DE # German,0.020615995,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;clear;church;round
bell,Cultural Artifacts,BN # Bengali,ES # Spanish,0.01965648,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;golden;silver;loud;heavy;round;metal;church
bell,Cultural Artifacts,BN # Bengali,FA # Persian,0.019656599,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;golden;silver;loud;church;heavy;round;metal
bell,Cultural Artifacts,BN # Bengali,FR # French,0.0,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;heavy;church;round
bell,Cultural Artifacts,BN # Bengali,GA # Irish,0.0,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;loud;golden;silver;heavy;church;round
bell,Cultural Artifacts,BN # Bengali,HE # Hebrew,0.023772657,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;quiet;heavy;round
bell,Cultural Artifacts,BN # Bengali,HI # Hindi,0.023834705,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;clear;heavy;round
bell,Cultural Artifacts,BN # Bengali,IT # Italian,0.0,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;heavy;church;round
bell,Cultural Artifacts,BN # Bengali,JA # Japanese,0.019701838,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;clear;church;heavy
bell,Cultural Artifacts,BN # Bengali,KO # Korean,0.0,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;heavy;church;round
bell,Cultural Artifacts,BN # Bengali,LV # Latvian,0.019701838,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;clear;church;heavy
bell,Cultural Artifacts,BN # Bengali,PL # Polish,0.0,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;church;heavy;round
bell,Cultural Artifacts,BN # Bengali,PS # Pashto,0.0,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;heavy;church;round
bell,Cultural Artifacts,BN # Bengali,PT # Portuguese,0.023834705,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;new;golden;silver;loud;clear;heavy;round
bell,Cultural Artifacts,BN # Bengali,RU # Russian,0.019656599,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;golden;silver;loud;heavy;church;round;metal
bell,Cultural Artifacts,BN # Bengali,SQ # Albanian,0.019656599,big;small;old;new;golden;silver;loud;heavy;church;round,big;small;old;golden;silver;loud;heavy;church;round;metal
