Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
ally,Social Relationships,AR # Arabic,BN # Bengali,0.012330413,strong;good;true;loyal;old;new;close;important;trusted;powerful,strong;good;loyal;true;close;old;new;trusted;important;helpful
ally,Social Relationships,AR # Arabic,DE # German,0.017098248,strong;good;true;loyal;old;new;close;important;trusted;powerful,strong;good;true;loyal;old;new;close;trusted;important;friendly
ally,Social Relationships,AR # Arabic,ES # Spanish,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;loyal;old;new;close;important;powerful;trusted
ally,Social Relationships,AR # Arabic,FA # Persian,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,close;strong;good;old;new;loyal;true;trusted;important;powerful
ally,Social Relationships,AR # Arabic,FR # French,0.01570785,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;real;old;new;close;loyal;important;trusted
ally,Social Relationships,AR # Arabic,GA # Irish,0.025407612,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;real;old;new;close;loyal;great;trusted
ally,Social Relationships,AR # Arabic,HE # Hebrew,0.04273671,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;real;old;new;close;loyal;great;friendly
ally,Social Relationships,AR # Arabic,HI # Hindi,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;loyal;old;new;close;trusted;important;powerful
ally,Social Relationships,AR # Arabic,IT # Italian,0.01570785,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;loyal;old;new;close;important;trusted;real
ally,Social Relationships,AR # Arabic,JA # Japanese,0.024078488,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;real;close;old;new;loyal;main;trusted
ally,Social Relationships,AR # Arabic,KO # Korean,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,strong;good;close;loyal;true;old;new;important;powerful;trusted
ally,Social Relationships,AR # Arabic,LV # Latvian,0.009030938,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;loyal;old;new;close;important;main;trusted
ally,Social Relationships,AR # Arabic,PL # Polish,0.017098248,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;close;loyal;old;new;important;trusted;friendly
ally,Social Relationships,AR # Arabic,PS # Pashto,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,strong;good;true;old;new;loyal;close;important;powerful;trusted
ally,Social Relationships,AR # Arabic,PT # Portuguese,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;loyal;old;new;close;important;trusted;powerful
ally,Social Relationships,AR # Arabic,RU # Russian,0.024759889,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;real;old;new;loyal;close;important;helpful
ally,Social Relationships,AR # Arabic,SQ # Albanian,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,strong;good;true;loyal;close;old;new;trusted;important;powerful
ally,Social Relationships,AR # Arabic,SW # Swahili,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;loyal;old;new;close;important;trusted;powerful
ally,Social Relationships,AR # Arabic,TH # Thai,0.015707612,strong;good;true;loyal;old;new;close;important;trusted;powerful,good;strong;true;real;close;old;new;loyal;trusted;important
ally,Social Relationships,AR # Arabic,TR # Turkish,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,strong;good;old;new;close;loyal;important;powerful;trusted;true
ally,Social Relationships,AR # Arabic,UR # Urdu,-1.1920929e-07,strong;good;true;loyal;old;new;close;important;trusted;powerful,strong;good;loyal;true;old;new;close;trusted;important;powerful
