Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
above,Spatial Concepts,AR # Arabic,BN # Bengali,0.04878521,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;far;sunny;free
above,Spatial Concepts,AR # Arabic,DE # German,0.04878521,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;wide;bright;empty;blue;far;free;sunny
above,Spatial Concepts,AR # Arabic,ES # Spanish,0.041701257,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;clear;open;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,AR # Arabic,FA # Persian,0.041701257,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,AR # Arabic,FR # French,0.04878521,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;free;far;sunny
above,Spatial Concepts,AR # Arabic,GA # Irish,0.023207009,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;far;free;quiet
above,Spatial Concepts,AR # Arabic,HE # Hebrew,0.023207009,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;wide;bright;empty;blue;far;free;quiet
above,Spatial Concepts,AR # Arabic,HI # Hindi,0.04878521,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;wide;bright;empty;blue;free;far;sunny
above,Spatial Concepts,AR # Arabic,IT # Italian,0.041701257,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,AR # Arabic,JA # Japanese,0.04878521,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;wide;bright;empty;blue;far;free;sunny
above,Spatial Concepts,AR # Arabic,KO # Korean,0.04878521,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;sunny;free;far
above,Spatial Concepts,AR # Arabic,LV # Latvian,0.041701257,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;wide;empty;bright;blue;sunny;free;quiet
above,Spatial Concepts,AR # Arabic,PL # Polish,0.020177066,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;far;sunny;quiet
above,Spatial Concepts,AR # Arabic,PS # Pashto,0.041701257,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,AR # Arabic,PT # Portuguese,0.041701257,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;clear;open;bright;blue;wide;empty;free;quiet;sunny
above,Spatial Concepts,AR # Arabic,RU # Russian,0.09009868,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;real;true;open;wide;clear;bright;big;small;close
above,Spatial Concepts,AR # Arabic,SQ # Albanian,0.041701257,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,AR # Arabic,SW # Swahili,0.041701257,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;clear;open;bright;blue;wide;empty;quiet;sunny;free
above,Spatial Concepts,AR # Arabic,TH # Thai,0.041630924,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;wide;blue;empty;big;free;far
above,Spatial Concepts,AR # Arabic,TR # Turkish,0.046452522,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;wide;empty;bright;blue;free;upper;distant
above,Spatial Concepts,AR # Arabic,UR # Urdu,0.037468433,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;wide;bright;empty;blue;free;great;quiet
above,Spatial Concepts,AR # Arabic,VI # Vietnamese,0.041701257,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;free;quiet;sunny
above,Spatial Concepts,AR # Arabic,ZH # Mandarin,0.06787348,high;clear;open;bright;blue;wide;empty;far;close;quiet,high;open;clear;bright;blue;wide;empty;free;sunny;light
above,Spatial Concepts,BN # Bengali,DE # German,0.0,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;wide;bright;empty;blue;far;free;sunny
above,Spatial Concepts,BN # Bengali,ES # Spanish,0.016289651,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;clear;open;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,BN # Bengali,FA # Persian,0.016289651,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,BN # Bengali,FR # French,0.0,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;bright;blue;wide;empty;free;far;sunny
above,Spatial Concepts,BN # Bengali,GA # Irish,0.022182167,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;bright;blue;wide;empty;far;free;quiet
above,Spatial Concepts,BN # Bengali,HE # Hebrew,0.022182167,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;wide;bright;empty;blue;far;free;quiet
above,Spatial Concepts,BN # Bengali,HI # Hindi,5.9604645e-08,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;wide;bright;empty;blue;free;far;sunny
above,Spatial Concepts,BN # Bengali,IT # Italian,0.016289651,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,BN # Bengali,JA # Japanese,0.0,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;wide;bright;empty;blue;far;free;sunny
above,Spatial Concepts,BN # Bengali,KO # Korean,0.0,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;bright;blue;wide;empty;sunny;free;far
above,Spatial Concepts,BN # Bengali,LV # Latvian,0.016289651,high;open;clear;bright;blue;wide;empty;far;sunny;free,high;open;clear;wide;empty;bright;blue;sunny;free;quiet
