Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
cloud,Environmental Phenomena,AR # Arabic,BN # Bengali,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;thick;heavy;light;gray;fluffy;black
cloud,Environmental Phenomena,AR # Arabic,DE # German,0.0030082464,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;grey;heavy;thick;light;fluffy
cloud,Environmental Phenomena,AR # Arabic,ES # Spanish,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;gray;heavy;light;thick;fluffy;black
cloud,Environmental Phenomena,AR # Arabic,FA # Persian,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;gray;heavy;light;thick;fluffy
cloud,Environmental Phenomena,AR # Arabic,FR # French,0.0030082464,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;grey;thick;light;heavy;fluffy
cloud,Environmental Phenomena,AR # Arabic,GA # Irish,0.017666161,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;grey;heavy;thick;light;low
cloud,Environmental Phenomena,AR # Arabic,HE # Hebrew,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;gray;heavy;thick;light;black;fluffy
cloud,Environmental Phenomena,AR # Arabic,HI # Hindi,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;black;big;small;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,AR # Arabic,IT # Italian,0.0,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;gray;thick;heavy;light;fluffy
cloud,Environmental Phenomena,AR # Arabic,JA # Japanese,0.009416997,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;black;gray;thick;heavy;light;fluffy;low
cloud,Environmental Phenomena,AR # Arabic,KO # Korean,0.0,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;gray;thick;heavy;light;fluffy
cloud,Environmental Phenomena,AR # Arabic,LV # Latvian,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,AR # Arabic,PL # Polish,0.017974734,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;black;gray;fluffy;thick;heavy;light;stormy
cloud,Environmental Phenomena,AR # Arabic,PS # Pashto,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;thick;heavy;light;gray;black;fluffy
cloud,Environmental Phenomena,AR # Arabic,PT # Portuguese,0.009416938,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;black;gray;thick;fluffy;heavy;light;low
cloud,Environmental Phenomena,AR # Arabic,RU # Russian,0.015772402,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;heavy;thick;light;gray;low
cloud,Environmental Phenomena,AR # Arabic,SQ # Albanian,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;thick;heavy;light;gray;black;fluffy
cloud,Environmental Phenomena,AR # Arabic,SW # Swahili,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;gray;heavy;light;thick;fluffy
cloud,Environmental Phenomena,AR # Arabic,TH # Thai,0.009417057,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;black;thick;heavy;light;gray;fluffy;low
cloud,Environmental Phenomena,AR # Arabic,TR # Turkish,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,AR # Arabic,UR # Urdu,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;thick;heavy;light;gray;fluffy;black
cloud,Environmental Phenomena,AR # Arabic,VI # Vietnamese,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,AR # Arabic,ZH # Mandarin,5.9604645e-08,white;dark;big;small;gray;thick;heavy;light;black;fluffy,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,BN # Bengali,DE # German,0.0030082464,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;grey;heavy;thick;light;fluffy
cloud,Environmental Phenomena,BN # Bengali,ES # Spanish,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;gray;heavy;light;thick;fluffy;black
cloud,Environmental Phenomena,BN # Bengali,FA # Persian,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;gray;heavy;light;thick;fluffy
cloud,Environmental Phenomena,BN # Bengali,FR # French,0.0030082464,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;grey;thick;light;heavy;fluffy
cloud,Environmental Phenomena,BN # Bengali,GA # Irish,0.01766622,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;grey;heavy;thick;light;low
cloud,Environmental Phenomena,BN # Bengali,HE # Hebrew,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;gray;heavy;thick;light;black;fluffy
cloud,Environmental Phenomena,BN # Bengali,HI # Hindi,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;black;big;small;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,BN # Bengali,IT # Italian,0.0,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;gray;thick;heavy;light;fluffy
cloud,Environmental Phenomena,BN # Bengali,JA # Japanese,0.009416938,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;black;gray;thick;heavy;light;fluffy;low
cloud,Environmental Phenomena,BN # Bengali,KO # Korean,0.0,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;gray;thick;heavy;light;fluffy
cloud,Environmental Phenomena,BN # Bengali,LV # Latvian,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,BN # Bengali,PL # Polish,0.017974734,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;black;gray;fluffy;thick;heavy;light;stormy
cloud,Environmental Phenomena,BN # Bengali,PS # Pashto,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;thick;heavy;light;gray;black;fluffy
cloud,Environmental Phenomena,BN # Bengali,PT # Portuguese,0.009416938,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;black;gray;thick;fluffy;heavy;light;low
cloud,Environmental Phenomena,BN # Bengali,RU # Russian,0.015772402,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;heavy;thick;light;gray;low
cloud,Environmental Phenomena,BN # Bengali,SQ # Albanian,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;thick;heavy;light;gray;black;fluffy
cloud,Environmental Phenomena,BN # Bengali,SW # Swahili,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;gray;heavy;light;thick;fluffy
cloud,Environmental Phenomena,BN # Bengali,TH # Thai,0.009416997,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;black;thick;heavy;light;gray;fluffy;low
cloud,Environmental Phenomena,BN # Bengali,TR # Turkish,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,BN # Bengali,UR # Urdu,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;thick;heavy;light;gray;fluffy;black
cloud,Environmental Phenomena,BN # Bengali,VI # Vietnamese,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,BN # Bengali,ZH # Mandarin,5.9604645e-08,white;dark;big;small;thick;heavy;light;gray;fluffy;black,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,DE # German,ES # Spanish,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;gray;heavy;light;thick;fluffy;black
cloud,Environmental Phenomena,DE # German,FA # Persian,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;gray;heavy;light;thick;fluffy
cloud,Environmental Phenomena,DE # German,FR # French,0.0,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;grey;thick;light;heavy;fluffy
cloud,Environmental Phenomena,DE # German,GA # Irish,0.015742958,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;grey;heavy;thick;light;low
cloud,Environmental Phenomena,DE # German,HE # Hebrew,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;gray;heavy;thick;light;black;fluffy
cloud,Environmental Phenomena,DE # German,HI # Hindi,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;black;big;small;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,DE # German,IT # Italian,0.0030081868,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;gray;thick;heavy;light;fluffy
cloud,Environmental Phenomena,DE # German,JA # Japanese,0.012438238,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;black;gray;thick;heavy;light;fluffy;low
cloud,Environmental Phenomena,DE # German,KO # Korean,0.0030081868,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;gray;thick;heavy;light;fluffy
cloud,Environmental Phenomena,DE # German,LV # Latvian,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,DE # German,PL # Polish,0.020373583,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;black;gray;fluffy;thick;heavy;light;stormy
cloud,Environmental Phenomena,DE # German,PS # Pashto,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;thick;heavy;light;gray;black;fluffy
cloud,Environmental Phenomena,DE # German,PT # Portuguese,0.012438238,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;black;gray;thick;fluffy;heavy;light;low
cloud,Environmental Phenomena,DE # German,RU # Russian,0.019849122,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;heavy;thick;light;gray;low
cloud,Environmental Phenomena,DE # German,SQ # Albanian,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;thick;heavy;light;gray;black;fluffy
cloud,Environmental Phenomena,DE # German,SW # Swahili,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;gray;heavy;light;thick;fluffy
cloud,Environmental Phenomena,DE # German,TH # Thai,0.012438297,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;black;thick;heavy;light;gray;fluffy;low
cloud,Environmental Phenomena,DE # German,TR # Turkish,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,DE # German,UR # Urdu,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;thick;heavy;light;gray;fluffy;black
cloud,Environmental Phenomena,DE # German,VI # Vietnamese,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,DE # German,ZH # Mandarin,0.0030082464,white;dark;big;small;black;grey;heavy;thick;light;fluffy,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,ES # Spanish,FA # Persian,5.9604645e-08,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;big;small;black;gray;heavy;light;thick;fluffy
cloud,Environmental Phenomena,ES # Spanish,FR # French,0.0030082464,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;big;small;black;grey;thick;light;heavy;fluffy
cloud,Environmental Phenomena,ES # Spanish,GA # Irish,0.01766622,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;big;small;black;grey;heavy;thick;light;low
cloud,Environmental Phenomena,ES # Spanish,HE # Hebrew,5.9604645e-08,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;big;small;gray;heavy;thick;light;black;fluffy
cloud,Environmental Phenomena,ES # Spanish,HI # Hindi,5.9604645e-08,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;black;big;small;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,ES # Spanish,IT # Italian,0.0,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;big;small;black;gray;thick;heavy;light;fluffy
cloud,Environmental Phenomena,ES # Spanish,JA # Japanese,0.009416938,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;big;black;gray;thick;heavy;light;fluffy;low
cloud,Environmental Phenomena,ES # Spanish,KO # Korean,0.0,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;big;small;black;gray;thick;heavy;light;fluffy
cloud,Environmental Phenomena,ES # Spanish,LV # Latvian,5.9604645e-08,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;big;small;black;thick;heavy;light;gray;fluffy
cloud,Environmental Phenomena,ES # Spanish,PL # Polish,0.017974734,white;dark;big;small;gray;heavy;light;thick;fluffy;black,white;dark;big;black;gray;fluffy;thick;heavy;light;stormy
