Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
book,Inanimate Objects,AR # Arabic,BN # Bengali,0.012261689,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;great;famous;big;small;thick;thin;interesting
book,Inanimate Objects,AR # Arabic,DE # German,0.008975446,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;big;small;famous;interesting;thick;thin;favorite
book,Inanimate Objects,AR # Arabic,ES # Spanish,0.008975446,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;big;small;famous;interesting;good;thick;thin;favorite
book,Inanimate Objects,AR # Arabic,FA # Persian,0.0,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;big;small;famous;interesting;good;thick;thin;popular
book,Inanimate Objects,AR # Arabic,FR # French,0.0,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;big;small;famous;interesting;good;thick;thin;popular
book,Inanimate Objects,AR # Arabic,GA # Irish,0.011060059,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;big;small;good;famous;great;thick;thin;popular
book,Inanimate Objects,AR # Arabic,HE # Hebrew,0.047323287,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;great;famous;big;small;interesting;popular;classic
book,Inanimate Objects,AR # Arabic,HI # Hindi,0.012261689,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;great;famous;big;small;interesting;thick;thin
book,Inanimate Objects,AR # Arabic,IT # Italian,0.009826422,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;big;small;famous;interesting;good;classic;thick;thin
book,Inanimate Objects,AR # Arabic,JA # Japanese,0.012261689,old;new;big;small;famous;interesting;good;thick;thin;popular,new;old;good;great;famous;interesting;big;small;thick;thin
book,Inanimate Objects,AR # Arabic,KO # Korean,0.011060059,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;great;famous;big;small;thick;thin;popular
book,Inanimate Objects,AR # Arabic,LV # Latvian,0.009826422,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;big;small;famous;interesting;thick;thin;classic
book,Inanimate Objects,AR # Arabic,PL # Polish,0.009826422,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;big;small;famous;interesting;good;thick;thin;classic
book,Inanimate Objects,AR # Arabic,PS # Pashto,0.009826422,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;big;small;famous;interesting;thick;thin;classic
book,Inanimate Objects,AR # Arabic,PT # Portuguese,0.02911836,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;great;famous;big;small;interesting;favorite;thick
book,Inanimate Objects,AR # Arabic,RU # Russian,0.0,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;big;small;famous;interesting;good;thick;thin;popular
book,Inanimate Objects,AR # Arabic,SQ # Albanian,0.035314143,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;great;famous;interesting;thick;thin;classic;popular
book,Inanimate Objects,AR # Arabic,SW # Swahili,0.031495214,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;big;small;famous;good;interesting;long;short;thick
book,Inanimate Objects,AR # Arabic,TH # Thai,0.012261689,old;new;big;small;famous;interesting;good;thick;thin;popular,new;old;good;great;famous;big;small;interesting;thick;thin
book,Inanimate Objects,AR # Arabic,TR # Turkish,0.009826362,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;famous;big;small;interesting;thick;thin;classic
book,Inanimate Objects,AR # Arabic,UR # Urdu,0.008975446,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;big;small;famous;interesting;thick;thin;favorite
book,Inanimate Objects,AR # Arabic,VI # Vietnamese,0.012261689,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;great;famous;interesting;thick;thin;small;big
book,Inanimate Objects,AR # Arabic,ZH # Mandarin,0.012261689,old;new;big;small;famous;interesting;good;thick;thin;popular,old;new;good;great;famous;big;small;interesting;thick;thin
book,Inanimate Objects,BN # Bengali,DE # German,0.012251437,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;good;big;small;famous;interesting;thick;thin;favorite
book,Inanimate Objects,BN # Bengali,ES # Spanish,0.012251496,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;big;small;famous;interesting;good;thick;thin;favorite
book,Inanimate Objects,BN # Bengali,FA # Persian,0.012261689,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;big;small;famous;interesting;good;thick;thin;popular
book,Inanimate Objects,BN # Bengali,FR # French,0.012261689,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;big;small;famous;interesting;good;thick;thin;popular
book,Inanimate Objects,BN # Bengali,GA # Irish,0.011179805,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;big;small;good;famous;great;thick;thin;popular
book,Inanimate Objects,BN # Bengali,HE # Hebrew,0.042661965,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;good;great;famous;big;small;interesting;popular;classic
book,Inanimate Objects,BN # Bengali,HI # Hindi,0.0,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;good;great;famous;big;small;interesting;thick;thin
book,Inanimate Objects,BN # Bengali,IT # Italian,0.01278156,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;big;small;famous;interesting;good;classic;thick;thin
book,Inanimate Objects,BN # Bengali,JA # Japanese,1.1920929e-07,old;new;good;great;famous;big;small;thick;thin;interesting,new;old;good;great;famous;interesting;big;small;thick;thin
book,Inanimate Objects,BN # Bengali,KO # Korean,0.011179805,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;good;great;famous;big;small;thick;thin;popular
book,Inanimate Objects,BN # Bengali,LV # Latvian,0.01278156,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;good;big;small;famous;interesting;thick;thin;classic
book,Inanimate Objects,BN # Bengali,PL # Polish,0.01278156,old;new;good;great;famous;big;small;thick;thin;interesting,old;new;big;small;famous;interesting;good;thick;thin;classic
