Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
cat,Neutral Animals,AR # Arabic,BN # Bengali,5.9604645e-08,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;cute;young;old;lazy;wild;friendly
cat,Neutral Animals,AR # Arabic,DE # German,0.012980044,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;old;young;wild;stray;cute;lazy
cat,Neutral Animals,AR # Arabic,ES # Spanish,0.018538296,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;young;old;wild;domestic;cute;lazy
cat,Neutral Animals,AR # Arabic,FA # Persian,5.9604645e-08,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;young;old;cute;lazy;wild;friendly
cat,Neutral Animals,AR # Arabic,FR # French,0.0710578,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;old;young;wild;domestic;grey;orange
cat,Neutral Animals,AR # Arabic,GA # Irish,0.047029138,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;old;young;wild;domestic;grey;lazy
cat,Neutral Animals,AR # Arabic,HE # Hebrew,5.9604645e-08,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;young;old;cute;wild;lazy;friendly
cat,Neutral Animals,AR # Arabic,HI # Hindi,0.018538296,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;old;young;wild;domestic;cute;lazy
cat,Neutral Animals,AR # Arabic,IT # Italian,0.018538296,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;young;old;wild;domestic;cute;lazy
cat,Neutral Animals,AR # Arabic,JA # Japanese,0.029414892,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;old;young;cute;stray;wild;domestic
cat,Neutral Animals,AR # Arabic,KO # Korean,5.9604645e-08,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;young;old;cute;lazy;wild;friendly
cat,Neutral Animals,AR # Arabic,LV # Latvian,0.030010104,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;old;young;wild;domestic;lazy;playful
cat,Neutral Animals,AR # Arabic,PL # Polish,0.026072502,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;old;young;lazy;playful;stray;wild
cat,Neutral Animals,AR # Arabic,PS # Pashto,5.9604645e-08,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;young;old;cute;wild;lazy;friendly
cat,Neutral Animals,AR # Arabic,PT # Portuguese,0.018538177,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;old;young;wild;domestic;lazy;cute
cat,Neutral Animals,AR # Arabic,RU # Russian,0.018538177,black;white;small;big;young;old;cute;wild;lazy;friendly,black;white;small;big;old;young;wild;domestic;lazy;cute
