Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
cactus,Plants,AR # Arabic,BN # Bengali,0.067984104,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;desert;dry;sharp;thick;spiny
cactus,Plants,AR # Arabic,DE # German,0.06880897,green;big;small;tall;short;wild;old;new;dry;spiky,green;big;small;tall;wild;desert;old;young;round;spiny
cactus,Plants,AR # Arabic,ES # Spanish,0.011387408,green;big;small;tall;short;wild;old;new;dry;spiky,green;big;small;tall;short;wild;old;new;dry;round
cactus,Plants,AR # Arabic,FA # Persian,0.011387408,green;big;small;tall;short;wild;old;new;dry;spiky,green;big;small;tall;short;wild;old;new;dry;round
cactus,Plants,AR # Arabic,FR # French,0.045271933,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;desert;round;old;new;sharp
cactus,Plants,AR # Arabic,GA # Irish,0.026601613,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;old;new;dry;round;sharp
cactus,Plants,AR # Arabic,HE # Hebrew,0.026601613,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;old;new;dry;sharp;round
cactus,Plants,AR # Arabic,HI # Hindi,0.040903687,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;old;young;dry;round;sharp
cactus,Plants,AR # Arabic,IT # Italian,0.044837654,green;big;small;tall;short;wild;old;new;dry;spiky,green;big;small;tall;wild;desert;round;old;young;dry
cactus,Plants,AR # Arabic,JA # Japanese,0.04510486,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;big;small;wild;desert;spiny;dry;old;young
cactus,Plants,AR # Arabic,KO # Korean,0.026961446,green;big;small;tall;short;wild;old;new;dry;spiky,green;small;big;tall;short;wild;desert;old;new;round
cactus,Plants,AR # Arabic,LV # Latvian,0.04046786,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;desert;old;young;dry;sharp
cactus,Plants,AR # Arabic,PL # Polish,0.045104742,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;desert;spiny;dry;old;young
cactus,Plants,AR # Arabic,PS # Pashto,0.07735515,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;desert;dry;sharp;round;spiny
cactus,Plants,AR # Arabic,PT # Portuguese,0.04510486,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;big;small;wild;desert;spiny;dry;old;young
cactus,Plants,AR # Arabic,RU # Russian,0.040903687,green;big;small;tall;short;wild;old;new;dry;spiky,green;big;small;tall;old;young;wild;dry;round;sharp
cactus,Plants,AR # Arabic,SQ # Albanian,0.04510486,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;desert;dry;spiny;old;young
cactus,Plants,AR # Arabic,SW # Swahili,0.040903687,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;dry;sharp;round;old;young
cactus,Plants,AR # Arabic,TH # Thai,0.06880897,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;big;small;wild;desert;round;spiny;old;young
cactus,Plants,AR # Arabic,TR # Turkish,0.06949639,green;big;small;tall;short;wild;old;new;dry;spiky,green;tall;small;big;wild;dry;round;sharp;desert;thick
