Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
apple,Food Items,AR # Arabic,BN # Bengali,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp
apple,Food Items,AR # Arabic,DE # German,0.015765011,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;yellow
apple,Food Items,AR # Arabic,ES # Spanish,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;round;crisp
apple,Food Items,AR # Arabic,FA # Persian,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;crisp;round
apple,Food Items,AR # Arabic,FR # French,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,AR # Arabic,GA # Irish,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,AR # Arabic,HE # Hebrew,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp
apple,Food Items,AR # Arabic,HI # Hindi,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;round;crisp
apple,Food Items,AR # Arabic,IT # Italian,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,AR # Arabic,JA # Japanese,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;crisp;round
apple,Food Items,AR # Arabic,KO # Korean,0.015408337,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;juicy;ripe;crisp;sour
apple,Food Items,AR # Arabic,LV # Latvian,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,AR # Arabic,PL # Polish,0.015765011,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;yellow
apple,Food Items,AR # Arabic,PS # Pashto,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,AR # Arabic,PT # Portuguese,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;crisp;round
apple,Food Items,AR # Arabic,RU # Russian,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,AR # Arabic,SQ # Albanian,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp
apple,Food Items,AR # Arabic,SW # Swahili,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,AR # Arabic,TH # Thai,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp
apple,Food Items,AR # Arabic,TR # Turkish,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;fresh;sweet;juicy;ripe;round;crisp
apple,Food Items,AR # Arabic,UR # Urdu,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;fresh;sweet;juicy;ripe;round;crisp
apple,Food Items,AR # Arabic,VI # Vietnamese,0.0154082775,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;crisp;sour
apple,Food Items,AR # Arabic,ZH # Mandarin,0.0,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp
apple,Food Items,BN # Bengali,DE # German,0.015765011,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;yellow
apple,Food Items,BN # Bengali,ES # Spanish,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;round;crisp
apple,Food Items,BN # Bengali,FA # Persian,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;crisp;round
apple,Food Items,BN # Bengali,FR # French,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,BN # Bengali,GA # Irish,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,BN # Bengali,HE # Hebrew,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;juicy;ripe;round;crisp
apple,Food Items,BN # Bengali,HI # Hindi,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;round;crisp
apple,Food Items,BN # Bengali,IT # Italian,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,BN # Bengali,JA # Japanese,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;crisp;round
apple,Food Items,BN # Bengali,KO # Korean,0.0154082775,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;juicy;ripe;crisp;sour
apple,Food Items,BN # Bengali,LV # Latvian,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,BN # Bengali,PL # Polish,0.015765011,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;yellow
apple,Food Items,BN # Bengali,PS # Pashto,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
apple,Food Items,BN # Bengali,PT # Portuguese,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;fresh;sweet;big;small;juicy;ripe;crisp;round
apple,Food Items,BN # Bengali,RU # Russian,0.0,red;green;big;small;fresh;sweet;ripe;juicy;round;crisp,red;green;big;small;sweet;fresh;ripe;juicy;round;crisp
