Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
artist,Human Roles,AR # Arabic,BN # Bengali,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;great;talented;modern;creative;new;local;skilled
artist,Human Roles,AR # Arabic,DE # German,0.012500346,famous;young;old;great;talented;modern;creative;new;local;skilled,great;famous;young;old;modern;talented;creative;new;local;popular
artist,Human Roles,AR # Arabic,ES # Spanish,0.012500405,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;great;talented;modern;creative;new;local;popular
artist,Human Roles,AR # Arabic,FA # Persian,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;talented;great;modern;creative;local;new;skilled
artist,Human Roles,AR # Arabic,FR # French,0.009353995,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;great;talented;modern;creative;new;local;successful
artist,Human Roles,AR # Arabic,GA # Irish,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;skilled,great;famous;young;old;new;modern;talented;creative;local;skilled
artist,Human Roles,AR # Arabic,HE # Hebrew,0.012500405,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;great;modern;talented;new;creative;local;popular
artist,Human Roles,AR # Arabic,HI # Hindi,0.0124928355,famous;young;old;great;talented;modern;creative;new;local;skilled,great;famous;young;old;talented;creative;modern;new;skilled;popular
artist,Human Roles,AR # Arabic,IT # Italian,0.012500405,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;great;young;old;talented;modern;creative;new;local;popular
artist,Human Roles,AR # Arabic,JA # Japanese,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;talented;great;modern;creative;new;old;local;skilled
artist,Human Roles,AR # Arabic,KO # Korean,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;talented;great;modern;creative;local;new;skilled
artist,Human Roles,AR # Arabic,LV # Latvian,0.009353995,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;great;talented;modern;creative;new;local;successful
artist,Human Roles,AR # Arabic,PL # Polish,0.012500405,famous;young;old;great;talented;modern;creative;new;local;skilled,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,AR # Arabic,PS # Pashto,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;young;old;great;talented;modern;creative;local;new;skilled
artist,Human Roles,AR # Arabic,PT # Portuguese,0.012492776,famous;young;old;great;talented;modern;creative;new;local;skilled,famous;great;young;old;talented;creative;modern;new;skilled;popular
artist,Human Roles,AR # Arabic,RU # Russian,0.012500405,famous;young;old;great;talented;modern;creative;new;local;skilled,young;famous;great;modern;talented;old;new;creative;local;popular
