Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
city,Places,AR # Arabic,BN # Bengali,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,AR # Arabic,DE # German,5.9604645e-08,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,AR # Arabic,ES # Spanish,0.0,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,AR # Arabic,FA # Persian,0.012251198,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;crowded;beautiful;famous
city,Places,AR # Arabic,FR # French,5.9604645e-08,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,AR # Arabic,GA # Irish,0.01798457,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;quiet;famous;large
city,Places,AR # Arabic,HE # Hebrew,-1.1920929e-07,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,AR # Arabic,HI # Hindi,0.0,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,AR # Arabic,IT # Italian,0.0,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;beautiful;large;famous
city,Places,AR # Arabic,JA # Japanese,-1.1920929e-07,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,AR # Arabic,KO # Korean,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,AR # Arabic,LV # Latvian,-1.1920929e-07,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,AR # Arabic,PL # Polish,0.013979793,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;famous;rich;beautiful
city,Places,AR # Arabic,PS # Pashto,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,AR # Arabic,PT # Portuguese,-1.1920929e-07,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,AR # Arabic,RU # Russian,0.0,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;large;busy;famous;beautiful;ancient
city,Places,AR # Arabic,SQ # Albanian,0.0,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,AR # Arabic,SW # Swahili,0.013979852,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;rich;famous
city,Places,AR # Arabic,TH # Thai,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;large;busy;beautiful;famous;crowded
city,Places,AR # Arabic,TR # Turkish,5.9604645e-08,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,AR # Arabic,UR # Urdu,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;famous;large;beautiful;crowded
city,Places,AR # Arabic,VI # Vietnamese,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,AR # Arabic,ZH # Mandarin,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,BN # Bengali,DE # German,0.018764436,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,BN # Bengali,ES # Spanish,0.018764377,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,BN # Bengali,FA # Persian,0.01495862,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;crowded;beautiful;famous
city,Places,BN # Bengali,FR # French,0.018764436,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,BN # Bengali,GA # Irish,0.03571111,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;quiet;famous;large
city,Places,BN # Bengali,HE # Hebrew,0.018764377,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,BN # Bengali,HI # Hindi,0.018764377,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,BN # Bengali,IT # Italian,0.018764436,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;beautiful;large;famous
city,Places,BN # Bengali,JA # Japanese,0.018764377,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,BN # Bengali,KO # Korean,-1.1920929e-07,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,BN # Bengali,LV # Latvian,0.018764377,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,BN # Bengali,PL # Polish,0.017438829,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;busy;large;famous;rich;beautiful
city,Places,BN # Bengali,PS # Pashto,-1.1920929e-07,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,BN # Bengali,PT # Portuguese,0.018764377,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,BN # Bengali,RU # Russian,0.018764436,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;large;busy;famous;beautiful;ancient
city,Places,BN # Bengali,SQ # Albanian,0.018764377,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,BN # Bengali,SW # Swahili,0.01743877,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;busy;large;beautiful;rich;famous
city,Places,BN # Bengali,TH # Thai,0.0,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;large;busy;beautiful;famous;crowded
city,Places,BN # Bengali,TR # Turkish,0.018764436,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,BN # Bengali,UR # Urdu,0.0,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;busy;famous;large;beautiful;crowded
city,Places,BN # Bengali,VI # Vietnamese,-1.1920929e-07,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,BN # Bengali,ZH # Mandarin,-1.1920929e-07,big;small;old;new;modern;busy;large;beautiful;famous;crowded,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,DE # German,ES # Spanish,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,DE # German,FA # Persian,0.012251258,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;crowded;beautiful;famous
city,Places,DE # German,FR # French,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,DE # German,GA # Irish,0.017984629,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;quiet;famous;large
city,Places,DE # German,HE # Hebrew,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,DE # German,HI # Hindi,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,DE # German,IT # Italian,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;beautiful;large;famous
city,Places,DE # German,JA # Japanese,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,DE # German,KO # Korean,0.018764436,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,DE # German,LV # Latvian,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,DE # German,PL # Polish,0.013979912,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;busy;large;famous;rich;beautiful
city,Places,DE # German,PS # Pashto,0.018764436,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,DE # German,PT # Portuguese,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,DE # German,RU # Russian,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;large;busy;famous;beautiful;ancient
city,Places,DE # German,SQ # Albanian,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,DE # German,SW # Swahili,0.013979912,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;busy;large;beautiful;rich;famous
city,Places,DE # German,TH # Thai,0.018764436,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;large;busy;beautiful;famous;crowded
city,Places,DE # German,TR # Turkish,5.9604645e-08,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,DE # German,UR # Urdu,0.018764436,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;busy;famous;large;beautiful;crowded
city,Places,DE # German,VI # Vietnamese,0.018764436,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,DE # German,ZH # Mandarin,0.018764436,big;small;old;new;modern;ancient;busy;famous;beautiful;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,ES # Spanish,FA # Persian,0.012251198,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;crowded;beautiful;famous
city,Places,ES # Spanish,FR # French,5.9604645e-08,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,ES # Spanish,GA # Irish,0.01798457,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;quiet;famous;large
city,Places,ES # Spanish,HE # Hebrew,-1.1920929e-07,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,ES # Spanish,HI # Hindi,0.0,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,ES # Spanish,IT # Italian,0.0,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;beautiful;large;famous
city,Places,ES # Spanish,JA # Japanese,-1.1920929e-07,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,ES # Spanish,KO # Korean,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,ES # Spanish,LV # Latvian,-1.1920929e-07,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,ES # Spanish,PL # Polish,0.013979793,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;famous;rich;beautiful
city,Places,ES # Spanish,PS # Pashto,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,ES # Spanish,PT # Portuguese,-1.1920929e-07,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,ES # Spanish,RU # Russian,0.0,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;large;busy;famous;beautiful;ancient
city,Places,ES # Spanish,SQ # Albanian,0.0,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,ES # Spanish,SW # Swahili,0.013979852,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;rich;famous
city,Places,ES # Spanish,TH # Thai,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;large;busy;beautiful;famous;crowded
city,Places,ES # Spanish,TR # Turkish,5.9604645e-08,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,ES # Spanish,UR # Urdu,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;famous;large;beautiful;crowded
city,Places,ES # Spanish,VI # Vietnamese,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,ES # Spanish,ZH # Mandarin,0.018764377,big;small;old;new;modern;ancient;busy;beautiful;famous;large,big;small;old;new;modern;busy;large;beautiful;famous;crowded
city,Places,FA # Persian,FR # French,0.012251258,big;small;old;new;modern;ancient;busy;crowded;beautiful;famous,big;small;old;new;modern;ancient;busy;famous;beautiful;large
city,Places,FA # Persian,GA # Irish,0.029362977,big;small;old;new;modern;ancient;busy;crowded;beautiful;famous,big;small;old;new;modern;ancient;busy;quiet;famous;large
city,Places,FA # Persian,HE # Hebrew,0.012251198,big;small;old;new;modern;ancient;busy;crowded;beautiful;famous,big;small;old;new;modern;ancient;busy;large;beautiful;famous
city,Places,FA # Persian,HI # Hindi,0.012251198,big;small;old;new;modern;ancient;busy;crowded;beautiful;famous,big;small;old;new;modern;ancient;busy;beautiful;famous;large
city,Places,FA # Persian,IT # Italian,0.012251258,big;small;old;new;modern;ancient;busy;crowded;beautiful;famous,big;small;old;new;modern;ancient;busy;beautiful;large;famous
