Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
cactus,Plants,AR # Arabic,BN # Bengali,0.06347036,green;big;small;tall;short;wild;desert;round;spiny;dry,green;big;small;tall;short;wild;old;new;dry;sharp
cactus,Plants,AR # Arabic,DE # German,0.045097232,green;big;small;tall;short;wild;desert;round;spiny;dry,big;small;green;tall;short;wild;old;new;dry;round
cactus,Plants,AR # Arabic,ES # Spanish,0.05593759,green;big;small;tall;short;wild;desert;round;spiny;dry,green;big;small;tall;wild;old;young;dry;round;sharp
cactus,Plants,AR # Arabic,FA # Persian,0.015196264,green;big;small;tall;short;wild;desert;round;spiny;dry,green;tall;small;big;round;wild;desert;spiny;dry;thick
cactus,Plants,AR # Arabic,FR # French,0.045097232,green;big;small;tall;short;wild;desert;round;spiny;dry,green;big;small;tall;short;wild;old;new;dry;round
cactus,Plants,AR # Arabic,GA # Irish,0.06347036,green;big;small;tall;short;wild;desert;round;spiny;dry,big;small;green;tall;short;wild;old;new;dry;sharp
cactus,Plants,AR # Arabic,HE # Hebrew,0.045097232,green;big;small;tall;short;wild;desert;round;spiny;dry,green;big;small;tall;short;wild;old;new;round;dry
cactus,Plants,AR # Arabic,HI # Hindi,0.045097232,green;big;small;tall;short;wild;desert;round;spiny;dry,green;big;small;tall;short;wild;old;new;dry;round
cactus,Plants,AR # Arabic,IT # Italian,0.045097232,green;big;small;tall;short;wild;desert;round;spiny;dry,green;big;small;tall;short;wild;old;new;dry;round
cactus,Plants,AR # Arabic,JA # Japanese,0.056225955,green;big;small;tall;short;wild;desert;round;spiny;dry,green;tall;small;big;round;wild;desert;old;new;sharp
cactus,Plants,AR # Arabic,KO # Korean,0.045657754,green;big;small;tall;short;wild;desert;round;spiny;dry,green;tall;small;big;wild;desert;old;new;round;spiny
cactus,Plants,AR # Arabic,LV # Latvian,0.059396088,green;big;small;tall;short;wild;desert;round;spiny;dry,green;big;small;tall;short;old;new;wild;dry;spiky
cactus,Plants,AR # Arabic,PL # Polish,0.06347036,green;big;small;tall;short;wild;desert;round;spiny;dry,green;big;small;tall;short;old;new;wild;dry;sharp
