Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
ally,Social Relationships,AR # Arabic,BN # Bengali,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;true;close;old;new;trusted;powerful;important
ally,Social Relationships,AR # Arabic,DE # German,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;good;old;new;loyal;close;true;powerful;trusted;important
ally,Social Relationships,AR # Arabic,ES # Spanish,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;close;true;old;new;powerful;trusted;important
ally,Social Relationships,AR # Arabic,FA # Persian,0.008861423,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;close;good;powerful;trusted;important;main;old;new
ally,Social Relationships,AR # Arabic,FR # French,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;true;old;new;close;powerful;trusted;important
ally,Social Relationships,AR # Arabic,GA # Irish,0.01833713,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,good;strong;true;loyal;old;new;close;trusted;powerful;faithful
ally,Social Relationships,AR # Arabic,HE # Hebrew,1.1920929e-07,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;old;new;close;trusted;important;powerful;reliable
ally,Social Relationships,AR # Arabic,HI # Hindi,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;good;loyal;true;close;old;new;trusted;important;powerful
ally,Social Relationships,AR # Arabic,IT # Italian,2.3841858e-07,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;close;old;new;trusted;important;powerful;reliable
ally,Social Relationships,AR # Arabic,JA # Japanese,1.1920929e-07,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;close;old;new;powerful;trusted;important;reliable
ally,Social Relationships,AR # Arabic,KO # Korean,0.0,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;close;old;new;trusted;powerful;important;reliable
ally,Social Relationships,AR # Arabic,LV # Latvian,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;true;close;old;new;powerful;trusted;important
ally,Social Relationships,AR # Arabic,PL # Polish,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,close;strong;good;old;new;loyal;true;trusted;important;powerful
ally,Social Relationships,AR # Arabic,PS # Pashto,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;true;close;old;new;trusted;important;powerful
ally,Social Relationships,AR # Arabic,PT # Portuguese,0.0,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;old;new;close;trusted;powerful;important;reliable
ally,Social Relationships,AR # Arabic,RU # Russian,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;good;loyal;old;new;close;true;powerful;trusted;important
ally,Social Relationships,AR # Arabic,SQ # Albanian,2.3841858e-07,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;close;old;new;trusted;important;powerful;reliable
ally,Social Relationships,AR # Arabic,SW # Swahili,0.013225615,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;good;true;loyal;close;old;new;trusted;important;reliable
ally,Social Relationships,AR # Arabic,TH # Thai,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;good;loyal;close;true;old;new;trusted;powerful;important
ally,Social Relationships,AR # Arabic,TR # Turkish,2.3841858e-07,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;close;old;new;trusted;important;powerful;reliable
ally,Social Relationships,AR # Arabic,UR # Urdu,0.013225615,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;true;close;old;new;trusted;important;reliable
ally,Social Relationships,AR # Arabic,VI # Vietnamese,0.0,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;close;old;new;trusted;powerful;important;reliable
ally,Social Relationships,AR # Arabic,ZH # Mandarin,0.009905934,strong;loyal;close;good;old;new;trusted;important;powerful;reliable,strong;loyal;good;close;old;new;trusted;important;powerful;true
ally,Social Relationships,BN # Bengali,DE # German,-1.1920929e-07,strong;loyal;good;true;close;old;new;trusted;powerful;important,strong;good;old;new;loyal;close;true;powerful;trusted;important
ally,Social Relationships,BN # Bengali,ES # Spanish,-1.1920929e-07,strong;loyal;good;true;close;old;new;trusted;powerful;important,strong;loyal;good;close;true;old;new;powerful;trusted;important
ally,Social Relationships,BN # Bengali,FA # Persian,0.00971663,strong;loyal;good;true;close;old;new;trusted;powerful;important,strong;loyal;close;good;powerful;trusted;important;main;old;new
ally,Social Relationships,BN # Bengali,FR # French,-1.1920929e-07,strong;loyal;good;true;close;old;new;trusted;powerful;important,strong;loyal;good;true;old;new;close;powerful;trusted;important
