Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
above,Spatial Concepts,AR # Arabic,BN # Bengali,0.010537386,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;open;clear;bright;blue;empty;wide;sunny;free;endless
above,Spatial Concepts,AR # Arabic,DE # German,0.011223197,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;open;clear;bright;blue;wide;empty;free;quiet;sunny
above,Spatial Concepts,AR # Arabic,ES # Spanish,0.011223316,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;empty;wide;free;sunny;quiet
above,Spatial Concepts,AR # Arabic,FA # Persian,0.060052574,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;far;close;near;open;clear;empty;bright;blue;wide
above,Spatial Concepts,AR # Arabic,FR # French,0.086046934,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;far;close;near;open;empty;clear;bright;wide;distant
above,Spatial Concepts,AR # Arabic,GA # Irish,0.022944868,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;wide;empty;free;far;distant
above,Spatial Concepts,AR # Arabic,HE # Hebrew,0.024703383,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;empty;wide;free;far;endless
above,Spatial Concepts,AR # Arabic,HI # Hindi,0.0072484612,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;open;clear;bright;blue;wide;empty;sunny;free;distant
above,Spatial Concepts,AR # Arabic,IT # Italian,0.005822301,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;empty;wide;free;far;sunny
above,Spatial Concepts,AR # Arabic,JA # Japanese,0.02840221,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;empty;wide;sunny;dark;distant
above,Spatial Concepts,AR # Arabic,KO # Korean,0.02840221,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;empty;wide;sunny;dark;distant
above,Spatial Concepts,AR # Arabic,LV # Latvian,0.086046934,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;far;close;near;open;clear;bright;empty;wide;distant
above,Spatial Concepts,AR # Arabic,PL # Polish,0.011223197,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;wide;empty;quiet;sunny;free
above,Spatial Concepts,AR # Arabic,PS # Pashto,0.027876377,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;wide;empty;far;sunny;quiet
above,Spatial Concepts,AR # Arabic,PT # Portuguese,0.005822301,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;empty;wide;free;far;sunny
above,Spatial Concepts,AR # Arabic,RU # Russian,0.011223197,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;open;clear;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,AR # Arabic,SQ # Albanian,0.019747257,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;open;clear;empty;wide;bright;blue;free;distant;upper
above,Spatial Concepts,AR # Arabic,SW # Swahili,0.011223197,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;open;clear;bright;blue;wide;empty;free;sunny;quiet
above,Spatial Concepts,AR # Arabic,TH # Thai,0.0,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;open;clear;bright;blue;wide;empty;free;sunny;vast
above,Spatial Concepts,AR # Arabic,TR # Turkish,0.0,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;open;clear;bright;blue;wide;empty;free;sunny;vast
above,Spatial Concepts,AR # Arabic,UR # Urdu,0.011223316,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;empty;wide;free;sunny;quiet
above,Spatial Concepts,AR # Arabic,VI # Vietnamese,0.024741173,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;clear;open;bright;blue;empty;wide;far;distant;sunny
above,Spatial Concepts,AR # Arabic,ZH # Mandarin,0.011223316,high;clear;open;bright;blue;empty;wide;free;sunny;vast,high;open;clear;wide;bright;empty;blue;sunny;free;quiet
above,Spatial Concepts,BN # Bengali,DE # German,0.01905781,high;open;clear;bright;blue;empty;wide;sunny;free;endless,high;open;clear;bright;blue;wide;empty;free;quiet;sunny
