Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
century,Time Concepts,AR # Arabic,BN # Bengali,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,DE # German,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;great;long;short;modern
century,Time Concepts,AR # Arabic,ES # Spanish,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,FA # Persian,0.05437118,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;early;late;modern;golden
century,Time Concepts,AR # Arabic,FR # French,0.010811031,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;great;long;short;important
century,Time Concepts,AR # Arabic,GA # Irish,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;great;long;short;modern
century,Time Concepts,AR # Arabic,HE # Hebrew,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,HI # Hindi,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,IT # Italian,0.04041356,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;early;late;great;modern
century,Time Concepts,AR # Arabic,JA # Japanese,0.016260386,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;great;long;modern;golden
century,Time Concepts,AR # Arabic,KO # Korean,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;great;long;short;modern
century,Time Concepts,AR # Arabic,LV # Latvian,0.04041356,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;early;late;great;modern
century,Time Concepts,AR # Arabic,PL # Polish,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,PS # Pashto,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,PT # Portuguese,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,last;new;old;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,RU # Russian,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;great;long;short;modern
century,Time Concepts,AR # Arabic,SQ # Albanian,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,last;new;old;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,SW # Swahili,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,TH # Thai,0.010810912,new;old;last;past;present;next;great;long;short;modern,last;new;old;past;present;next;great;long;short;important
century,Time Concepts,AR # Arabic,TR # Turkish,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,last;new;old;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,UR # Urdu,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;great;long;short;modern
century,Time Concepts,AR # Arabic,VI # Vietnamese,0.040413678,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;early;late;modern;great
century,Time Concepts,AR # Arabic,ZH # Mandarin,0.010811031,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;long;short;great;important
century,Time Concepts,BN # Bengali,DE # German,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;great;long;short;modern
century,Time Concepts,BN # Bengali,ES # Spanish,1.1920929e-07,new;old;last;past;present;next;great;long;short;modern,new;old;last;past;present;next;great;long;short;modern
century,Time Concepts,BN # Bengali,FA # Persian,0.05437118,new;old;last;past;present;next;great;long;short;modern,new;old;last;next;past;present;early;late;modern;golden
