NounCategory,CosineDistance_mean,CosineDistance_min,CosineDistance_max,CosineDistance_count,CosineDistance_std,JaccardDistance_mean,JaccardDistance_min,JaccardDistance_max,JaccardDistance_count,JaccardDistance_std,CosineDistance_percentile,JaccardDistance_percentile,combined_uniqueness_score
Spatial Concepts,0.059252608458498855,0.0,0.25540798902511597,3312,0.04526262308093177,0.38477539774960917,0.0,0.8888888888888888,3312,0.19871200014615686,100.0,100.0,100.0
Human Roles,0.027189592059078206,0.0,0.1207680031657219,3312,0.019745305516647185,0.2764573138214443,0.0,0.75,3312,0.14564877404113527,31.990759150288127,55.54790542487319,43.76933228758066
Places,0.028563268436759073,0.0,0.11998999863862991,3312,0.019921698555916086,0.2635102417711114,0.0,0.6666666666666667,3312,0.1420656481593451,34.904480256732306,50.234623926706554,42.56955209171943
Time Concepts,0.02694964253087972,0.0,0.15060299634933472,3312,0.024905102839357655,0.23490526683461466,0.0,0.75,3312,0.16979044330818308,31.481799386436332,38.49557717584675,34.98868828114154
Neutral Animals,0.021915677563771437,0.0,0.09960400313138962,3312,0.017784112833032707,0.23236264540612364,0.0,0.6666666666666667,3312,0.14695458430962763,20.804197141774615,37.45212400432478,29.128160573049698
Plants,0.0256617476161596,0.0,0.16460900008678436,3312,0.02370165486744654,0.21280617708047375,0.0,0.8235294117647058,3312,0.16877559730869224,28.75003034907581,29.426446776284198,29.088238562680004
Inanimate Objects,0.02216908815824195,0.0,0.1562580019235611,3312,0.019853278390422453,0.2064390923086575,0.0,0.75,3312,0.14294345013273285,21.34170933147381,26.813492002893568,24.077600667183688
Social Relationships,0.020118493645842693,0.0,0.09668000042438507,3312,0.016633386968727727,0.21525692503953373,0.0,0.6666666666666667,3312,0.1446007246189255,16.99216921517401,30.432196472966254,23.71218284407013
Cultural Artifacts,0.02062800115015154,0.0,0.10490299761295319,3312,0.016374514954692113,0.20318318959623305,0.0,0.6666666666666667,3312,0.1408843282368705,18.072891569665337,25.477319038496525,21.77510530408093
Abstract Concepts,0.02064011295888766,0.0,0.1227630004286766,3312,0.020097812727956504,0.1957176780546346,0.0,0.75,3312,0.1705658887110485,18.098582069498512,22.4135866213046,20.256084345401554
Food Items,0.01712054049596604,0.0,0.10070499777793884,3312,0.01674410481380668,0.16640444901314466,0.0,0.5714285714285714,3312,0.1359077762661549,10.633175560734255,10.38388315536423,10.508529358049243
Environmental Phenomena,0.012107520528059933,0.0,0.06821999698877335,3312,0.012568330030223101,0.14110165197121716,0.0,0.46153846153846156,3312,0.12759770595087122,0.0,0.0,0.0
