NounCategory,CosineDistance_mean,CosineDistance_min,CosineDistance_max,CosineDistance_count,CosineDistance_std,JaccardDistance_mean,JaccardDistance_min,JaccardDistance_max,JaccardDistance_count,JaccardDistance_std,CosineDistance_percentile,JaccardDistance_percentile,combined_uniqueness_score
Spatial Concepts,0.059811520938672376,0.0,0.21737700700759888,3312,0.03883268595078795,0.42004601816515713,0.0,0.8888888888888888,3312,0.19689256006451886,100.0,100.0,100.0
Abstract Concepts,0.028226307717628064,0.0,0.16308200359344482,3312,0.024572250725801284,0.2533411133954612,0.0,0.75,3312,0.17646118605933325,27.5868416657531,34.61586340775302,31.10135253675306
Time Concepts,0.027283044936156683,0.0,0.11532600224018097,3312,0.024314136357934796,0.23121383447470403,0.0,0.6666666666666667,3312,0.17373773661863356,25.42429057998174,25.937216373532497,25.68075347675712
Social Relationships,0.02181663227661166,0.0,0.10191400349140167,3312,0.01657249734661809,0.24649219126520916,0.0,0.8235294117647058,3312,0.1483305954006836,12.891837413820154,31.929614549672213,22.410725981746182
Places,0.024577553446896126,0.0,0.12598900496959686,3312,0.02088845093774329,0.22486320040667868,0.0,0.6666666666666667,3312,0.15290401440797716,19.22160382866195,23.44640348518472,21.334003656923336
Human Roles,0.022633864760476106,0.0,0.10893599689006805,3312,0.01786678651420579,0.2317514409905714,0.0,0.6666666666666667,3312,0.13823491729067366,14.76544785411749,26.148073624043004,20.456760739080245
Plants,0.025623545615932265,0.0,0.1496420055627823,3312,0.02399551026027417,0.204923096227444,0.0,0.6666666666666667,3312,0.15401346292169016,21.6196752307043,15.625598829677568,18.622637030190933
Cultural Artifacts,0.02250150125705426,0.0,0.09999199956655502,3312,0.019890998115414612,0.21575857717162067,0.0,0.6666666666666667,3312,0.16320866155384986,14.46198752083167,19.875435192173864,17.16871135650277
Inanimate Objects,0.02359014608880305,0.0,0.09998200088739395,3312,0.020371389992378724,0.2091602037254211,0.0,0.6666666666666667,3312,0.15452757030955153,16.957845630748153,17.287455244679276,17.122650437713716
Neutral Animals,0.020645625558310104,0.0,0.10724399983882904,3312,0.01808320690823189,0.19308429091037785,0.0,0.5714285714285714,3312,0.14284031854867427,10.20715409984651,10.98224376457341,10.59469893220996
Environmental Phenomena,0.016193463188377458,0.0,0.08589600026607513,3312,0.016998741528639675,0.1741506279549758,0.0,0.5714285714285714,3312,0.15952230995000288,0.0,3.5561802868501404,1.7780901434250702
Food Items,0.01708724936247841,0.0,0.09254900366067886,3312,0.017802012671470958,0.1650837085619694,0.0,0.5714285714285714,3312,0.1473903723227646,2.049119608254244,0.0,1.024559804127122
