GenderPair,DistanceType,Mean,Median,StdDev,Count
Fully Non-Gendered-Minimal-Gendered,Cosine,0.02307097608267906,0.02108599990606308,0.013826357096953288,84
Minimal-Gendered-Tri-Gendered,Cosine,0.025754699824998777,0.02282099984586239,0.016422607849582917,60
Dual-Gendered-Minimal-Gendered,Cosine,0.026353766672031043,0.024550000205636024,0.018507798443005784,120
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.02807025001236489,0.026621000841259956,0.015443921127534047,252
Fully Non-Gendered-Tri-Gendered,Cosine,0.03191825701310038,0.030523999594151974,0.018621406534679436,420
Dual-Gendered-Fully Non-Gendered,Cosine,0.03369967747517576,0.032037001103162766,0.0182921166841491,840
Tri-Gendered-Tri-Gendered,Cosine,0.033972158275234206,0.03299800120294094,0.02041758200708334,120
Dual-Gendered-Tri-Gendered,Cosine,0.035096476619752744,0.032562000676989555,0.020110075269804337,600
Dual-Gendered-Dual-Gendered,Cosine,0.03762009257871834,0.03555850125849247,0.023013331396775867,540
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.24897721326292754,0.18181818181818177,0.13320505951510175,84
Minimal-Gendered-Tri-Gendered,Jaccard,0.25443445443445445,0.33333333333333337,0.12646481317834812,60
Dual-Gendered-Minimal-Gendered,Jaccard,0.2716568154068154,0.33333333333333337,0.14751220378042787,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.29260422117564977,0.33333333333333337,0.1330502017479104,252
Tri-Gendered-Tri-Gendered,Jaccard,0.3140970140970141,0.33333333333333337,0.13830642098279827,120
Fully Non-Gendered-Tri-Gendered,Jaccard,0.3155410066124352,0.33333333333333337,0.1398453711792743,420
Dual-Gendered-Fully Non-Gendered,Jaccard,0.32716509680795397,0.33333333333333337,0.13795495971015437,840
Dual-Gendered-Tri-Gendered,Jaccard,0.33255328005328005,0.33333333333333337,0.13300413361476002,600
Dual-Gendered-Dual-Gendered,Jaccard,0.33843301759968425,0.33333333333333337,0.1604112123863929,540
