GenderPair,DistanceType,Mean,Median,StdDev,Count
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.016532059506638174,0.018284999765455723,0.012921938994744031,252
Fully Non-Gendered-Minimal-Gendered,Cosine,0.016777428565365512,0.017237000167369843,0.013079739480929442,84
Dual-Gendered-Minimal-Gendered,Cosine,0.017157133241551038,0.017163499258458614,0.014438266434102811,120
Dual-Gendered-Fully Non-Gendered,Cosine,0.017865705941555836,0.018946999683976173,0.013365910437270825,840
Minimal-Gendered-Tri-Gendered,Cosine,0.018985616706396514,0.018786000087857246,0.016848246579870156,60
Fully Non-Gendered-Tri-Gendered,Cosine,0.020156576173892084,0.020235499367117882,0.013745618649117565,420
Dual-Gendered-Dual-Gendered,Cosine,0.020216896262807,0.01954299956560135,0.015065873036359393,540
Dual-Gendered-Tri-Gendered,Cosine,0.020283283304634855,0.01954299956560135,0.014926108705953706,600
Tri-Gendered-Tri-Gendered,Cosine,0.021286850057471916,0.019236000254750252,0.014750189085886144,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.18352943352943352,0.18181818181818177,0.13398663085550278,252
Dual-Gendered-Fully Non-Gendered,Jaccard,0.18777968063682346,0.18181818181818177,0.12881112072763876,840
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.19017094017094016,0.18181818181818177,0.1285069139787724,84
Dual-Gendered-Minimal-Gendered,Jaccard,0.19330114330114329,0.18181818181818177,0.13513507542007136,120
Dual-Gendered-Dual-Gendered,Jaccard,0.20247900247900244,0.18181818181818177,0.1337510707846438,540
Dual-Gendered-Tri-Gendered,Jaccard,0.20492951492951492,0.18181818181818177,0.1371180007069434,600
Minimal-Gendered-Tri-Gendered,Jaccard,0.20995115995115995,0.18181818181818177,0.16248183324298845,60
Fully Non-Gendered-Tri-Gendered,Jaccard,0.21036503179360322,0.18181818181818177,0.1325275202790793,420
Tri-Gendered-Tri-Gendered,Jaccard,0.21245143745143744,0.18181818181818177,0.13207152817923842,120
