GenderPair,DistanceType,Mean,Median,StdDev,Count
Minimal-Gendered-Tri-Gendered,Cosine,0.02045514970086515,0.016672000288963318,0.012505078304798967,60
Dual-Gendered-Minimal-Gendered,Cosine,0.021577883372083308,0.017085000872612,0.01574255896763961,120
Tri-Gendered-Tri-Gendered,Cosine,0.023523416509851812,0.02450249996036291,0.015025595937402885,120
Dual-Gendered-Tri-Gendered,Cosine,0.02668059492018074,0.024248000234365463,0.014942927652378066,600
Dual-Gendered-Dual-Gendered,Cosine,0.03031423523918622,0.02919250074774027,0.018594692725183572,540
Fully Non-Gendered-Tri-Gendered,Cosine,0.03529142846486398,0.02968900091946125,0.02444997852234347,420
Fully Non-Gendered-Minimal-Gendered,Cosine,0.03676961906742127,0.029613500460982323,0.025385015823295016,84
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.04129985318563524,0.037641000002622604,0.026426927572221173,252
Dual-Gendered-Fully Non-Gendered,Cosine,0.04171460240946284,0.032565999776124954,0.03054772660131768,840
Dual-Gendered-Minimal-Gendered,Jaccard,0.20460372960372958,0.18181818181818177,0.11373556498312794,120
Minimal-Gendered-Tri-Gendered,Jaccard,0.20971250971250968,0.18181818181818177,0.09068337579285701,60
Tri-Gendered-Tri-Gendered,Jaccard,0.2324980574980575,0.33333333333333337,0.13138423877180658,120
Dual-Gendered-Tri-Gendered,Jaccard,0.26566489066489063,0.33333333333333337,0.10990661712312333,600
Dual-Gendered-Dual-Gendered,Jaccard,0.2772307938974606,0.33333333333333337,0.124765557538108,540
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.30628102056673484,0.33333333333333337,0.1533539998354767,84
Fully Non-Gendered-Tri-Gendered,Jaccard,0.314603650317936,0.33333333333333337,0.15156603557746554,420
Dual-Gendered-Fully Non-Gendered,Jaccard,0.342013641120784,0.33333333333333337,0.1636445810656715,840
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.34600419421847994,0.33333333333333337,0.16143260653139468,252
