GenderPair,DistanceType,Mean,Median,StdDev,Count
Minimal-Gendered-Tri-Gendered,Cosine,0.02008416661992669,0.019803999923169613,0.015703822623865858,60
Fully Non-Gendered-Minimal-Gendered,Cosine,0.02049072615669242,0.01967800036072731,0.01609378136536776,84
Tri-Gendered-Tri-Gendered,Cosine,0.022536858279878894,0.02067600004374981,0.016074189578489738,120
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.02282964283623297,0.01967800036072731,0.019717017140806006,252
Fully Non-Gendered-Tri-Gendered,Cosine,0.026561271394788425,0.02198600023984909,0.018290341627098108,420
Dual-Gendered-Minimal-Gendered,Cosine,0.026611708275352915,0.020576000213623047,0.02099014157981139,120
Dual-Gendered-Fully Non-Gendered,Cosine,0.029566957166839745,0.02198600023984909,0.022464594948641427,840
Dual-Gendered-Tri-Gendered,Cosine,0.02963754831037174,0.023156000301241875,0.022104169133214707,600
Dual-Gendered-Dual-Gendered,Cosine,0.03368134254124015,0.030195999890565872,0.024296223599444087,540
Minimal-Gendered-Tri-Gendered,Jaccard,0.17762237762237762,0.18181818181818177,0.13264465923483634,60
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.19433344433344435,0.18181818181818177,0.14089439800678,84
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.20727817156388584,0.18181818181818177,0.15867948059990666,252
Tri-Gendered-Tri-Gendered,Jaccard,0.20732600732600734,0.18181818181818177,0.1406689508185986,120
Dual-Gendered-Minimal-Gendered,Jaccard,0.22233877233877233,0.18181818181818177,0.14411628205107815,120
Fully Non-Gendered-Tri-Gendered,Jaccard,0.2388999888999889,0.18181818181818177,0.14116650637481615,420
Dual-Gendered-Fully Non-Gendered,Jaccard,0.2462953712953713,0.18181818181818177,0.15441226081685913,840
Dual-Gendered-Tri-Gendered,Jaccard,0.24866078366078365,0.18181818181818177,0.14955501692647008,600
Dual-Gendered-Dual-Gendered,Jaccard,0.268711535378202,0.33333333333333337,0.15747233471863248,540
