GenderPair,DistanceType,Mean,Median,StdDev,Count
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.013024095251724911,0.014365000184625387,0.012684520386834848,252
Fully Non-Gendered-Minimal-Gendered,Cosine,0.013317250103197932,0.01404249994084239,0.012370053621693368,84
Minimal-Gendered-Tri-Gendered,Cosine,0.014684066797296206,0.016195000149309635,0.011809238871242229,60
Fully Non-Gendered-Tri-Gendered,Cosine,0.015620973799305138,0.01781850028783083,0.01231465311893051,420
Tri-Gendered-Tri-Gendered,Cosine,0.016233974982363484,0.017596999183297157,0.01285407823130096,120
Dual-Gendered-Minimal-Gendered,Cosine,0.01878200009219692,0.018081500194966793,0.016973192062949498,120
Dual-Gendered-Fully Non-Gendered,Cosine,0.020291114209207775,0.019644999876618385,0.015675955958131663,840
Dual-Gendered-Tri-Gendered,Cosine,0.020819454975725384,0.01948699913918972,0.01491984872171626,600
Dual-Gendered-Dual-Gendered,Cosine,0.023836299943377104,0.02024500072002411,0.016443341439971396,540
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.13406963406963407,0.18181818181818177,0.12216146209410787,252
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.1367243867243867,0.18181818181818177,0.11372398205370651,84
Minimal-Gendered-Tri-Gendered,Jaccard,0.14797979797979796,0.18181818181818177,0.10528244383379595,60
Fully Non-Gendered-Tri-Gendered,Jaccard,0.15189255189255188,0.18181818181818177,0.11215534981683428,420
Tri-Gendered-Tri-Gendered,Jaccard,0.15429292929292926,0.18181818181818177,0.11111467997447678,120
Dual-Gendered-Minimal-Gendered,Jaccard,0.16569541569541568,0.18181818181818177,0.128866602909334,120
Dual-Gendered-Fully Non-Gendered,Jaccard,0.1863755292326721,0.18181818181818177,0.12194781402406356,840
Dual-Gendered-Tri-Gendered,Jaccard,0.18994172494172493,0.18181818181818177,0.11554802537619234,600
Dual-Gendered-Dual-Gendered,Jaccard,0.211031561031561,0.18181818181818177,0.12242729797536364,540
