GenderPair,DistanceType,Mean,Median,StdDev,Count
Fully Non-Gendered-Minimal-Gendered,Cosine,0.053513750001522045,0.04608899913728237,0.02746387643429803,84
Dual-Gendered-Minimal-Gendered,Cosine,0.05390677476146569,0.05377599969506264,0.02791958382323695,120
Dual-Gendered-Tri-Gendered,Cosine,0.05555625668681709,0.04873350076377392,0.03970793210193264,600
Fully Non-Gendered-Tri-Gendered,Cosine,0.0562775310533065,0.052873000502586365,0.045664164787635735,420
Fully Non-Gendered-Fully Non-Gendered,Cosine,0.05634158332493497,0.05286800116300583,0.0490348723888314,252
Minimal-Gendered-Tri-Gendered,Cosine,0.05689944978803396,0.05329400114715099,0.024494747346577615,60
Dual-Gendered-Fully Non-Gendered,Cosine,0.05734157973337815,0.052873000502586365,0.041708026441708894,840
Dual-Gendered-Dual-Gendered,Cosine,0.057500440769621894,0.054863499477505684,0.03844280885437479,540
Tri-Gendered-Tri-Gendered,Cosine,0.06282150838524103,0.06219499930739403,0.04423068085337051,120
Fully Non-Gendered-Fully Non-Gendered,Jaccard,0.3454470171907147,0.33333333333333337,0.20677633593131556,252
Fully Non-Gendered-Tri-Gendered,Jaccard,0.3600771932704706,0.33333333333333337,0.20885472103742844,420
Dual-Gendered-Tri-Gendered,Jaccard,0.3723145808439926,0.33333333333333337,0.17725361143481125,600
Dual-Gendered-Fully Non-Gendered,Jaccard,0.37549626493954225,0.33333333333333337,0.18081601990909033,840
Dual-Gendered-Dual-Gendered,Jaccard,0.3874765122314142,0.33333333333333337,0.17358799759413332,540
Tri-Gendered-Tri-Gendered,Jaccard,0.39544377191436014,0.46153846153846156,0.1859497488962586,120
Fully Non-Gendered-Minimal-Gendered,Jaccard,0.40177018748447324,0.39743589743589747,0.1355400420434091,84
Dual-Gendered-Minimal-Gendered,Jaccard,0.40694130216189045,0.46153846153846156,0.1477540927042894,120
Minimal-Gendered-Tri-Gendered,Jaccard,0.4190312955018838,0.46153846153846156,0.12359860520796762,60
